CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201109,1010,1,1010    ,3,        ,0,2011-09-12,144,128,DIF AFIP                 ,          ,0,0,10.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201109,1010,1,1010    ,3,        ,0,2011-09-15,194,123,F CAJA                   ,          ,0,0,400.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201109,1010,1,1010    ,3,        ,0,2011-09-30,268,246,LQ F FIJO                ,          ,0,0,0.00,783.69,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-01,60,224,BCO GAL COM              ,          ,0,0,0.00,439.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-01,61,245,BCO GAL IIBB             ,          ,0,0,0.00,6.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-01,6,12,MARTINDALE AGOSTO2011    ,3341      ,0,315,0.00,8083.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-01,7,13,COLECCION FC 277         ,3333      ,0,307,0.00,1733.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-01,18,24,AMEGH FC 526             ,3332      ,0,306,0.00,10877.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-01,23,30,QUARIN FC 99195/306      ,3338      ,0,312,0.00,609.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-01,24,31,PINTURA OF HV FC 4876    ,          ,0,0,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-01,25,32,ELECT /BARRAL            ,3342      ,0,316,0.00,380.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-01,26,33,LIMP/MENS                ,3340      ,0,314,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-01,27,34,HANS COLOCAR ALF         ,3348      ,0,321,0.00,516.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-02,69,226,BCO GAL COM              ,          ,0,0,0.00,157.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-05,80,227,ZURICH                   ,          ,0,0,0.00,281.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-05,81,228,MAPFRE                   ,          ,0,0,0.00,362.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-05,76,36,POGGI FC 5800            ,3331      ,0,305,0.00,1712.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-05,77,37,JAIME ALEJANDRO          ,3320      ,0,303,0.00,476.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-05,78,39,PIONEER ARG FC 34740     ,3327      ,0,0,0.00,42966.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-06,89,229,SAENZ                    ,          ,0,0,143356.75,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-07,91,42,REGGI FC 15202           ,3330      ,0,304,0.00,211453.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-09,108,43,C SOC AGOSTO2011         ,8464      ,0,81,0.00,11729.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-09,109,44,TE                       ,3336      ,0,310,0.00,553.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-09,110,45,GANANC ANT10             ,3337      ,0,311,0.00,8236.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-09,111,46,MAPFRE MUCAMA            ,3347      ,0,320,0.00,56.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-09,112,47,TE MARTINDALE            ,3344      ,0,318,0.00,312.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201109,1020,1,1020    ,1,        ,0,2011-09-12,129,66,AS FC AGOSTO             ,1189      ,0,103,0.00,17150.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
