CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201110,1010,1,1010    ,3,        ,0,2011-10-03,78,11,F FONDO                  ,          ,0,0,400.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201110,1010,1,1010    ,3,        ,0,2011-10-07,130,102,NOEL MENS                ,          ,0,0,0.00,167.40,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201110,1010,1,1010    ,3,        ,0,2011-10-20,187,103,LQ F FONDOS              ,          ,0,0,0.00,328.30,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201110,1020,1,1020    ,1,        ,0,2011-10-03,78,11,F FONDO                  ,1228      ,0,137,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201110,1020,1,1020    ,1,        ,0,2011-10-03,72,2,OCTUBRE 2011             ,1223      ,0,132,0.00,8400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201110,1020,1,1020    ,1,        ,0,2011-10-03,73,3,E FORNIELES FC 533       ,1237      ,0,146,0.00,528.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201110,1020,1,1020    ,1,        ,0,2011-10-03,74,4,JUAN GAVIÑA              ,1224      ,0,133,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201110,1020,1,1020    ,1,        ,0,2011-10-03,75,5,JAIME SEP2011            ,1222      ,0,131,0.00,7000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201110,1020,1,1020    ,1,        ,0,2011-10-03,76,6,CSOC SEP2011             ,1227      ,0,136,0.00,11727.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201110,1020,1,1020    ,1,        ,0,2011-10-03,77,7,TEL DE ARG               ,1238      ,0,147,0.00,531.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
