CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201111,1010,1,1010    ,3,        ,0,2011-11-02,39,18,F FONDOS                 ,          ,0,0,350.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201111,1010,1,1010    ,3,        ,0,2011-11-07,83,233,VISA GAL VEC 14/11/2011  ,          ,0,0,0.00,0.33,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201111,1010,1,1010    ,3,        ,0,2011-11-25,194,196,F FONDOS                 ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201111,1020,1,1020    ,1,        ,0,2011-11-01,32,200,BCO GAL                  ,          ,0,0,0.00,406.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201111,1020,1,1020    ,1,        ,0,2011-11-01,33,201,BCO GAL IIBB             ,          ,0,0,0.00,6.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201111,1020,1,1020    ,1,        ,0,2011-11-01,2,38,E HARRISON FC 1002       ,3348      ,0,953,0.00,1715.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201111,1020,1,1020    ,1,        ,0,2011-11-01,3,39,C DE ACOP FC 17119       ,3340      ,0,346,0.00,638.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201111,1020,1,1020    ,1,        ,0,2011-11-01,4,40,FAISAL FC 58             ,3342      ,0,347,0.00,4448.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201111,1020,1,1020    ,1,        ,0,2011-11-01,6,44,L ESCUDERO FC FC 16552   ,3343      ,0,348,0.00,1929.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201111,1020,1,1020    ,1,        ,0,2011-11-01,7,45,JULIO GIMENEZ FC 264     ,3347      ,0,952,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
