CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201112,1010,1,1010    ,2,        ,0,2011-12-19,139,43,BCO GAL COMPRA 30000 U   ,          ,0,0,130200.00,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
60,201112,1010,1,1010    ,3,        ,0,2011-12-30,208,70,LIQ FF                   ,          ,0,0,0.00,653.30,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201112,1020,1,1020    ,1,        ,0,2011-12-01,3,24,BCO GAL GB               ,          ,0,0,0.00,495.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201112,1020,1,1020    ,1,        ,0,2011-12-01,29,144,BCO GAL IIBB             ,          ,0,0,0.00,7.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201112,1020,1,1020    ,1,        ,0,2011-12-02,64,8,PASTEUR                  ,3441      ,0,622,0.00,4878.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201112,1020,1,1020    ,1,        ,0,2011-12-02,65,9,JAIME NOV 2011           ,3434      ,0,616,0.00,7000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201112,1020,1,1020    ,1,        ,0,2011-12-02,66,10,E FORNIELES FC 912       ,3471      ,0,650,0.00,237.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201112,1020,1,1020    ,1,        ,0,2011-12-05,79,11,MARTINDALE NOV 2011      ,3473      ,0,651,0.00,8331.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201112,1020,1,1020    ,1,        ,0,2011-12-05,80,12,TEL DE ARG               ,3467      ,0,647,0.00,512.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201112,1020,1,1020    ,1,        ,0,2011-12-05,81,13,SILVIA ARIAS NOV 2011    ,3438      ,0,620,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201112,1020,1,1020    ,1,        ,0,2011-12-05,82,14,BOTIJA DIC2011           ,3474      ,0,652,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
