CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201202,1010,1,1010    ,2,        ,0,2012-02-14,0,33,GAL COMPRA 50000 DOL     ,          ,0,0,219000.00,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
60,201202,1010,1,1010    ,2,        ,0,2012-02-22,0,116,CME 50000 DOL            ,          ,0,0,219250.00,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
60,201202,1010,1,1010    ,3,        ,0,2012-02-17,0,97,CFF                      ,          ,0,0,500.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201202,1020,1,1020    ,1,        ,0,2012-02-01,0,7,HG FEBRERO2012           ,6622      ,0,1026,0.00,8400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201202,1020,1,1020    ,1,        ,0,2012-02-01,0,8,REGIST CONT              ,3772      ,0,671,0.00,2500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201202,1020,1,1020    ,1,        ,0,2012-02-01,0,14,GAL GB                   ,          ,0,0,0.00,426.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201202,1020,1,1020    ,1,        ,0,2012-02-01,0,15,BCO GAL IIBB             ,          ,0,0,0.00,6.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201202,1020,1,1020    ,1,        ,0,2012-02-02,0,40,MARTINDALE ENERO2012     ,3494      ,0,201,0.00,8900.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201202,1020,1,1020    ,1,        ,0,2012-02-06,0,16,ZURICH                   ,          ,0,0,0.00,329.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201202,1020,1,1020    ,1,        ,0,2012-02-06,0,17,ZURICH 2/5 T11           ,          ,0,0,0.00,641.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201202,1020,1,1020    ,1,        ,0,2012-02-06,0,18,MAPFRE 01/04 T2004       ,          ,0,0,0.00,456.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
