CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201204,1010,1,1010    ,2,        ,0,2012-04-25,0,266,HG 1000                  ,          ,0,0,0.00,4510.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-01,0,70,GAL                      ,          ,0,0,0.00,32.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-03,0,16,VARIOS OF                ,490       ,0,754,0.00,566.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-03,0,43,BCO GAL IIBB             ,          ,0,0,0.00,7.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-03,0,42,BCO GAL COMIS            ,          ,0,0,0.00,484.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,44,MAPFRE DEV SEGURO        ,          ,0,0,487.36,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,11,DEL RIO FC 13051         ,482       ,0,747,0.00,343.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,12,DGI ANT GAN 5/2012       ,485       ,0,750,0.00,9224.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,2,HG                       ,          ,0,0,0.00,8840.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,3,HG                       ,          ,0,0,8840.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,4,CABALEIRO FC 801         ,0483      ,0,748,0.00,310.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,5,MUNI DE TEJ CUOTA 2/2012 ,0479      ,0,745,0.00,8466.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,7,DIESEL LANGE FC 37222    ,495       ,0,758,0.00,1115.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,8,CASADO FC 1994           ,496       ,0,759,0.00,1035.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,9,C CODON FC 55            ,497       ,0,760,0.00,464.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,18,FEB//MARZ                ,486       ,0,751,0.00,70.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,19,MONOT MARZ/2012          ,487       ,0,752,0.00,390.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-04,0,20,BOTIJA ALQ ABRIL2012     ,488       ,0,753,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-09,0,21,OSDE                     ,502       ,0,764,0.00,1338.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-09,0,22,POGGI FC 6043            ,480       ,0,746,0.00,2196.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-09,0,23,AE MARTINDALE MARZO/12   ,          ,0,0,0.00,9777.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-09,0,13,MENSAJERA MAR            ,0505      ,0,765,0.00,258.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-09,0,10,SERVICOO FC 66110 3/2012 ,508       ,0,767,0.00,274.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-09,0,45,ZURICH CUOTA 4/5         ,          ,0,0,0.00,641.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-09,0,46,MAPFRE 3/4               ,          ,0,0,0.00,457.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-09,0,47,MAPFRE 5/12 VIDA         ,          ,0,0,0.00,127.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-09,0,53,REGGI                    ,0500      ,0,9142387,0.00,91423.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-12,0,26,OLEAG                    ,          ,0,0,26291.26,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-13,0,32,SAENZ                    ,          ,0,0,52762.24,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-16,0,48,AFIP R1966R1967          ,          ,0,0,0.00,800.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-16,0,17,TEL MARTINDALE           ,498       ,0,761,0.00,125.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-17,0,66,OLEAG                    ,          ,0,0,17116.75,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-17,0,222,OSDE                     ,          ,0,0,0.00,2340.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-21,0,15,ILDARRAZ FC 19585 A CTA  ,9884      ,0,1125,0.00,172208.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,14,OLDARRAZ FC 19600 IVA/COM,9885      ,0,1126,0.00,24694.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,116,VET NORTE FC 19636       ,513       ,0,772,0.00,233.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,118,ENCOS FC 2808            ,515       ,0,774,0.00,1573.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,119,ESCUDERO FC 17487/494    ,522       ,0,780,0.00,3405.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,120,DIEGO HN OS FC 15998/991/,523       ,0,781,0.00,987.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,121,AACREA ABRIL2012         ,526       ,0,783,0.00,4044.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,122,ZABALA FC 27991/001/77/8 ,527       ,0,784,0.00,3643.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,123,CE TEJEDOR 536/7/8       ,528       ,0,785,0.00,2388.07,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,127,DEL RIO FC 13160/91/234  ,546       ,0,801,0.00,110.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,130,SINEGUB FC 6378          ,534       ,0,791,0.00,12960.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,131,EL CIENTO DOS FC 438     ,533       ,0,790,0.00,1695.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,132,C MIRANDA FC 325 MENOS NC,531       ,0,788,0.00,1672.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,133,JUAN LUNA FC 1328/1340 -N,530       ,0,787,0.00,7141.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,134,IIBB MAYO2012            ,511       ,0,770,0.00,3605.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,135,MEDIA LUNA               ,532       ,0,789,0.00,813.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,136,REPARACION BAÑO          ,545       ,0,800,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,137,MAPFRE                   ,512       ,0,771,0.00,684.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,158,FF                       ,510       ,0,769,0.00,685.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-23,0,162,NEGRO LUIS FC 3102-03    ,529       ,0,786,0.00,33741.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-24,0,155,HG MAYO2012              ,536       ,0,793,0.00,8400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-24,0,139,ABRIL2012                ,539       ,0,796,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-24,0,138,JAIME ABRIL2012          ,537       ,0,794,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201204,1020,1,1020    ,1,        ,0,2012-04-24,0,113,AMX ARG FC 896496        ,524       ,0,782,0.00,623.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
