CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201205,1010,1,1010    ,2,        ,0,2012-05-21,0,52,EL INDIO COMPRA 10000 DOL,          ,0,0,0.00,45100.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
60,201205,1010,1,1010    ,2,        ,0,2012-05-28,0,118,ILDARRAZ FC 19736 26936.6,          ,0,0,0.00,144111.07,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-02,0,158,BG GB                    ,          ,0,0,0.00,185.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-02,0,160,BG GB                    ,          ,0,0,0.00,145.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-02,0,161,BG IIBB                  ,          ,0,0,0.00,7.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-02,0,162,BG IIBB                  ,          ,0,0,0.00,2.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-02,0,1,H DE BONADEO FC 251      ,520       ,0,778,0.00,270943.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-02,0,2,JUAN FC 98 COMISION      ,518       ,0,777,0.00,4988.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-02,0,3,POGGI FC 6083            ,553       ,0,804,0.00,2196.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-07,0,4,EXP MARZO                ,07        ,0,766,0.00,198.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-07,0,7,AFIP RET GAN             ,548       ,0,799,0.00,6367.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-07,0,8,C SOC ABRIL2012          ,551       ,0,803,0.00,14108.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-07,0,10,DGI ANT 6/2012 GANANCIAS ,535       ,0,792,0.00,9224.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201205,1020,1,1020    ,1,        ,0,2012-05-07,0,9,ASOC C HEREF TRIM2/2012  ,514       ,0,773,0.00,380.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
