CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
60,201206,1010,1,1010    ,3,        ,0,2012-06-01,0,215,AMX                      ,          ,0,0,0.00,757.33,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-01,0,177,BCI GAL IIBB             ,          ,0,0,0.00,8.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-01,0,176,BCO GAL IMP FISCAL       ,          ,0,0,0.00,1.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-01,0,20,BG GB                    ,          ,0,0,0.00,364.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-01,0,22,BG INT                   ,          ,0,0,0.00,215.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-04,0,16,MOL RIO SOJA             ,          ,0,0,365789.05,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-04,0,8,MAPFRE COMB FLIAR        ,636       ,0,834,0.00,684.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-04,0,179,BCO GAL                  ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,10,MONOT                    ,573       ,0,823,0.00,390.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,11,DGI B PER ANT 1          ,630       ,0,828,0.00,1300.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,12,DGI ANT 1 B PER          ,631       ,0,829,0.00,4884.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,13,DGI DEC JURADA B PER 2011,633       ,0,831,0.00,5515.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,14,SWAN TURISMO BOLIVIA JAIM,648       ,0,840,0.00,1791.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,15,HG AUT ABRIL/MY2012      ,634       ,0,832,0.00,528.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,1,MIN DE TEJ CUOTA 3/2012  ,642       ,0,838,0.00,10162.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,2,GANANCIAS  ANT 7         ,632       ,0,830,0.00,9224.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,3,POGGI FC 6126            ,574       ,0,824,0.00,2196.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,4,RET GAN 5/2012           ,628       ,0,827,0.00,4749.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,5,C SOC MAYO2012           ,9919      ,0,1152,0.00,14001.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,6,BOTIJA ALQ JUNIO2012     ,566       ,0,816,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,23,ZURICH CUOTA 1           ,          ,0,0,0.00,380.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,24,MAPFRE                   ,          ,0,0,0.00,500.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,25,MAPFRE 7/12              ,          ,0,0,0.00,127.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-05,0,37,CS/MERC OF /VARIOS       ,646       ,0,839,0.00,679.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-08,0,29,MOL RIO                  ,          ,0,0,33289.99,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-10,0,26,AFIP ACC/PART ANT 2      ,638       ,0,836,0.00,12022.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-12,0,68,SERVICOOP FC 66828       ,651       ,0,843,0.00,390.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-12,0,72,CREA MAYO 2012           ,663       ,0,854,0.00,3544.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-12,0,74,DIEGO HNOS FC 16107      ,660       ,0,851,0.00,1189.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-12,0,77,RUCAMALEN FC 31421       ,652       ,0,844,0.00,754.63,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-12,0,79,CORRAL FC 925            ,658       ,0,849,0.00,522.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-12,0,99,MARTINDALE 05/2012       ,8133      ,0,868,0.00,9610.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-13,0,69,PONTIGGIA FC 38477/38120 ,565       ,0,815,0.00,40.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-13,0,66,IIBB MAYO 2012           ,8132      ,0,867,0.00,2017.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-13,0,38,CASA TINE FC 10864/OTRA  ,675       ,0,865,0.00,658.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-13,0,39,ELAINE                   ,3135      ,0,869,0.00,720.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-14,0,59,NEGRO LUIS FC 3187       ,9916      ,0,1149,0.00,30143.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-14,0,9,MAPFRE SEG OF            ,635       ,0,833,0.00,121.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-15,0,7,MAPFRE COM FLIAR         ,639       ,0,837,0.00,684.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-15,0,180,OSDE JAIME               ,          ,0,0,0.00,2457.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-18,0,181,AFIP R1966R1967          ,          ,0,0,0.00,520.07,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-18,0,163,CTA FC 145087/102        ,637       ,0,835,0.00,256.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-18,0,85,HG                       ,667       ,0,858,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-18,0,87,OSDE                     ,649       ,0,841,0.00,1430.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-18,0,97,ALETHEIAS FC 2627        ,654       ,0,846,0.00,1815.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-18,0,91,CECT FC 650152/50/51     ,662       ,0,853,0.00,1482.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-18,0,92,MENS                     ,671       ,0,862,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-18,0,94,AMX SA FC 1078210        ,669       ,0,860,0.00,423.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-18,0,96,EF FC 1944               ,          ,0,0,0.00,682.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-20,0,73,AS FC ABRIL 2012         ,659       ,0,850,0.00,2071.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-20,0,75,J CASADO FC 2052         ,657       ,0,847,0.00,3209.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-20,0,71,DEL RIO FC 3365/31/88    ,664       ,0,855,0.00,957.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-21,0,166,GALICIA PRESTAMO         ,          ,0,0,248000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-21,0,182,GAL CREDITO GASTO        ,          ,0,0,0.00,1550.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-21,0,242,GAL ING BB               ,          ,0,0,0.00,25.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-22,0,60,ILDARRAZ FC 19600        ,9920      ,0,1153,0.00,165510.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-26,0,164,EDESUR                   ,8140      ,0,874,0.00,69.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-26,0,157,JAIME GAVIÑA             ,666       ,0,857,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-26,0,158,EB SDO/AGUIN JUNIO2012   ,670       ,0,861,0.00,10136.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-26,0,159,HG JULIO2012             ,665       ,0,856,0.00,8400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-26,0,160,BCO PASTEUR              ,676       ,0,866,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-27,0,155,JUAN MON 04/2012         ,672       ,0,863,0.00,390.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-27,0,156,JUAN JUNIO-218 COMBUSTIBL,8138      ,0,871,0.00,1582.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
60,201206,1020,1,1020    ,1,        ,0,2012-06-27,0,199,HBRITANICO ABRIL/JULIO   ,3508      ,0,932,0.00,12877.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
