CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
700,202007,8520,1,8520    ,3,        ,0,2020-07-01,53,58,MEDIA LUNA JULIO2020     ,          ,0,0,1744.11,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,SUSCRIPCIONES                 ,                              
700,202007,2050,1,2050    ,1081,        ,0,2020-07-01,53,58,MEDIA LUNA JULIO2020     ,          ,0,0,0.00,1744.11,0                             ,0                             ,PROVEEDORES                   ,MEDIA LUNA POLO CLUB          ,                              
700,202007,9010,1,9010    ,15,        ,0,2020-07-01,52,56,BOTIJA SA FC 809         ,          ,0,0,6300.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
700,202007,2050,1,2050    ,2655,        ,0,2020-07-01,52,56,BOTIJA SA FC 809         ,          ,2,809,0.00,7623.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
700,202007,1080,1,IVA     ,5,        ,0,2020-07-01,52,56,BOTIJA SA FC 809         ,          ,0,0,1323.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202007,1020,1,1020    ,1,        ,0,2020-07-01,41,43,BG IIBB                  ,          ,0,0,0.00,23.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202007,9020,1,9020    ,1,        ,0,2020-07-01,41,43,BG IIBB                  ,          ,0,0,23.40,0.00,0                             ,0                             ,IMPUESTOS                     ,INGRESOS BRUTOS               ,                              
700,202007,1020,1,1020    ,1,        ,0,2020-07-01,40,42,BG GB                    ,          ,0,0,0.00,227.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202007,2050,1,2050    ,1039,        ,0,2020-07-01,40,42,BG GB                    ,          ,0,0,227.48,0.00,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202007,9110,1,        ,0,        ,0,2020-07-01,39,41,BG GB                    ,          ,0,0,188.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
700,202007,2050,1,2050    ,1039,        ,0,2020-07-01,39,41,BG GB                    ,          ,0,1,0.00,227.48,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202007,1080,1,IVA     ,5,        ,0,2020-07-01,39,41,BG GB                    ,          ,0,0,39.48,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202007,2050,1,2050    ,1039,        ,0,2020-07-01,38,40,BG GB                    ,          ,0,0,401.72,0.00,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202007,1020,1,1020    ,1,        ,0,2020-07-01,38,40,BG GB                    ,          ,0,0,0.00,401.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202007,9110,1,        ,0,        ,0,2020-07-01,37,39,BG GB                    ,          ,0,0,332.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
700,202007,2050,1,2050    ,1039,        ,0,2020-07-01,37,39,BG GB                    ,          ,0,1,0.00,401.72,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202007,1080,1,IVA     ,5,        ,0,2020-07-01,37,39,BG GB                    ,          ,0,0,69.72,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202007,1020,1,1020    ,1,        ,0,2020-07-01,36,38,BG GB                    ,          ,0,0,0.00,2901.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202007,2050,1,2050    ,1039,        ,0,2020-07-01,36,38,BG GB                    ,          ,0,0,2901.60,0.00,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202007,9110,1,        ,0,        ,0,2020-07-01,35,37,BG GB                    ,          ,0,0,2340.48,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
700,202007,1120,1,        ,0,        ,0,2020-07-01,35,37,BG GB                    ,          ,0,0,69.72,0.00,0                             ,0                             ,IVA PERCEPCION                ,                              ,                              
