CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
700,202008,2050,1,2050    ,2655,        ,0,2020-08-01,9,83,BOTIJS FC 824            ,          ,2,824,0.00,9735.50,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
700,202008,9010,1,9010    ,15,        ,0,2020-08-01,9,83,BOTIJS FC 824            ,          ,0,0,7050.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
700,202008,9010,1,9010    ,15,        ,0,2020-08-01,9,83,BOTIJS FC 824 AYSA       ,          ,0,0,1205.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
700,202008,2050,1,2050    ,2584,        ,0,2020-08-01,10,88,P PRIETO FC 2326         ,          ,2,2326,0.00,29173.10,0                             ,0                             ,PROVEEDORES                   ,PABLO ANTONIO PRIETO          ,                              
700,202008,1080,1,IVA     ,5,        ,0,2020-08-01,10,88,P PRIETO FC 2326         ,          ,0,0,5063.10,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202008,6901,1,6901    ,1,        ,0,2020-08-01,10,88,P PRIETO FC 2326         ,          ,0,0,24110.00,0.00,0                             ,0                             ,SANIDAD GANADERIA             ,PRODUCTOS VETERINARIOS        ,                              
700,202008,1080,1,IVA     ,5,        ,0,2020-08-01,11,89,P PRIETO FC 2327         ,          ,0,0,19407.15,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202008,2050,1,2050    ,2584,        ,0,2020-08-01,11,89,P PRIETO FC 2327         ,          ,0,2327,0.00,111822.15,0                             ,0                             ,PROVEEDORES                   ,PABLO ANTONIO PRIETO          ,                              
700,202008,6901,1,6901    ,1,        ,0,2020-08-01,11,89,P PRIETO FC 2327         ,          ,0,0,92415.00,0.00,0                             ,0                             ,SANIDAD GANADERIA             ,PRODUCTOS VETERINARIOS        ,                              
700,202008,2050,1,2050    ,3451,        ,0,2020-08-01,12,111,HB FC 5662               ,          ,61,5662,0.00,41345.22,0                             ,0                             ,PROVEEDORES                   ,HOSPITAL BRITANICO            ,                              
700,202008,1080,1,IVA     ,2,        ,0,2020-08-01,12,111,HB FC 5662               ,          ,0,0,3928.73,0.00,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
700,202008,8520,1,8520    ,7,        ,0,2020-08-01,12,111,HB FC 5662               ,          ,0,0,37416.49,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,OTROS GASTOS                  ,                              
700,202008,2050,1,2050    ,1039,        ,0,2020-08-01,13,251,BG GB                    ,          ,0,0,121.78,0.00,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202008,9110,1,        ,0,        ,0,2020-08-01,13,251,BG GB                    ,          ,0,0,0.00,121.78,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
700,202008,1080,1,IVA     ,5,        ,0,2020-08-02,14,112,SERVICOOP SA FC 41156    ,          ,0,0,607.44,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202008,2050,1,2050    ,2469,        ,0,2020-08-02,14,112,SERVICOOP SA FC 41156    ,          ,4,41156,0.00,3500.00,0                             ,0                             ,PROVEEDORES                   ,SERVI COOP SA                 ,                              
700,202008,8520,1,8520    ,13,        ,0,2020-08-02,14,112,SERVICOOP SA FC 41156    ,          ,0,0,2892.56,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,INTERNET                      ,                              
700,202008,2020,1,        ,0,        ,0,2020-08-03,15,32,ESCOBAR SDO JULIO20      ,          ,0,0,28225.00,0.00,0                             ,0                             ,SUELDOS Y JORNALES A PAGAR    ,                              ,                              
700,202008,1020,1,1020    ,1,        ,0,2020-08-03,15,32,ESCOBAR SDO JULIO20      ,          ,0,0,0.00,28225.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202008,6005,1,        ,0,        ,0,2020-08-03,16,33,MUN C TEJ GUIAS          ,          ,0,0,2292.00,0.00,0                             ,0                             ,GUIAS INVERNADA               ,                              ,                              
700,202008,1020,1,1020    ,1,        ,0,2020-08-03,16,33,MUN C TEJ GUIAS          ,          ,0,0,0.00,2292.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202008,8040,1,8040    ,3,        ,0,2020-08-03,17,34,MCT IMP CAMINOS          ,          ,0,0,90929.20,0.00,0                             ,0                             ,IMPUESTOS                     ,TASA  DE CAMINOS              ,                              
700,202008,1020,1,1020    ,1,        ,0,2020-08-03,17,34,MCT IMP CAMINOS          ,          ,0,0,0.00,90929.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202008,1160,1,1160    ,42,        ,0,2020-08-03,18,35,MAIA AGOSTO              ,          ,0,0,27233.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,JUAN CONV U$S                 ,                              
700,202008,1020,1,1020    ,1,        ,0,2020-08-03,18,35,MAIA AGOSTO              ,          ,0,0,0.00,27233.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202008,1160,1,1160    ,42,        ,0,2020-08-03,19,36,JUAN                     ,          ,0,0,7500.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,JUAN CONV U$S                 ,                              
700,202008,2050,1,2050    ,2646,        ,0,2020-08-14,102,146,MAS FERRET FC 10493      ,          ,11,10493,0.00,8470.00,0                             ,0                             ,PROVEEDORES                   ,MAS FERRETERIA SA             ,                              
700,202008,8090,1,8090    ,1,        ,0,2020-08-14,102,146,MAS FERRET FC 10493      ,          ,0,0,7000.00,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,HERRAMIENTAS                  ,                              
700,202008,1080,1,IVA     ,5,        ,0,2020-08-14,103,147,MAS FERRET FC 13979      ,          ,0,0,1086.53,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202008,2050,1,2050    ,2646,        ,0,2020-08-14,103,147,MAS FERRET FC 13979      ,          ,12,13979,0.00,6260.50,0                             ,0                             ,PROVEEDORES                   ,MAS FERRETERIA SA             ,                              
700,202008,8050,1,8050    ,5,        ,0,2020-08-14,103,147,MAS FERRET FC 13979      ,          ,0,0,5173.97,0.00,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,ALAMBRADOS Y TRANQUERAS       ,                              
700,202008,1080,1,IVA     ,5,        ,0,2020-08-14,104,150,LA FORGE FC 310          ,          ,0,0,9024.80,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202008,2050,1,2050    ,2591,        ,0,2020-08-14,104,150,LA FORGE FC 310          ,          ,2,310,0.00,52000.04,0                             ,0                             ,PROVEEDORES                   ,LA FORGE SRL                  ,                              
700,202008,8080,1,8080    ,4,        ,0,2020-08-14,104,150,LA FORGE FC 310          ,          ,0,0,42975.24,0.00,0                             ,0                             ,OTROS GASTOS CASCO            ,GASTOS VARIOS CASCO           ,                              
700,202008,2050,1,2050    ,2591,        ,0,2020-08-14,105,151,LA FORGE FC 310          ,          ,0,0,52000.04,0.00,0                             ,0                             ,PROVEEDORES                   ,LA FORGE SRL                  ,                              
700,202008,1160,1,1160    ,20,        ,0,2020-08-14,105,151,LA FORGE FC 310          ,          ,0,0,0.00,52000.04,0                             ,0                             ,OTROS CREDITOS                ,RETIROS HORACIO GAVIÑA        ,                              
700,202008,1080,1,IVA     ,5,        ,0,2020-08-14,106,152,LA FORGE FC 309          ,          ,0,0,3123.97,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202008,2050,1,2050    ,2591,        ,0,2020-08-14,106,152,LA FORGE FC 309          ,          ,2,309,0.00,18000.01,0                             ,0                             ,PROVEEDORES                   ,LA FORGE SRL                  ,                              
