CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
700,202009,1080,1,IVA     ,5,        ,0,2020-09-01,7,10,DE VEGA FC 184           ,          ,0,0,1570.72,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202009,2050,1,2050    ,3008,        ,0,2020-09-01,7,10,DE VEGA FC 184           ,          ,2,184,0.00,9050.31,0                             ,0                             ,PROVEEDORES                   ,DE VEGA MARISA                ,                              
700,202009,8080,1,8080    ,1,        ,0,2020-09-01,7,10,DE VEGA FC 184           ,          ,0,0,7479.59,0.00,0                             ,0                             ,OTROS GASTOS CASCO            ,ALIMENTACION CHALET           ,                              
700,202009,1080,1,IVA     ,5,        ,0,2020-09-01,9,12,BOTIJA SA FC 835         ,          ,0,0,1480.50,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202009,2050,1,2050    ,2655,        ,0,2020-09-01,9,12,BOTIJA SA FC 835         ,          ,2,835,0.00,8530.50,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
700,202009,9010,1,9010    ,15,        ,0,2020-09-01,9,12,BOTIJA SA FC 835         ,          ,0,0,7050.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
700,202009,1060,1,1060    ,1,        ,0,2020-09-01,12,15,CRESPO LQ 2111           ,          ,21,2111,1808834.93,0.00,0                             ,0                             ,DEUDORES POR VENTAS HACIENDA  ,CRESPO Y RODRIGUEZ            ,                              
700,202009,1090,1,IVA     ,2,        ,0,2020-09-01,12,15,CRESPO LQ 2111           ,          ,0,0,0.00,173075.74,0                             ,0                             ,IVA VENTAS                    ,"IVA_10,5                      ",                              
700,202009,6001,1,        ,0,        ,0,2020-09-01,12,15,CRESPO LQ 2111           ,          ,0,0,0.00,1681980.00,0                             ,0                             ,VTA HACIENDA INVERNADA        ,                              ,                              
700,202009,6007,1,        ,0,        ,0,2020-09-01,12,15,CRESPO LQ 2111           ,          ,0,0,33639.60,0.00,0                             ,0                             ,OTROS GASTOS VTA. INVERNADA   ,                              ,                              
700,202009,6002,1,6002    ,2,        ,0,2020-09-01,12,15,CRESPO LQ 2111           ,          ,0,0,10731.03,0.00,0                             ,0                             ,INGRESOS BRUTOS INVERNADA     ,PROVINCIA                     ,                              
700,202009,6002,1,6002    ,1,        ,0,2020-09-01,12,15,CRESPO LQ 2111           ,          ,0,0,1850.18,0.00,0                             ,0                             ,INGRESOS BRUTOS INVERNADA     ,CAPITAL                       ,                              
700,202009,2050,1,2050    ,3451,        ,0,2020-09-01,13,16,HB FC 108224             ,          ,61,108224,0.00,41345.22,0                             ,0                             ,PROVEEDORES                   ,HOSPITAL BRITANICO            ,                              
700,202009,1080,1,IVA     ,2,        ,0,2020-09-01,13,16,HB FC 108224             ,          ,0,0,3928.73,0.00,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
700,202009,8520,1,8520    ,7,        ,0,2020-09-01,13,16,HB FC 108224             ,          ,0,0,37416.49,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,OTROS GASTOS                  ,                              
700,202009,1080,1,IVA     ,5,        ,0,2020-09-01,33,38,BERTHE FC 95 2 VECES     ,          ,0,0,0.00,311.43,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202009,2050,1,2050    ,2550,        ,0,2020-09-01,33,38,BERTHE FC 95 2 VECES     ,          ,0,95,1794.43,0.00,0                             ,0                             ,PROVEEDORES                   ,BERTHE CARLOS                 ,                              
700,202009,6901,1,6901    ,1,        ,0,2020-09-01,33,38,BERTHE FC 95 2 VECES     ,          ,0,0,0.00,1483.00,0                             ,0                             ,SANIDAD GANADERIA             ,PRODUCTOS VETERINARIOS        ,                              
700,202009,1080,1,IVA     ,5,        ,0,2020-09-01,34,39,MAS FERRET FC 9397 2VEC  ,          ,0,0,0.00,7717.50,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202009,2050,1,2050    ,2646,        ,0,2020-09-01,34,39,MAS FERRET FC 9397 2VEC  ,          ,0,9397,44467.59,0.00,0                             ,0                             ,PROVEEDORES                   ,MAS FERRETERIA SA             ,                              
700,202009,8050,1,8050    ,6,        ,0,2020-09-01,34,39,MAS FERRET FC 9397 2VEC  ,          ,0,0,0.00,36750.09,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,MOLINOS Y AGUADAS             ,                              
700,202009,1080,1,IVA     ,5,        ,0,2020-09-01,35,40,MAS FERRET FC 9953 AJUST ,          ,0,0,0.00,1706.14,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202009,2050,1,2050    ,2646,        ,0,2020-09-01,35,40,MAS FERRET FC 9953 AJUST ,          ,0,9953,9830.60,0.00,0                             ,0                             ,PROVEEDORES                   ,MAS FERRETERIA SA             ,                              
700,202009,8050,1,8050    ,6,        ,0,2020-09-01,35,40,MAS FERRET FC 9953 AJUST ,          ,0,0,0.00,8124.46,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,MOLINOS Y AGUADAS             ,                              
700,202009,1080,1,IVA     ,5,        ,0,2020-09-01,36,41,MAS FERRET FC 12706 AJ   ,          ,0,0,0.00,3318.17,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202009,2050,1,2050    ,2646,        ,0,2020-09-01,36,41,MAS FERRET FC 12706 AJ   ,          ,0,12706,19119.00,0.00,0                             ,0                             ,PROVEEDORES                   ,MAS FERRETERIA SA             ,                              
700,202009,8050,1,8050    ,6,        ,0,2020-09-01,36,41,MAS FERRET FC 12706 AJ   ,          ,0,0,0.00,15800.83,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,MOLINOS Y AGUADAS             ,                              
