CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
700,202010,1080,1,IVA     ,4,        ,0,2020-10-01,8,85,AMX FC 610420            ,          ,0,0,351.98,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
700,202010,8520,1,8520    ,8,        ,0,2020-10-01,8,85,AMX FC 610420            ,          ,0,0,1303.62,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,TELEFONO MOVIL                ,                              
700,202010,2050,1,2050    ,2425,        ,0,2020-10-01,9,86,TEL MOVIL                ,          ,0,0,25818.00,0.00,0                             ,0                             ,PROVEEDORES                   ,HERNAN HEREÑU                 ,                              
700,202010,8520,1,8520    ,8,        ,0,2020-10-01,9,86,TEL MOVIL                ,          ,0,0,0.00,25818.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,TELEFONO MOVIL                ,                              
700,202010,1080,1,IVA     ,5,        ,0,2020-10-01,10,87,GAL RURAL VEC 01/09      ,          ,0,0,69.30,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202010,2050,1,2050    ,1144,        ,0,2020-10-01,10,87,GAL RURAL VEC 01/09      ,          ,17,74451,0.00,399.30,0                             ,0                             ,PROVEEDORES                   ,GALICIA RURAL                 ,                              
700,202010,9110,1,        ,0,        ,0,2020-10-01,10,87,GAL RURAL VEC 01/09      ,          ,0,0,330.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
700,202010,2050,1,2050    ,1008,        ,0,2020-10-01,11,91,TELEF                    ,          ,949,445163,0.00,8645.07,0                             ,0                             ,PROVEEDORES                   ,TELEFONICA DE ARGENTINA S     ,                              
700,202010,1080,1,IVA     ,4,        ,0,2020-10-01,11,91,TELEF                    ,          ,0,0,1114.27,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
700,202010,2050,1,2050    ,1008,        ,0,2020-10-01,11,91,TELEF                    ,          ,0,0,3383.77,0.00,0                             ,0                             ,PROVEEDORES                   ,TELEFONICA DE ARGENTINA S     ,                              
700,202010,9010,1,9010    ,16,        ,0,2020-10-01,11,91,TELEF                    ,          ,0,0,2464.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,INTERNET                      ,                              
700,202010,9010,1,9010    ,1,        ,0,2020-10-01,11,91,TELEF                    ,          ,0,0,1683.03,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,TELEFONO                      ,                              
700,202010,1080,1,IVA     ,5,        ,0,2020-10-01,12,92,TELF FC 445153           ,          ,0,0,587.27,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202010,2050,1,2050    ,1008,        ,0,2020-10-01,12,92,TELF FC 445153           ,          ,949,451153,0.00,3383.77,0                             ,0                             ,PROVEEDORES                   ,TELEFONICA DE ARGENTINA S     ,                              
700,202010,9010,1,9010    ,1,        ,0,2020-10-01,12,92,TELF FC 445153           ,          ,0,0,2796.50,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,TELEFONO                      ,                              
700,202010,2050,1,2050    ,3032,        ,0,2020-10-01,13,93,SALABERRY M R FC 97      ,          ,0,0,0.00,140766.00,0                             ,0                             ,PROVEEDORES                   ,SALABERRY M ROSA              ,                              
700,202010,6301,1,6301    ,3,        ,0,2020-10-01,13,93,SALABERRY M R FC 97      ,          ,0,0,140766.00,0.00,0                             ,0                             ,ARRENDAMIENTOS                ,ARRENDAMIENTO LAS PRADERA     ,                              
700,202010,8520,1,8520    ,3,        ,0,2020-10-01,3,22,MEDIA LUNA OCT2020       ,          ,0,0,2043.64,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,SUSCRIPCIONES                 ,                              
700,202010,2050,1,2050    ,1081,        ,0,2020-10-01,3,22,MEDIA LUNA OCT2020       ,          ,0,0,0.00,2043.64,0                             ,0                             ,PROVEEDORES                   ,MEDIA LUNA POLO CLUB          ,                              
700,202010,2050,1,2050    ,1008,        ,0,2020-10-01,14,96,TEL DE ARG523225         ,          ,949,523225,0.00,8546.32,0                             ,0                             ,PROVEEDORES                   ,TELEFONICA DE ARGENTINA S     ,                              
700,202010,1080,1,IVA     ,4,        ,0,2020-10-01,14,96,TEL DE ARG523225         ,          ,0,0,1083.08,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
700,202010,2050,1,2050    ,1008,        ,0,2020-10-01,14,96,TEL DE ARG523225         ,          ,0,0,3383.77,0.00,0                             ,0                             ,PROVEEDORES                   ,TELEFONICA DE ARGENTINA S     ,                              
700,202010,9010,1,9010    ,16,        ,0,2020-10-01,14,96,TEL DE ARG523225         ,          ,0,0,2464.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,INTERNET                      ,                              
700,202010,8520,1,8520    ,4,        ,0,2020-10-01,14,96,TEL DE ARG523225         ,          ,0,0,1615.47,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,TELEFONO                      ,                              
700,202010,2050,1,2050    ,1008,        ,0,2020-10-01,15,97,TEL DE ARG FC 523225     ,          ,949,523225,0.00,3383.77,0                             ,0                             ,PROVEEDORES                   ,TELEFONICA DE ARGENTINA S     ,                              
700,202010,1080,1,IVA     ,5,        ,0,2020-10-01,15,97,TEL DE ARG FC 523225     ,          ,0,0,587.27,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202010,9010,1,9010    ,1,        ,0,2020-10-01,15,97,TEL DE ARG FC 523225     ,          ,0,0,2796.50,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,TELEFONO                      ,                              
700,202010,1080,1,IVA     ,5,        ,0,2020-10-01,16,102,P PRIETO FC 2410         ,          ,0,0,9088.80,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
