CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,76,BG GB                    ,          ,0,0,491.40,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202011,2050,1,2050    ,1039,        ,0,2020-11-01,0,76,BG GB                    ,          ,0,1,0.00,2901.60,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202011,1120,1,        ,0,        ,0,2020-11-01,0,76,BG GB                    ,          ,0,0,70.20,0.00,0                             ,0                             ,IVA PERCEPCION                ,                              ,                              
700,202011,9110,1,        ,0,        ,0,2020-11-01,0,76,BG GB                    ,          ,0,0,2340.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,77,BG GB                    ,          ,0,0,69.72,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202011,2050,1,2050    ,1039,        ,0,2020-11-01,0,77,BG GB                    ,          ,0,1,0.00,401.72,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202011,9110,1,        ,0,        ,0,2020-11-01,0,77,BG GB                    ,          ,0,0,332.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,78,BG GB                    ,          ,0,0,31.50,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202011,2050,1,2050    ,1039,        ,0,2020-11-01,0,78,BG GB                    ,          ,0,2,0.00,181.50,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202011,9110,1,        ,0,        ,0,2020-11-01,0,78,BG GB                    ,          ,0,0,150.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,95,DE VEGA M FC183          ,          ,0,0,1735.54,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202011,2050,1,2050    ,3008,        ,0,2020-11-01,0,95,DE VEGA M FC183          ,          ,2,183,0.00,10000.00,0                             ,0                             ,PROVEEDORES                   ,DE VEGA MARISA                ,                              
700,202011,8010,1,8010    ,4,        ,0,2020-11-01,0,95,DE VEGA M FC183          ,          ,0,0,2066.12,0.00,0                             ,0                             ,PERSONAL ESTRUCTURA CAMPO     ,MANUTENCION                   ,                              
700,202011,7030,1,7030    ,4,        ,0,2020-11-01,0,95,DE VEGA M FC183          ,          ,0,0,2066.12,0.00,0                             ,0                             ,PERSONAL EMPRESA MAQUINARIA   ,MANUTENCION                   ,                              
700,202011,6405,1,        ,0,        ,0,2020-11-01,0,95,DE VEGA M FC183          ,          ,0,0,4132.22,0.00,0                             ,0                             ,MANUTENCION GANADERIA         ,                              ,                              
700,202011,2050,1,2050    ,3008,        ,0,2020-11-01,0,96,DE VEGA M FC 184         ,          ,2,184,0.00,9050.31,0                             ,0                             ,PROVEEDORES                   ,DE VEGA MARISA                ,                              
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,96,DE VEGA M FC 184         ,          ,0,0,1570.71,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202011,8080,1,8080    ,1,        ,0,2020-11-01,0,96,DE VEGA M FC 184         ,          ,0,0,7479.60,0.00,0                             ,0                             ,OTROS GASTOS CASCO            ,ALIMENTACION CHALET           ,                              
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,98,E DIEGO FC 590           ,          ,0,0,1010.67,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202011,2050,1,2050    ,3461,        ,0,2020-11-01,0,98,E DIEGO FC 590           ,          ,3,590,0.00,5823.38,0                             ,0                             ,PROVEEDORES                   ,EDGARDO DIEGO                 ,                              
700,202011,7020,1,7020    ,3,        ,0,2020-11-01,0,98,E DIEGO FC 590           ,          ,0,0,4812.71,0.00,0                             ,0                             ,IMPLEMENTOS                   ,REPUESTOS Y REPARACIONES      ,                              
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,99,E DIEGO FC 563           ,          ,0,0,3663.55,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202011,2050,1,2050    ,3461,        ,0,2020-11-01,0,99,E DIEGO FC 563           ,          ,3,563,0.00,21109.02,0                             ,0                             ,PROVEEDORES                   ,EDGARDO DIEGO                 ,                              
700,202011,7020,1,7020    ,3,        ,0,2020-11-01,0,99,E DIEGO FC 563           ,          ,0,0,17445.47,0.00,0                             ,0                             ,IMPLEMENTOS                   ,REPUESTOS Y REPARACIONES      ,                              
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,100,E DIEGO FC 506           ,          ,0,0,5493.10,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202011,2050,1,2050    ,3461,        ,0,2020-11-01,0,100,E DIEGO FC 506           ,          ,3,506,0.00,31650.71,0                             ,0                             ,PROVEEDORES                   ,EDGARDO DIEGO                 ,                              
700,202011,7020,1,7020    ,3,        ,0,2020-11-01,0,100,E DIEGO FC 506           ,          ,0,0,26157.61,0.00,0                             ,0                             ,IMPLEMENTOS                   ,REPUESTOS Y REPARACIONES      ,                              
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,102,P PRIETO FC 2468         ,          ,0,0,18408.18,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202011,2050,1,2050    ,2584,        ,0,2020-11-01,0,102,P PRIETO FC 2468         ,          ,2,2468,0.00,106066.18,0                             ,0                             ,PROVEEDORES                   ,PABLO ANTONIO PRIETO          ,                              
700,202011,6901,1,6901    ,1,        ,0,2020-11-01,0,102,P PRIETO FC 2468         ,          ,0,0,87658.00,0.00,0                             ,0                             ,SANIDAD GANADERIA             ,PRODUCTOS VETERINARIOS        ,                              
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,103,P PRIETO FC 2469         ,          ,0,0,52800.30,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202011,2050,1,2050    ,2584,        ,0,2020-11-01,0,103,P PRIETO FC 2469         ,          ,2,2469,0.00,304230.30,0                             ,0                             ,PROVEEDORES                   ,PABLO ANTONIO PRIETO          ,                              
700,202011,6901,1,6901    ,1,        ,0,2020-11-01,0,103,P PRIETO FC 2469         ,          ,0,0,251430.00,0.00,0                             ,0                             ,SANIDAD GANADERIA             ,PRODUCTOS VETERINARIOS        ,                              
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,128,J POGGI FC 3686          ,          ,0,0,4788.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202011,2050,1,2050    ,1031,        ,0,2020-11-01,0,128,J POGGI FC 3686          ,          ,3,3686,0.00,27588.00,0                             ,0                             ,PROVEEDORES                   ,JORGE A POGGI                 ,                              
700,202011,9010,1,9010    ,9,        ,0,2020-11-01,0,128,J POGGI FC 3686          ,          ,0,0,22800.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ASESORAMIENTO CONTABLE        ,                              
700,202011,1080,1,IVA     ,5,        ,0,2020-11-01,0,167,AS FC 22784              ,          ,0,0,224.05,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
