CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
700,202012,8090,1,8090    ,3,        ,0,2020-12-01,10,104,CECT FC 27360            ,          ,0,0,12775.72,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,ENERGIA ELECTRICA             ,                              
700,202012,2050,1,2050    ,1007,        ,0,2020-12-01,11,105,CECT FC 27358            ,          ,6,27358,0.00,3849.95,0                             ,0                             ,PROVEEDORES                   ,COOP ELECTRICA DE C. TEJE     ,                              
700,202012,1080,1,IVA     ,4,        ,0,2020-12-01,11,105,CECT FC 27358            ,          ,0,0,750.31,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
700,202012,8090,1,8090    ,3,        ,0,2020-12-01,11,105,CECT FC 27358            ,          ,0,0,3099.64,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,ENERGIA ELECTRICA             ,                              
700,202012,2050,1,2050    ,1007,        ,0,2020-12-01,12,106,CECT FC 27359            ,          ,6,27359,0.00,3084.85,0                             ,0                             ,PROVEEDORES                   ,COOP ELECTRICA DE C. TEJE     ,                              
700,202012,1080,1,IVA     ,4,        ,0,2020-12-01,12,106,CECT FC 27359            ,          ,0,0,600.61,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
700,202012,8090,1,8090    ,3,        ,0,2020-12-01,12,106,CECT FC 27359            ,          ,0,0,2484.24,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,ENERGIA ELECTRICA             ,                              
700,202012,1080,1,IVA     ,5,        ,0,2020-12-01,13,127,CER DON NINO FC 17625    ,          ,0,0,613.53,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202012,2050,1,2050    ,2446,        ,0,2020-12-01,13,127,CER DON NINO FC 17625    ,          ,7,17625,0.00,4131.20,0                             ,0                             ,PROVEEDORES                   ,CEREALES DON NINO SA          ,                              
700,202012,8060,1,8060    ,1,        ,0,2020-12-01,13,127,CER DON NINO FC 17625    ,          ,0,0,3517.67,0.00,0                             ,0                             ,CAMIONETA TOYOTA 2017         ,COMBUSTIBLE                   ,                              
700,202012,1080,1,IVA     ,5,        ,0,2020-12-01,14,128,CER D NINO FC 11917      ,          ,0,0,194.46,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202012,2050,1,2050    ,2446,        ,0,2020-12-01,14,128,CER D NINO FC 11917      ,          ,37,11917,0.00,1300.04,0                             ,0                             ,PROVEEDORES                   ,CEREALES DON NINO SA          ,                              
700,202012,8060,1,8060    ,1,        ,0,2020-12-01,14,128,CER D NINO FC 11917      ,          ,0,0,1105.58,0.00,0                             ,0                             ,CAMIONETA TOYOTA 2017         ,COMBUSTIBLE                   ,                              
700,202012,1080,1,IVA     ,5,        ,0,2020-12-01,15,129,CENCOS FC 3286           ,          ,0,0,1232.23,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202012,2050,1,2050    ,2016,        ,0,2020-12-01,15,129,CENCOS FC 3286           ,          ,2484,3286,0.00,7334.71,0                             ,0                             ,PROVEEDORES                   ,CENCOSUD S.A                  ,                              
700,202012,8080,1,8080    ,4,        ,0,2020-12-01,15,129,CENCOS FC 3286           ,          ,0,0,6102.48,0.00,0                             ,0                             ,OTROS GASTOS CASCO            ,GASTOS VARIOS CASCO           ,                              
700,202012,1080,1,IVA     ,5,        ,0,2020-12-01,16,130,LA ANON FC 11600         ,          ,0,0,783.48,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202012,2050,1,2050    ,2069,        ,0,2020-12-01,16,130,LA ANON FC 11600         ,          ,4792,11600,0.00,5390.50,0                             ,0                             ,PROVEEDORES                   ,SUPERMECADOS LA ANONIMA       ,                              
700,202012,8080,1,8080    ,1,        ,0,2020-12-01,16,130,LA ANON FC 11600         ,          ,0,0,4607.02,0.00,0                             ,0                             ,OTROS GASTOS CASCO            ,ALIMENTACION CHALET           ,                              
700,202012,2050,1,2050    ,2016,        ,0,2020-12-01,17,131,CENCOS FC 1162           ,          ,7402,1162,0.00,11392.65,0                             ,0                             ,PROVEEDORES                   ,CENCOSUD S.A                  ,                              
700,202012,1080,1,IVA     ,5,        ,0,2020-12-01,17,131,CENCOS FC 1162           ,          ,0,0,1847.30,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202012,8090,1,8090    ,6,        ,0,2020-12-01,17,131,CENCOS FC 1162           ,          ,0,0,9545.35,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,OTROS                         ,                              
700,202012,1080,1,IVA     ,5,        ,0,2020-12-01,18,132,BG GB                    ,          ,0,0,491.40,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202012,2050,1,2050    ,1039,        ,0,2020-12-01,18,132,BG GB                    ,          ,0,1,0.00,2901.60,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202012,1120,1,        ,0,        ,0,2020-12-01,18,132,BG GB                    ,          ,0,0,70.20,0.00,0                             ,0                             ,IVA PERCEPCION                ,                              ,                              
700,202012,9110,1,        ,0,        ,0,2020-12-01,18,132,BG GB                    ,          ,0,0,2340.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
700,202012,1080,1,IVA     ,5,        ,0,2020-12-01,19,133,BG GB                    ,          ,0,0,167.79,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202012,2050,1,2050    ,1039,        ,0,2020-12-01,19,133,BG GB                    ,          ,0,2,0.00,966.79,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202012,1020,1,1020    ,1,        ,0,2020-12-10,64,8,GASTON FEIL              ,          ,0,0,0.00,15800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202012,2050,1,2050    ,2469,        ,0,2020-12-10,65,9,SERVICOPP 44158          ,          ,0,0,3500.00,0.00,0                             ,0                             ,PROVEEDORES                   ,SERVI COOP SA                 ,                              
700,202012,1020,1,1020    ,1,        ,0,2020-12-10,65,9,SERVICOPP 44158          ,          ,0,0,0.00,3500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202012,2050,1,2050    ,1031,        ,0,2020-12-10,66,12,POGGI FC 3735            ,          ,0,0,27588.00,0.00,0                             ,0                             ,PROVEEDORES                   ,JORGE A POGGI                 ,                              
700,202012,1020,1,1020    ,1,        ,0,2020-12-10,66,12,POGGI FC 3735            ,          ,0,0,0.00,27588.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202012,2050,1,2050    ,3034,        ,0,2020-12-10,67,13,ZABALEGUI HNOS           ,          ,0,0,188406.40,0.00,0                             ,0                             ,PROVEEDORES                   ,ZABALEGUI HNOS                ,                              
700,202012,1020,1,1020    ,1,        ,0,2020-12-10,67,13,ZABALEGUI HNOS           ,          ,0,0,0.00,188406.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202012,2050,1,2050    ,3031,        ,0,2020-12-10,68,14,SALLABERRY  JUAN         ,          ,0,0,103550.00,0.00,0                             ,0                             ,PROVEEDORES                   ,SALABERRY J CARLOS            ,                              
700,202012,1020,1,1020    ,1,        ,0,2020-12-10,68,14,SALLABERRY  JUAN         ,          ,0,0,0.00,103550.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202012,2050,1,2050    ,3032,        ,0,2020-12-10,69,15,SALABERRY M ROSA         ,          ,0,0,103550.00,0.00,0                             ,0                             ,PROVEEDORES                   ,SALABERRY M ROSA              ,                              
700,202012,1020,1,1020    ,1,        ,0,2020-12-10,69,15,SALABERRY M ROSA         ,          ,0,0,0.00,103550.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202012,2050,1,2050    ,3029,        ,0,2020-12-10,70,16,CERVETTO M ESTELA        ,          ,0,0,103550.00,0.00,0                             ,0                             ,PROVEEDORES                   ,CERVETTO MARIA ESTELA         ,                              
700,202012,1020,1,1020    ,1,        ,0,2020-12-10,70,16,CERVETTO M ESTELA        ,          ,0,0,0.00,103550.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202012,1020,1,1020    ,1,        ,0,2020-12-10,71,17,ARRENDAM DIC2020         ,          ,0,0,0.00,1035495.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202012,2050,1,2050    ,3034,        ,0,2020-12-10,71,17,ARRENDAM DIC2020         ,          ,0,0,138065.00,0.00,0                             ,0                             ,PROVEEDORES                   ,ZABALEGUI HNOS                ,                              
700,202012,2050,1,2050    ,3029,        ,0,2020-12-10,71,17,ARRENDAM DIC2020         ,          ,0,0,69032.50,0.00,0                             ,0                             ,PROVEEDORES                   ,CERVETTO MARIA ESTELA         ,                              
700,202012,2050,1,2050    ,3033,        ,0,2020-12-10,71,17,ARRENDAM DIC2020         ,          ,0,0,69032.50,0.00,0                             ,0                             ,PROVEEDORES                   ,CERVETTO RAUL CERVETTO        ,                              
700,202012,2050,1,2050    ,3031,        ,0,2020-12-10,71,17,ARRENDAM DIC2020         ,          ,0,0,69032.50,0.00,0                             ,0                             ,PROVEEDORES                   ,SALABERRY J CARLOS            ,                              
700,202012,2050,1,2050    ,3032,        ,0,2020-12-10,71,17,ARRENDAM DIC2020         ,          ,0,0,69032.00,0.00,0                             ,0                             ,PROVEEDORES                   ,SALABERRY M ROSA              ,                              
700,202012,1160,1,1160    ,8,        ,0,2020-12-10,71,17,ARRENDAM DIC2020         ,          ,0,0,621300.50,0.00,0                             ,0                             ,OTROS CREDITOS                ,RETIRO SOCIOS VARIOS          ,                              
700,202012,2050,1,2050    ,3033,        ,0,2020-12-10,72,18,CERVETTO RAUL            ,          ,0,0,95211.05,0.00,0                             ,0                             ,PROVEEDORES                   ,CERVETTO RAUL CERVETTO        ,                              
700,202012,1020,1,1020    ,1,        ,0,2020-12-10,72,18,CERVETTO RAUL            ,          ,0,0,0.00,95211.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202012,2050,1,2050    ,3452,        ,0,2020-12-10,73,22,MANFREDI J FC 34         ,          ,0,0,12900.00,0.00,0                             ,0                             ,PROVEEDORES                   ,MANFREDI JOSE                 ,                              
700,202012,1020,1,1020    ,1,        ,0,2020-12-10,73,22,MANFREDI J FC 34         ,7872      ,0,255,0.00,12900.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202012,2050,1,2050    ,2646,        ,0,2020-12-10,74,28,MAS FERRETFC 18090/18352 ,          ,0,0,48850.39,0.00,0                             ,0                             ,PROVEEDORES                   ,MAS FERRETERIA SA             ,                              
700,202012,1020,1,1020    ,1,        ,0,2020-12-10,74,28,MAS FERRETFC 18090/18352 ,7884      ,0,263,0.00,48850.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202012,1080,1,IVA     ,5,        ,0,2020-12-10,75,43,MARTINEZ DANIEL NC 15    ,          ,0,0,0.00,10776.40,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202012,2050,1,2050    ,3672,        ,0,2020-12-10,75,43,MARTINEZ DANIEL NC 15    ,          ,2,15,62092.60,0.00,0                             ,0                             ,PROVEEDORES                   ,MARTINEZ DANIEL ALEJANDRO     ,                              
700,202012,9110,1,        ,0,        ,0,2020-12-10,88,143,BG GB                    ,          ,0,0,150.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
