CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
700,202101,2050,1,2050    ,1127,        ,0,2021-01-04,10,32,L DEL RIOA FC 9436       ,          ,2,9436,0.00,24181.01,0                             ,0                             ,PROVEEDORES                   ,LUIS B.DEL RIO                ,                              
700,202101,8050,1,8050    ,2,        ,0,2021-01-04,10,32,L DEL RIOA FC 9436       ,          ,0,0,19984.30,0.00,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,EDIFICIOS Y GALPONES          ,                              
700,202101,1080,1,IVA     ,5,        ,0,2021-01-04,11,33,L DEL RIO FC 9437        ,          ,0,0,260.33,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202101,2050,1,2050    ,1127,        ,0,2021-01-04,11,33,L DEL RIO FC 9437        ,          ,2,9437,0.00,1500.00,0                             ,0                             ,PROVEEDORES                   ,LUIS B.DEL RIO                ,                              
700,202101,8050,1,8050    ,2,        ,0,2021-01-04,11,33,L DEL RIO FC 9437        ,          ,0,0,1239.67,0.00,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,EDIFICIOS Y GALPONES          ,                              
700,202101,1020,1,1020    ,8,        ,0,2021-01-04,12,41,BPC                      ,          ,0,0,130000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
700,202101,1020,1,1020    ,1,        ,0,2021-01-04,12,41,BPC                      ,          ,0,0,0.00,130000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202101,9010,1,9010    ,6,        ,0,2021-01-04,13,42,TINO LIMP                ,          ,0,0,2000.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,LIMPIEZA                      ,                              
700,202101,2050,1,2050    ,1023,        ,0,2021-01-05,43,68,BG MAPFRE                ,          ,0,0,1525.12,0.00,0                             ,0                             ,PROVEEDORES                   ,MAFRE ACONCAGUA CIA SEGUR     ,                              
700,202101,1020,1,1020    ,1,        ,0,2021-01-05,43,68,BG MAPFRE                ,          ,0,0,0.00,1525.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202101,2050,1,2050    ,1023,        ,0,2021-01-05,44,69,BG MAPFRE                ,          ,0,0,4557.19,0.00,0                             ,0                             ,PROVEEDORES                   ,MAFRE ACONCAGUA CIA SEGUR     ,                              
700,202101,1020,1,1020    ,1,        ,0,2021-01-05,44,69,BG MAPFRE                ,          ,0,0,0.00,4557.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202101,1080,1,IVA     ,5,        ,0,2021-01-06,45,10,SIGRA ND 6726            ,          ,0,0,760.61,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202101,1050,1,1050    ,104,        ,0,2021-01-06,45,10,SIGRA ND 6726            ,          ,4,6726,0.00,4418.80,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
700,202101,9020,1,9020    ,1,        ,0,2021-01-06,45,10,SIGRA ND 6726 CAP        ,          ,0,0,36.22,0.00,0                             ,0                             ,IMPUESTOS                     ,INGRESOS BRUTOS               ,                              
700,202101,5313,1,        ,0,        ,0,2021-01-06,45,10,SIGRA ND 6726 DIF DE CAM ,          ,0,0,3621.97,0.00,0                             ,0                             ,HERBICIDAS SOJA               ,                              ,                              
700,202101,1020,1,1020    ,1,        ,0,2021-01-06,46,13,AFIP                     ,          ,0,0,0.00,27032.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
