CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
700,202104,2050,1,2050    ,3451,        ,0,2021-04-01,0,3,HB FC 117213             ,          ,0,117213,0.00,47071.54,0                             ,0                             ,PROVEEDORES                   ,HOSPITAL BRITANICO            ,                              
700,202104,1080,1,IVA     ,2,        ,0,2021-04-01,0,3,HB FC 117213             ,          ,0,0,4472.86,0.00,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
700,202104,8520,1,8520    ,7,        ,0,2021-04-01,0,3,HB FC 117213             ,          ,0,0,42598.68,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,OTROS GASTOS                  ,                              
700,202104,1080,1,IVA     ,5,        ,0,2021-04-01,0,47,BG GB                    ,          ,0,0,210.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202104,2050,1,2050    ,1039,        ,0,2021-04-01,0,47,BG GB                    ,          ,0,6,0.00,1210.00,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
700,202104,9110,1,        ,0,        ,0,2021-04-01,0,47,BG GB                    ,          ,0,0,1000.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
700,202104,2050,1,2050    ,2443,        ,0,2021-04-01,0,55,AMX FC 1057182 NOV20     ,          ,1043,1057182,0.00,2478.27,0                             ,0                             ,PROVEEDORES                   ,AMX ARGENTINA SA              ,                              
700,202104,1080,1,IVA     ,4,        ,0,2021-04-01,0,55,AMX FC 1057182 NOV20     ,          ,0,0,277.43,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
700,202104,2050,1,2050    ,2443,        ,0,2021-04-01,0,55,AMX FC 1057182 NOV20     ,          ,0,0,1099.89,0.00,0                             ,0                             ,PROVEEDORES                   ,AMX ARGENTINA SA              ,                              
700,202104,9020,1,9020    ,1,        ,0,2021-04-01,0,55,AMX FC 1057182 NOV20     ,          ,0,0,19.37,0.00,0                             ,0                             ,IMPUESTOS                     ,INGRESOS BRUTOS               ,                              
700,202104,9020,1,9020    ,2,        ,0,2021-04-01,0,55,AMX FC 1057182 NOV20     ,          ,0,0,54.08,0.00,0                             ,0                             ,IMPUESTOS                     ,IMPUESTOS VARIOS              ,                              
700,202104,8520,1,8520    ,8,        ,0,2021-04-01,0,55,AMX FC 1057182 NOV20     ,          ,0,0,1027.50,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,TELEFONO MOVIL                ,                              
700,202104,2050,1,2050    ,2443,        ,0,2021-04-01,0,56,AMX FC 1057182           ,          ,1043,1057182,0.00,1099.89,0                             ,0                             ,PROVEEDORES                   ,AMX ARGENTINA SA              ,                              
700,202104,1080,1,IVA     ,5,        ,0,2021-04-01,0,56,AMX FC 1057182           ,          ,0,0,190.89,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
