CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
700,202105,1080,1,IVA     ,5,        ,0,2021-05-03,18,139,QUARIN FC 16568          ,          ,0,0,1127.36,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202105,2050,1,2050    ,1089,        ,0,2021-05-03,18,139,QUARIN FC 16568          ,          ,4,16568,0.00,7951.60,0                             ,0                             ,PROVEEDORES                   ,QUARIN Y CIA SRL              ,                              
700,202105,8020,1,8020    ,3,        ,0,2021-05-03,18,139,QUARIN FC 16568          ,          ,0,0,6824.24,0.00,0                             ,0                             ,CAMIONETA                     ,GAS OIL                       ,                              
700,202105,8050,1,8050    ,5,        ,0,2021-05-03,17,81,CAR GARCIA FC 8          ,          ,0,0,15240.00,0.00,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,ALAMBRADOS Y TRANQUERAS       ,                              
700,202105,2050,1,2050    ,3685,        ,0,2021-05-03,17,81,CAR GARCIA FC 8          ,          ,0,0,0.00,15240.00,0                             ,0                             ,PROVEEDORES                   ,CARP GARCIA GARCIA FUENTES    ,                              
700,202105,1420,1,1420    ,7,        ,0,2021-05-03,16,45,L ZABALA FC 24287 P SOLAR,          ,0,0,20063.00,0.00,0                             ,0                             ,INVERSIONES ACTIVIDAD GANADERA,MOLINOS Y AGUADAS             ,                              
700,202105,1080,1,IVA     ,2,        ,0,2021-05-03,16,45,L ZABALA FC 24287        ,          ,0,0,2106.62,0.00,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
700,202105,2050,1,2050    ,2097,        ,0,2021-05-03,16,45,L ZABALA FC 24287        ,          ,3,24287,0.00,22169.62,0                             ,0                             ,PROVEEDORES                   ,LUIS JOSE ZABALA              ,                              
700,202105,1020,1,1020    ,1,        ,0,2021-05-03,15,43,JUAN                     ,          ,0,0,0.00,12000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202105,1160,1,1160    ,42,        ,0,2021-05-03,15,43,JUAN                     ,          ,0,0,12000.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,JUAN CONV U$S                 ,                              
700,202105,1020,1,1020    ,1,        ,0,2021-05-03,14,42,BOTIJA FC 912            ,          ,0,0,0.00,9559.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202105,2050,1,2050    ,2655,        ,0,2021-05-03,14,42,BOTIJA FC 912            ,          ,0,0,9559.00,0.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
700,202105,2050,1,2050    ,2799,        ,0,2021-05-03,13,40,AFIP RET GAN             ,          ,0,0,5469.04,0.00,0                             ,0                             ,PROVEEDORES                   ,FUMIGACIONES HERBINSEC SRL    ,                              
700,202105,1020,1,1020    ,1,        ,0,2021-05-03,13,40,AFIP RET GAN             ,          ,0,0,0.00,18946.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
700,202105,2050,1,2050    ,1133,        ,0,2021-05-03,13,40,AFIP RET GAN             ,          ,0,0,8998.58,0.00,0                             ,0                             ,PROVEEDORES                   ,PEDRO GENTA Y CIA S.A.        ,                              
700,202105,2050,1,2050    ,9999,        ,0,2021-05-03,13,40,AFIP RET GANBLANCO S     ,          ,0,0,4479.00,0.00,0                             ,0                             ,PROVEEDORES                   ,VARIOS                        ,                              
700,202105,6058,1,        ,0,        ,0,2021-05-03,12,37,T JAIMITO FC 99          ,          ,0,0,44000.00,0.00,0                             ,0                             ,FLETE COMPRA HACIENDA CRIA    ,                              ,                              
700,202105,2050,1,2050    ,3038,        ,0,2021-05-03,12,37,T JAIMITO FC 99          ,          ,2,99,0.00,53240.00,0                             ,0                             ,PROVEEDORES                   ,TRANSPORTE JAIMITO            ,                              
700,202105,1020,1,1020    ,5,        ,0,2021-05-02,5,44,DONACION SALITA PAST     ,916       ,0,425,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
700,202105,8520,1,8520    ,2,        ,0,2021-05-02,5,44,DONACION SALITA PAST     ,          ,0,0,10000.00,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,DONACIONES                    ,                              
700,202105,1080,1,IVA     ,5,        ,0,2021-05-03,12,37,T JAIMITO FC 99          ,          ,0,0,9240.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
700,202105,1020,1,1020    ,1,        ,0,2021-05-03,11,22,YOMEL ND3267             ,          ,0,0,0.00,2888.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
