CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201207,1010,1,1010    ,1,        ,0,2012-07-01,10,194,APERTURA JULIO 2012      ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
70,201207,1010,1,1010    ,2,        ,0,2012-07-01,10,194,APERTURA JULIO 2012      ,          ,0,0,718684.44,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
70,201207,1010,1,1010    ,3,        ,0,2012-07-01,10,194,APERTURA JULIO 2012      ,          ,0,0,0.00,241.11,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201207,1010,1,1010    ,3,        ,0,2012-07-17,104,71,MENS /FF                 ,          ,0,0,350.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201207,1010,1,1010    ,3,        ,0,2012-07-18,128,100,CONGRESO AACREA/VHG      ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201207,1020,1,1020    ,1,        ,0,2012-07-01,10,194,APERTURA JULIO 2012      ,          ,0,0,150342.81,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201207,1020,1,1020    ,1,        ,0,2012-07-01,8,191,GAL GB                   ,          ,0,0,0.00,5.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201207,1020,1,1020    ,1,        ,0,2012-07-02,22,89,BCO GAL IMP FISCAL       ,          ,0,0,0.00,4.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201207,1020,1,1020    ,1,        ,0,2012-07-02,23,90,BCO GAL IIBB             ,          ,0,0,0.00,14.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201207,1020,1,1020    ,1,        ,0,2012-07-02,11,1,GAL RURAL RE 1492645     ,          ,0,0,0.00,88225.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
