CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201208,1020,1,1020    ,1,        ,0,2012-08-01,1,6,PATENTE PEO CUOTA 2      ,8188      ,0,1210,0.00,422.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-01,12,82,BG GB                    ,          ,0,0,0.00,421.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-01,13,83,B GAL IIBB               ,          ,0,0,0.00,6.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-02,25,7,OLEAG FC 8486            ,8200      ,0,1219,0.00,21760.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-03,30,4,LIMPIEZA OF              ,8198      ,0,1217,0.00,200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-04,32,2,VET NORTE FC 19978       ,9942      ,0,1174,0.00,943.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-05,35,1,QUARIN FC 103330         ,9937      ,0,1169,0.00,325.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-05,36,94,C ACOP                   ,9930      ,0,1162,0.00,502.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-06,50,95,CTA                      ,8196      ,0,1215,0.00,342.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-06,45,84,ZURICH                   ,          ,0,0,0.00,380.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-06,46,85,ZURICH                   ,          ,0,0,0.00,812.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-06,47,86,MAPFRE                   ,          ,0,0,0.00,501.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-06,48,87,MAPFRE VIDA              ,          ,0,0,0.00,127.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-06,49,88,AACREA                   ,          ,0,0,0.00,668.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-06,37,11,EXP 7/2012               ,          ,0,0,0.00,10415.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-06,38,18,MUNIC TEJ CAMINOS CUOTA4 ,8201      ,0,1220,0.00,10162.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-06,42,37,N MILLAN FC 48107 CUOTA1 ,8203      ,0,1221,0.00,1253.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-07,59,19,C SOS JULIO2012          ,8199      ,0,1218,0.00,11539.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-07,60,20,LA PELADA                ,          ,0,0,29640.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-07,61,25,POGGI FC 6203            ,8194      ,0,1213,0.00,2196.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-07,62,26,MENS JULIO2012           ,8197      ,0,1216,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-07,63,27,PATENTE CUOTA 3          ,8190      ,0,1211,0.00,374.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-07,58,3,J DECESARE FC 33501      ,9946      ,0,1178,0.00,148.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-08,70,14,ESC FOR FC 2317/18       ,8226      ,0,1242,0.00,2003.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,83,39,F GRANDE FC 78           ,9938      ,0,1170,0.00,2492.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,84,41,AFIP B PER ANT 2         ,215       ,0,1232,0.00,1300.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,85,42,AFIP B PER ANT 2         ,8214      ,0,1231,0.00,4884.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,86,43,AFIP ANT 9 GANANCIAS     ,8213      ,0,1230,0.00,9224.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,88,45,HG JUB 7/2012            ,8211      ,0,1228,0.00,264.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,87,44,MONOT                    ,8210      ,0,1227,0.00,390.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,89,52,OSDE                     ,8222      ,0,1238,0.00,1426.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,90,55,                         ,8221      ,0,1237,0.00,751.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,91,56,ALQUIL AGOSTO2012        ,8228      ,0,1244,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,92,57,MAPFRE                   ,8225      ,0,1241,0.00,80.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,93,60,E FORNIELES FC 2323      ,8231      ,0,1246,0.00,263.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201208,1020,1,1020    ,1,        ,0,2012-08-13,94,65,DIESEL LANGE FC 103581   ,9932      ,0,1164,0.00,1090.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
