CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201209,1010,1,1010    ,2,        ,0,2012-09-04,14,1,VTA 89500 DOL            ,          ,0,0,0.00,413042.50,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-03,6,23,MARTINDALE  08/12        ,0579      ,0,0,0.00,10815.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-03,7,24,HG                       ,0577      ,0,1343,0.00,3000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-03,9,138,BCO GAL GB               ,          ,0,0,0.00,428.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-03,10,139,GAL DEV PREST            ,          ,0,0,0.00,260194.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-03,11,140,VISA                     ,0588      ,0,0,0.00,31801.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-03,12,141,BCO GAL IIB              ,          ,0,0,0.00,6.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-03,13,142,BCO GAL IIBB             ,          ,0,0,0.00,182.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,39,143,FV                       ,8261      ,0,0,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,40,150,ZABALA FC 807/06/631     ,9947      ,0,1179,0.00,13747.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,41,151,G CUELLO FC 473          ,8244      ,0,1308,0.00,6178.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,20,28,EDESUR                   ,8277      ,0,1338,0.00,79.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,14,1,VTA 89500 DOL            ,          ,0,0,413042.50,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,16,5,JUAN AGOSTO2012          ,8267      ,0,1329,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,17,6,DEL RIO FC 13911/986/077 ,8239      ,0,1303,0.00,1823.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,18,7,CTA FC 148369/384        ,8278      ,0,1339,0.00,317.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,19,8,J CASADO FC 2166         ,586       ,0,1351,0.00,3824.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,21,29,POGGI FC 6239            ,8273      ,0,1335,0.00,2196.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,22,30,SIGRA FC 40259           ,8260      ,0,1341,0.00,21654.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,23,31,JAIME AGOST-2012         ,8271      ,0,1333,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,24,32,C SOC AGOST-2012         ,8261      ,0,1342,0.00,13028.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,25,33,DOM                      ,8233      ,0,1248,0.00,105.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,26,34,GAN ANT 10               ,8232      ,0,1247,0.00,9224.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,27,35,SDO EBP AGOSTO2012       ,8266      ,0,1328,0.00,5932.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,28,36,HG                       ,8268      ,0,1330,0.00,8400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,29,37,DESAB FC 6532            ,9941      ,0,1173,0.00,5438.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,30,38,DESAB SA FC 6753         ,8253      ,0,1316,0.00,2447.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,31,39,O SANTAMARIA             ,8206      ,0,1224,0.00,23000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,32,40,O SANTAMARIA             ,8207      ,0,1225,0.00,25453.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,33,41,SERV COOP FC 67422       ,8248      ,0,1311,0.00,402.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,34,42,QUARIN FC 103605/18      ,8259      ,0,1322,0.00,129.63,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,35,43,AS FC JUNIO 2012         ,8242      ,0,1306,0.00,1120.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,36,44,J ORDEN FC 1727          ,8245      ,0,1309,0.00,3830.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-04,37,49,DEV EL INDIO             ,0589      ,0,1354,0.00,450000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,42,3,CRESPO                   ,          ,0,0,136148.56,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,53,27,BOTIJA ALQ SEP 2012      ,8263      ,0,1325,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,51,25,EXP OF                   ,8265      ,0,1327,0.00,198.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,52,26,LIMPIEZA                 ,8264      ,0,1326,0.00,200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,50,22,SANTAMARIA  RET GAN      ,995       ,0,1182,0.00,711.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,44,16,SINEGUB FC 6575          ,8240      ,0,1304,0.00,1673.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,45,17,ENCOS FC 2909            ,8250      ,0,1313,0.00,3227.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,46,18,DEL RIO FC 13801/7/2     ,8249      ,0,1312,0.00,205.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,47,19,ZABALA FC 29130          ,8251      ,0,1314,0.00,163.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,48,20,A SCHOEDER FC MAYO12     ,9949      ,0,1181,0.00,18355.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,49,21,BETTI JUB                ,0578      ,0,1344,0.00,175.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,56,147,MAPFRE 4/04              ,          ,0,0,0.00,501.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,57,148,MAPFRE 10/12             ,          ,0,0,0.00,127.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,58,149,AACREA DEB               ,          ,0,0,0.00,668.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,54,145,ZURICH 3/05              ,          ,0,0,0.00,812.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-05,55,146,ZURICH                   ,          ,0,0,0.00,380.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-09,66,144,DIESEL FC 40287          ,8243      ,0,1307,0.00,681.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-10,71,153,BCO GAL CHEQ             ,          ,0,0,0.00,605.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-10,72,154,BCO GAL IIBB             ,          ,0,0,0.00,15.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-11,76,15,WILLANS FC 346           ,8254      ,0,1317,0.00,18818.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-11,77,45,COR ENV FC 4981/4976     ,8252      ,0,1315,0.00,5347.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-11,78,46,IIBB AGOSTO2012          ,8164      ,0,892,0.00,515.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-11,79,47,A WILLANS RET GAN        ,8255      ,0,1318,0.00,245.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-11,80,48,MAPFRE                   ,8236      ,0,1250,0.00,242.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-12,82,57,MOL CHAC                 ,          ,0,0,50518.14,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-14,98,60,CREA JUNIO/JULIO12       ,0591      ,0,1268,0.00,7088.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-17,106,155,OSDE                     ,          ,0,0,0.00,2457.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-17,104,131,MENS                     ,9959      ,0,1189,0.00,250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-18,107,81,O SANTAMARIA FC 263      ,8258      ,0,1321,0.00,37825.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-19,114,78,DIEGO HNOS FC 16287      ,0587      ,0,1352,0.00,250.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-19,112,75,CECT                     ,9978      ,0,1403,0.00,3245.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-19,115,116,SERVICOOP FC 67689       ,9986      ,0,1411,0.00,390.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-19,116,156,CRESPO LQ 7673           ,          ,0,0,128371.49,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201209,1020,1,1020    ,1,        ,0,2012-09-20,143,120,JUCARFE FC 1534          ,0585      ,0,1350,0.00,2176.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
