CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201210,1020,1,1020    ,1,        ,0,2012-10-01,6,7,AFIP MONOT               ,3098      ,0,1357,0.00,154.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201210,1020,1,1020    ,1,        ,0,2012-10-01,7,8,C BRITANICO AL 30/03/2013,3096      ,0,1355,0.00,520.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201210,1020,1,1020    ,1,        ,0,2012-10-01,8,9,TELEF DE ARG             ,3100      ,0,1359,0.00,660.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201210,1020,1,1020    ,1,        ,0,2012-10-01,9,11,JUAN MONO SEP            ,3099      ,0,1358,0.00,467.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201210,1020,1,1020    ,1,        ,0,2012-10-01,10,27,HG                       ,8272      ,0,1334,0.00,8400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201210,1020,1,1020    ,1,        ,0,2012-10-01,12,30,CTA                      ,3103      ,0,1361,0.00,428.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201210,1020,1,1020    ,1,        ,0,2012-10-01,11,29,POGGI FC 6272            ,3102      ,0,1360,0.00,2196.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201210,1020,1,1020    ,1,        ,0,2012-10-01,13,32,LIMP                     ,9958      ,0,1188,0.00,200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201210,1020,1,1020    ,1,        ,0,2012-10-01,33,133,BCO GAL IIBB             ,          ,0,0,0.00,12.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201210,1020,1,1020    ,1,        ,0,2012-10-01,32,132,BCO GAL COMIS            ,          ,0,0,0.00,508.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201210,1020,1,1020    ,1,        ,0,2012-10-02,48,135,BCO GAL CHEQUERAS        ,          ,0,0,0.00,484.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
