CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201211,1010,1,1010    ,3,        ,0,2012-11-14,68,35,VARIOS EDE/JUB DIF       ,          ,0,0,360.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-01,2,4,JUAN GAVIÑA FC 104       ,3110      ,0,1367,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-01,3,5,M GRAFICA FC 13273       ,3117      ,0,1373,0.00,229.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-01,4,11,OSDE SEP2012             ,3126      ,0,1379,0.00,1563.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-01,5,18,GIMENEZ NOV              ,3111      ,0,1368,0.00,200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-01,6,20,OR FC 13341              ,3115      ,0,1371,0.00,172.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-01,7,22,EDESUR                   ,3120      ,0,1374,0.00,41.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-01,15,92,BG GB                    ,          ,0,0,0.00,377.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-01,16,93,BG IIBB                  ,          ,0,0,0.00,8.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-02,20,27,C S OCTUBRE 2012         ,3146      ,0,1399,0.00,14806.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-05,26,1,MOL CHA FC 65832         ,3139      ,0,1392,0.00,23876.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-05,27,2,CRESPO                   ,          ,0,0,149366.63,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-05,30,40,ZURICH 5/5               ,          ,0,0,0.00,812.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-05,31,41,ZURICH 1/5               ,          ,0,0,0.00,394.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-05,32,42,MPFRE 2/4                ,          ,0,0,0.00,559.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-05,33,43,MAPFRE12/12              ,          ,0,0,0.00,127.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-05,34,44,AACREA                   ,          ,0,0,0.00,668.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-05,35,46,AE MART                  ,3147      ,0,1400,0.00,10937.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-05,36,47,VISA GAL                 ,3148      ,0,1451,0.00,7050.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,48,39,CAC FC 18118             ,3123      ,0,1377,0.00,618.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,37,6,PEUGEOT PAT              ,3136      ,0,1389,0.00,384.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,38,7,SERVICOOP FC 67893       ,3137      ,0,1390,0.00,390.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,41,12,ENCOS FC 2983            ,3124      ,0,1385,0.00,3794.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,39,9,AS FC SEP 2012           ,3128      ,0,1381,0.00,17648.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,40,10,DEL RIO FC 14288/132     ,3132      ,0,1386,0.00,566.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,42,13,L ESCUDERO FC 18355/384/5,3130      ,0,1383,0.00,867.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,43,14,CECT FC 66985/3/4        ,3127      ,0,1380,0.00,3685.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,44,15,QUARIN FC 104999         ,3112      ,0,1369,0.00,12364.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,45,21,J POGGI FC 6309          ,3116      ,0,1372,0.00,2196.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,46,23,CASADO FC 2240 SEP2012   ,3135      ,0,1388,0.00,2592.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-06,47,24,JAIME                    ,3133      ,0,1387,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-07,50,19,DL FC SEP/OCT 2012       ,3113      ,0,1370,0.00,10592.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-07,51,33,DEANE CORTINAS           ,3514      ,0,1466,0.00,1910.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-07,53,37,MGRAFICA FC 13346        ,3156      ,0,1460,0.00,314.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-07,52,34,BOTIJA ALQ NOV2012       ,3141      ,0,1394,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-08,54,25,LZ FC 29665/700/725      ,3158      ,0,1461,0.00,2334.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-08,55,26,EL GURRIA FC 36          ,3152      ,0,1455,0.00,4353.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-12,63,28,AFIP MON 10/12           ,3144      ,0,1397,0.00,467.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-12,66,32,BETTY 10/12              ,3151      ,0,1454,0.00,35.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-12,64,29,MEN                      ,3159      ,0,1462,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-12,65,31,HG JUB 10/2012           ,3145      ,0,1398,0.00,264.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-12,62,17,ASOC HEREF FC 7171       ,3121      ,0,1375,0.00,380.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-12,61,16,AFIP RET GAN             ,3140      ,0,1393,0.00,452.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-12,60,8,J DE PAZ SEMESTRE 2      ,3129      ,0,1382,0.00,816.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-14,68,35,VARIOS EDE/JUB DIF       ,3157      ,0,1465,0.00,390.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-15,71,94,OSDE                     ,          ,0,0,0.00,2628.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-15,70,66,FUTSAN VAC AFTOSA        ,3515      ,0,1295,0.00,9756.37,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-19,83,87,MENS/LIMP/COOR           ,3163      ,0,1467,0.00,557.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-19,81,57,JUAN GAVIÑA              ,0592      ,0,1495,0.00,5556.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-20,89,67,DEL RIO FC 13672/588/519 ,3170      ,0,1474,0.00,283.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-20,90,68,L ESCUDERO FC 18501/518  ,3171      ,0,1475,0.00,2207.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201211,1020,1,1020    ,1,        ,0,2012-11-20,88,62,CREA AGOSTO2012          ,3150      ,0,1453,0.00,3952.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
