CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201212,1010,1,1010    ,3,        ,0,2012-12-10,84,69,DIF CHEQ 621             ,          ,0,0,2.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201212,1010,1,1010    ,3,        ,0,2012-12-20,145,111,FF                       ,          ,0,0,600.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201212,1020,1,1020    ,1,        ,0,2012-12-03,27,119,JG                       ,610       ,0,1510,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201212,1020,1,1020    ,1,        ,0,2012-12-03,28,122,BCO GALIIBB              ,          ,0,0,0.00,11.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201212,1020,1,1020    ,1,        ,0,2012-12-03,17,19,SIMONDI FC 479/449       ,603       ,0,1504,0.00,325.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201212,1020,1,1020    ,1,        ,0,2012-12-03,19,22,GAL GB                   ,          ,0,0,0.00,479.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201212,1020,1,1020    ,1,        ,0,2012-12-04,50,20,DEL RIO FC 14386         ,599       ,0,1500,0.00,109.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201212,1020,1,1020    ,1,        ,0,2012-12-04,49,18,ANT  GANANCIAS 2013  1/10,595       ,0,1496,0.00,25456.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201212,1020,1,1020    ,1,        ,0,2012-12-04,47,16,LIMP DE OFICINA          ,606       ,0,1507,0.00,200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201212,1020,1,1020    ,1,        ,0,2012-12-04,48,17,CALLES FC 419            ,612       ,0,1512,0.00,1056.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201212,1020,1,1020    ,1,        ,0,2012-12-04,33,1,BOTIJA DIC2012           ,3167      ,0,1471,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201212,1020,1,1020    ,1,        ,0,2012-12-04,34,2,AFIP                     ,3143      ,0,1396,0.00,35.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
