CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201301,1010,1,1010    ,3,        ,0,2013-01-09,63,24,CAJA BS AS               ,          ,0,0,0.00,1178.77,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201301,1020,1,1020    ,1,        ,0,2013-01-02,15,8,GALICIA RURAL            ,624       ,0,1522,0.00,220000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201301,1020,1,1020    ,1,        ,0,2013-01-02,16,9,JG DIC2012               ,608       ,0,1509,0.00,5250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201301,1020,1,1020    ,1,        ,0,2013-01-02,17,10,AAPOLO CUOTA2013         ,3231      ,0,1554,0.00,3000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201301,1020,1,1020    ,1,        ,0,2013-01-02,18,11,MENSAJ                   ,3235      ,0,1557,0.00,450.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201301,1020,1,1020    ,1,        ,0,2013-01-02,19,12,MARTINDALE               ,3240      ,0,1562,0.00,11000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201301,1020,1,1020    ,1,        ,0,2013-01-02,20,13,GANANCIAS ANT 2/2013     ,3237      ,0,1559,0.00,10059.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201301,1020,1,1020    ,1,        ,0,2013-01-02,21,14,VISA ENERO HG            ,3241      ,0,1563,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201301,1020,1,1020    ,1,        ,0,2013-01-02,23,21,GAL GB                   ,          ,0,0,0.00,428.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201301,1020,1,1020    ,1,        ,0,2013-01-02,26,51,BG IIBB                  ,          ,0,0,0.00,10.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
