CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201302,1010,1,1010    ,3,        ,0,2013-02-14,0,48,FF                       ,          ,0,0,500.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-01,0,64,BG GB                    ,          ,0,0,0.00,377.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-01,0,66,BG INT                   ,          ,0,0,0.00,74.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-01,0,69,BG IMP FISCAL            ,          ,0,0,0.00,2.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-01,0,70,BG IIBB                  ,          ,0,0,0.00,8.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-04,0,58,DL FC 42824              ,3261      ,0,1579,0.00,76.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-04,0,29,ENCOS FC 3057/*35/94     ,3252      ,0,1572,0.00,9171.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-04,0,40,TEL DE ARG               ,3251      ,0,1571,0.00,762.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-04,0,1,NG FC 16864              ,3521      ,0,1611,0.00,4536.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-04,0,3,AMX SA                   ,3264      ,0,1580,0.00,530.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-04,0,4,PASTEUR                  ,3289      ,0,1602,0.00,15000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-04,0,14,CTI/CAB/TEL              ,3284      ,0,1598,0.00,2144.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-04,0,20,SERV FC 69261 1/13       ,3291      ,0,1603,0.00,450.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-04,0,125,SIMONDI FC 556           ,3259      ,0,1578,0.00,183.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-05,0,67,MAPFRE CUOTA1 POL81266222,          ,0,0,0.00,563.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-05,0,68,MAPFRE 3/12              ,          ,0,0,0.00,125.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-06,0,71,ZURICH 4/5               ,          ,0,0,0.00,964.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-06,0,19,QUARIN FC 106129         ,3292      ,0,1604,0.00,12714.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-06,0,144,ZURICH 4/5               ,          ,0,0,0.00,394.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-06,0,145,CREA                     ,          ,0,0,0.00,668.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-07,0,15,LIMP OF                  ,3281      ,0,1595,0.00,250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-07,0,26,C SOC ENERO2013          ,3245      ,0,1567,0.00,19345.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-07,0,27,MUNI C C ¡TEJ CUOTA1/13  ,3274      ,0,1590,0.00,7933.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,22,ANT 3 GANAC              ,3244      ,0,1566,0.00,10059.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,23,JAIME RET GAN            ,3270      ,0,1586,0.00,624.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,24,ANT 5 HG BP              ,3255      ,0,1575,0.00,1300.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,25,AFIP                     ,3243      ,0,1565,0.00,796.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,16,EXP DIC 2012             ,3250      ,0,1570,0.00,258.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,17,EXP ENERO 2013           ,3286      ,0,1600,0.00,258.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,18,ANT 5 BP                 ,3198      ,0,1527,0.00,4884.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,21,B SCHOEDER FC 188        ,3278      ,0,1592,0.00,19577.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,36,ZABALA FC 30740          ,3266      ,0,1582,0.00,27.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,37,SERV FC 12/2012          ,3267      ,0,1583,0.00,450.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,30,O ROD FC 13555           ,3269      ,0,1585,0.00,171.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,31,AS FC NOV/DIC2012        ,3257      ,0,1576,0.00,29009.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,34,CTA FC NOV2012           ,3258      ,0,1577,0.00,311.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201302,1020,1,1020    ,1,        ,0,2013-02-08,0,35,CE CT VEC11/01           ,3265      ,0,1581,0.00,3659.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
