CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201303,1010,1,1010    ,1,        ,0,2013-03-13,0,75,CAJA HEREFORD FONDO      ,          ,0,0,2000.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
70,201303,1010,1,1010    ,3,        ,0,2013-03-06,0,31,F FIJO                   ,          ,0,0,450.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201303,1010,1,1010    ,3,        ,0,2013-03-07,0,36,FF                       ,          ,0,0,264.20,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201303,1010,1,1010    ,3,        ,0,2013-03-21,0,146,CAJA BSAS                ,          ,0,0,400.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-01,0,5,J ALONSO                 ,3300      ,0,2458,0.00,1334.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,6,CREA NOV/DIC             ,3253      ,0,1573,0.00,7559.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,3,JUAN                     ,18        ,0,1437,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,1,N G FC 16864             ,3522      ,0,1612,0.00,4536.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,7,A JAURENA FC 6938        ,14003     ,0,1423,0.00,820.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,8,SINEGUB FC 6853          ,4         ,0,1424,0.00,1485.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,9,ESCUDERO FC 18966        ,007       ,0,1427,0.00,2433.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,11,DEL RIO FC 14817/9/1/8/62,36        ,0,1656,0.00,2146.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,12,CASADO FC 2377/2378      ,35        ,0,1655,0.00,4495.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,13,DIEGO HNOS FC 16894      ,42        ,0,1660,0.00,1802.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,14,CREA ENERO 2013          ,9         ,0,1429,0.00,3500.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,47,CABLEVISION VEC MARZO2013,43        ,0,1661,0.00,462.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-04,0,48,EF FC 3491               ,23        ,0,1442,0.00,95.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-05,0,177,MAPFRE 6/12              ,          ,0,0,0.00,125.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-05,0,178,MAPFRE CUOTA 2           ,          ,0,0,0.00,563.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-05,0,179,CREA                     ,          ,0,0,0.00,668.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-05,0,184,LIMP ANT                 ,          ,0,0,0.00,250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-06,0,183,ZURICH                   ,          ,0,0,0.00,394.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-06,0,180,ZURICH4/5                ,          ,0,0,0.00,964.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-06,0,35,LCOP                     ,26        ,0,1445,0.00,1064.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-06,0,32,IIBB ENERO/2013          ,25        ,0,1444,0.00,1415.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-06,0,34,IPAD /EDESUR             ,29        ,0,1448,0.00,2070.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-06,0,30,ARBA IMP INM CUOTA 1 MART,31        ,0,1651,0.00,5416.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-06,0,31,F FIJO                   ,32        ,0,1652,0.00,450.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-06,0,28,GAN 2013 ANT 4           ,22        ,0,1441,0.00,10059.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-06,0,29,ARBA CUOTA 1 IMP INM MART,30        ,0,1449,0.00,3710.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-06,0,26,MENS                     ,33        ,0,1653,0.00,250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-06,0,27,C SOC FEB 2013           ,002       ,0,1422,0.00,13728.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,16,T DE ARG                 ,38        ,0,1658,0.00,327.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,17,J POGGI FC 6461          ,24        ,0,1443,0.00,2746.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,36,AFIP                     ,20        ,0,1439,0.00,1090.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,37,PASTEUR                  ,34        ,0,1654,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,38,OSDE                     ,13        ,0,1432,0.00,1678.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,39,B SCHOEDER RET GAN       ,3279      ,0,1593,0.00,85.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,40,COOP LTDA DE ELEC        ,6         ,0,1426,0.00,552.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,42,SILVIA IMAN FC 864       ,11        ,0,1430,0.00,7145.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,43,JUCARFE F 1711           ,12        ,0,1431,0.00,2557.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,44,BOTIJA SA MARZO2013      ,16        ,0,1435,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,45,CONS DE PROP EXP FEB2013 ,17        ,0,1436,0.00,258.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-07,0,46,LIMP                     ,19        ,0,1438,0.00,250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-11,0,49,ENCOS FC 3119            ,8         ,0,1428,0.00,1736.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-11,0,15,L ZABALA FC 30918/944/8/7,14        ,0,1433,0.00,1387.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-11,0,80,MARTINDALE FEB2013       ,4211      ,0,1613,0.00,12644.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-13,0,79,SUSPENCAR SRL FC 4846    ,3301      ,0,2464,0.00,2282.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-14,0,10,CALLES FC 425            ,37        ,0,1657,0.00,1550.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-15,0,181,OSDE                     ,          ,0,0,0.00,2838.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-18,0,110,MOL CHAC FC 76683        ,4234      ,0,1634,0.00,23904.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-20,0,41,MAPFRE COMB FLIAR        ,41        ,0,1659,0.00,802.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-20,0,91,J CASADO FC 2391         ,4236      ,0,1636,0.00,2728.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-21,0,146,CAJA BSAS                ,4241      ,0,1640,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-21,0,145,CEM BRITR LOT 5012/3198  ,4230      ,0,1630,0.00,600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-21,0,148,AMX FC 1888064           ,4218      ,0,1619,0.00,222.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-21,0,149,HG                       ,4217      ,0,1618,0.00,796.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-21,0,151,CLCT 690136/5/4          ,4220      ,0,1621,0.00,600.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-21,0,152,OSDE                     ,4221      ,0,1622,0.00,1449.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-21,0,173,PEUG PAT2/2013           ,4223      ,0,1623,0.00,177.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-25,0,166,GALVAN FC 223            ,4247      ,0,1643,0.00,3053.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-25,0,167,ZABALA FC 31282/132      ,4248      ,0,1644,0.00,1356.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-25,0,161,TEL DE ARG               ,4252      ,0,1648,0.00,541.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-25,0,119,ALONSO FC 3757           ,4225      ,0,1625,0.00,633.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-25,0,120,OSDE                     ,          ,0,0,73.78,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-27,0,126,INF GANADERO2013         ,4246      ,0,1642,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-27,0,162,EB SDO MARZO2013         ,4231      ,0,1631,0.00,6582.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-27,0,163,JAIME MARZO2013          ,          ,0,1633,0.00,5250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-27,0,164,H GAVIÑA ABRIL2013       ,4212      ,0,1614,0.00,11000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-27,0,176,BCO GAL SIRCREB          ,          ,0,0,0.00,0.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-27,0,174,BCO GAL IMP DEB          ,          ,0,0,0.00,953.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-27,0,175,BCO GAL IMP CRED         ,          ,0,0,0.00,0.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-30,0,165,AS FC ENER/FEB2013       ,4250      ,0,1646,0.00,22423.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-30,0,144,CASA TINE FC 272/290     ,4229      ,0,1629,0.00,365.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-30,0,127,ESCUDERO FC 19094/95     ,4228      ,0,1628,0.00,7616.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-30,0,118,VET PONT FC 39404./355   ,4224      ,0,1624,0.00,1512.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-30,0,115,JESUS CASADO FC 2390     ,4235      ,0,1635,0.00,696.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-30,0,87,DEL RIO FC 15013/14/15/84,4240      ,0,1639,0.00,2254.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-30,0,89,DIEGO HNOS FC 17001      ,4238      ,0,1638,0.00,62.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,1,        ,0,2013-03-30,0,82,AS FC 6893               ,4227      ,0,1627,0.00,2985.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201303,1020,1,1020    ,3,        ,0,2013-03-27,0,199,BPCC IMP DEB             ,          ,0,0,0.00,0.87,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
70,201303,1020,1,1020    ,3,        ,0,2013-03-27,0,200,BPCC GB                  ,          ,0,0,0.00,146.50,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
70,201303,1020,1,1020    ,3,        ,0,2013-03-27,0,201,BPCC IB                  ,          ,0,0,0.00,4.20,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-07,0,37,PASTEUR                  ,          ,0,0,10000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-13,0,75,CAJA HEREFORD FONDO      ,9033      ,0,2461,0.00,2000.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-13,0,77,C HER CP 2466            ,9032      ,0,2466,0.00,1281.58,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-13,0,74,A CORRAL FC ENERO/FEB    ,9031      ,0,2465,0.00,1010.65,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-27,0,198,BPP SIRCREB              ,          ,0,0,0.00,13.50,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-27,0,197,BPP GB                   ,          ,0,0,0.00,151.50,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-27,0,195,BPP IMP DEB              ,          ,0,0,0.00,106.90,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-27,0,196,BPP IMP CRED             ,          ,0,0,0.00,162.03,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-27,0,138,CRESPO                   ,          ,0,0,17000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-28,0,172,HH VARIOS                ,9038      ,0,2468,0.00,2345.11,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-30,0,170,LAZARO MARZO 2013        ,9036      ,0,1713,0.00,3437.22,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-30,0,168,HERNAN MARZO2013         ,9034      ,0,1711,0.00,7386.96,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-30,0,169,ANAN MARZO 2013          ,9035      ,0,1712,0.00,1332.34,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,5,        ,0,2013-03-30,0,171,VALLEJOS E MARZO2013     ,9037      ,0,1714,0.00,3574.82,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201303,1020,1,1020    ,8,        ,0,2013-03-21,0,206,BPC VIA C                ,          ,0,0,0.00,6569.26,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
70,201303,1020,1,1020    ,8,        ,0,2013-03-27,0,207,PROCAMPO                 ,          ,0,0,0.00,10145.06,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
70,201303,1020,1,1020    ,8,        ,0,2013-03-27,0,204,BPC GB                   ,          ,0,0,0.00,146.50,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
70,201303,1020,1,1020    ,8,        ,0,2013-03-27,0,205,BPC PROCAMPO MANT        ,          ,0,0,0.00,143.09,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
70,201303,1020,1,1020    ,8,        ,0,2013-03-27,0,208,BPC SIRCREB              ,          ,0,0,0.00,5.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
70,201303,1020,1,1020    ,8,        ,0,2013-03-27,0,202,BPC IMP DEB              ,          ,0,0,0.00,102.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
70,201303,1020,1,1020    ,8,        ,0,2013-03-27,0,203,BPC IMP CRED             ,          ,0,0,0.00,60.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
70,201303,1020,1,1020    ,8,        ,0,2013-03-27,0,138,CRESPO                   ,          ,0,0,10000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
70,201303,1050,1,1050    ,101,        ,0,2013-03-05,0,109,MOL CHAC FC 76683        ,          ,100,76683,0.00,23904.72,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,MOLINO CHACABUCO S.A          ,                              
70,201303,1050,1,1050    ,101,        ,0,2013-03-18,0,110,MOL CHAC FC 76683        ,          ,0,0,23904.72,0.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,MOLINO CHACABUCO S.A          ,                              
70,201303,1050,1,1050    ,104,        ,0,2013-03-01,0,94,SIGRA ANULA FC 1864      ,          ,1,1864,3702.99,0.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
70,201303,1050,1,1050    ,104,        ,0,2013-03-08,0,104,SIGRA FC 41414           ,          ,1,41414,0.00,40056.80,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
70,201303,1050,1,1050    ,104,        ,0,2013-03-08,0,106,SIGRA FC 41416           ,          ,1,41416,0.00,69228.87,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
70,201303,1050,1,1050    ,104,        ,0,2013-03-08,0,105,SIGRA FC 41415           ,          ,1,41415,0.00,2331.19,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
70,201303,1050,1,1050    ,104,        ,0,2013-03-08,0,107,SIGRA FC 41417           ,          ,1,41417,0.00,3811.50,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
70,201303,1050,1,1050    ,104,        ,0,2013-03-08,0,108,SIGRA FC 41418           ,          ,1,41418,0.00,6502.78,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
70,201303,1050,1,1050    ,104,        ,0,2013-03-08,0,209,SIGRA GAL RURAL          ,          ,0,0,168851.42,0.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
70,201303,1050,1,1050    ,104,        ,0,2013-03-20,0,95,SIGRA NC DEV SG FORRAJ   ,          ,1,1864,3702.99,0.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
70,201303,1050,1,1050    ,114,        ,0,2013-03-25,0,113,OLEAG FC 11965           ,          ,58,11965,0.00,30361.52,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,OLEAGINOSA MORENO HNOS SACIFI ,                              
70,201303,1060,1,1060    ,1,        ,0,2013-03-13,0,81,CRESPO LQ 8137           ,          ,1,8137,168383.03,0.00,0                             ,0                             ,DEUDORES POR VENTAS HACIENDA  ,CRESPO Y RODRIGUEZ            ,                              
70,201303,1060,1,1060    ,1,        ,0,2013-03-21,0,103,CRESPO FC 8147           ,          ,1,8147,126786.72,0.00,0                             ,0                             ,DEUDORES POR VENTAS HACIENDA  ,CRESPO Y RODRIGUEZ            ,                              
70,201303,1060,1,1060    ,1,        ,0,2013-03-27,0,138,CRESPO                   ,          ,0,0,0.00,27000.00,0                             ,0                             ,DEUDORES POR VENTAS HACIENDA  ,CRESPO Y RODRIGUEZ            ,                              
70,201303,1060,1,1060    ,1,        ,0,2013-03-27,0,139,CRESPO RET GAN 382       ,          ,0,0,0.00,258.12,0                             ,0                             ,DEUDORES POR VENTAS HACIENDA  ,CRESPO Y RODRIGUEZ            ,                              
70,201303,1080,1,IVA     ,2,        ,0,2013-03-08,0,104,SIGRA FC 41414           ,          ,0,0,3806.30,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_9                         ,                              
