CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201304,1010,1,1010    ,3,        ,0,2013-04-01,0,1,LQ FONDO FIJO            ,          ,0,0,0.00,1132.26,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201304,1010,1,1010    ,3,        ,0,2013-04-23,0,118,AFIP                     ,          ,0,0,0.00,5.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-01,0,196,SIMONDI                  ,          ,0,0,0.00,397.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-01,0,5,DIESELL TRAMS FC 2088/ SA,3302      ,0,2469,0.00,11625.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-01,0,57,BCO GAL GB               ,          ,0,0,0.00,480.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-01,0,58,BCO GAL SIRCREB          ,          ,0,0,0.00,11.37,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-03,0,2,CRESPO                   ,          ,0,0,138785.95,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-03,0,16,JUAN JOCKEY              ,4265      ,0,1707,0.00,3982.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-03,0,34,JUAN                     ,4261      ,0,1706,0.00,2000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-03,0,189,BCO GAL GB               ,          ,0,0,0.00,12.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-03,0,188,BG GB                    ,          ,0,0,0.00,509.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-04,0,27,MEN                      ,4255      ,0,1701,0.00,250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-04,0,29,DL FC 44902 -15          ,4266      ,0,1709,0.00,2849.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-04,0,17,OL MORENO FC 11965       ,4253      ,0,1649,0.00,30361.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-04,0,18,POGGI FC 6504            ,4259      ,0,1704,0.00,2746.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-04,0,19,LIMPIEZA                 ,4232      ,0,1632,0.00,250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-04,0,20,SERVICOOP FC150          ,4219      ,0,1620,0.00,450.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-04,0,21,EXP OF                   ,4216      ,0,1617,0.00,258.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-04,0,22,MEDIA LUNA DEUDA ANTERIOR,4260      ,0,1705,0.00,1404.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-04,0,23,BOTIJA SA AL ABRIL2013   ,4215      ,0,1616,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-04,0,25,MUNI CT CAMINOS 2/2013   ,4254      ,0,1650,0.00,10323.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-04,0,26,C SOC MARZO2013          ,4237      ,0,1637,0.00,13946.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-05,0,191,MAPFRE CUOTA3            ,          ,0,0,0.00,563.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201304,1020,1,1020    ,1,        ,0,2013-04-05,0,190,MAPFRE SEG PER           ,          ,0,0,0.00,127.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
