CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201305,1020,1,1020    ,1,        ,0,2013-05-02,0,3,SINEGUB FC 6953          ,4291      ,0,1739,0.00,1739.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-03,0,6,MAT DEL CEN FC 4433      ,3305      ,0,2478,0.00,11858.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-03,0,9,PESTAÑA FC161            ,3306      ,0,2479,0.00,4400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-03,0,13,FERNANDEZ   SDO POR DIA  ,3310      ,0,2482,0.00,1690.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-04,0,5,EH FC 1152               ,4305      ,0,1749,0.00,11815.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-04,0,53,CRESPO LQ 8223           ,          ,0,0,162770.25,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-04,0,152,BG                       ,          ,0,0,0.00,1183.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-06,0,149,BG MAPFRE 7/12           ,          ,0,0,0.00,127.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-06,0,150,MAPFRE                   ,          ,0,0,0.00,563.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-06,0,2,AS FC MARZO2013          ,4292      ,0,1740,0.00,17032.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-06,0,17,FUTSAN                   ,4330      ,0,1772,0.00,12910.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-06,0,26,EL TUC FC 99478          ,4322      ,0,1764,0.00,116.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-06,0,62,CASADO FC 2438//36       ,4334      ,0,1774,0.00,3665.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-06,0,64,OLGA SENDIN FC 257       ,4326      ,0,1768,0.00,95.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-07,0,22,EXPENSAS ABRIL2013       ,4320      ,0,1762,0.00,1659.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-07,0,151,ZURICH                   ,          ,0,0,0.00,964.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-08,0,143,SAENZ                    ,          ,0,0,158014.96,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-08,0,19,GAN ANT6/2013            ,4314      ,0,1758,0.00,10059.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-08,0,23,POGGI FC 6536            ,4325      ,0,1767,0.00,2746.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-08,0,20,CS ABRIL2013             ,4313      ,0,1757,0.00,14016.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-08,0,21,JUAN                     ,4284      ,0,1732,0.00,2000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-08,0,4,CE FC 5289               ,4301      ,0,1746,0.00,2052.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-08,0,59,PART BPER SOC CUOTA1/3   ,4339      ,0,1778,0.00,12633.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-08,0,36,HSBC LA BS AS POL 49180  ,4323      ,0,1765,0.00,5371.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-09,0,33,JUAN                     ,4335      ,0,1775,0.00,467.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-09,0,34,DIRECTV ABRIL/MAYO       ,4329      ,0,1771,0.00,939.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-09,0,27,BOTIJA MAYO2013          ,4278      ,0,1726,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-09,0,28,EXPENSAS ABRIL2013       ,4264      ,0,1708,0.00,258.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-09,0,29,OSDE                     ,4328      ,0,1770,0.00,1678.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-09,0,31,EDESUR                   ,4324      ,0,1766,0.00,136.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-09,0,32,TEL DE ARG               ,4321      ,0,1763,0.00,562.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-10,0,16,CREA MAYO                ,4319      ,0,1761,0.00,3828.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-10,0,63,H GIANNECHINI FC 2060    ,4332      ,0,1773,0.00,653.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-13,0,38,HSBC LA BS AS POL481     ,4341      ,0,0,0.00,11468.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-13,0,58,SALDO ANT GAN CUOTA1     ,4344      ,0,1783,0.00,4448.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-15,0,57,HYG SALDO ANT BPERS      ,4345      ,0,1784,0.00,823.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-15,0,65,IIBB ABRIL 2013          ,15        ,0,1434,0.00,6394.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-16,0,69,CECT FC 893/4/5          ,4340      ,0,1779,0.00,939.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-16,0,105,QUARIN FC 7533           ,4346      ,0,1785,0.00,129.93,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-16,0,106,GZ NEG GAN FC 108        ,4347      ,0,1786,0.00,313762.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-16,0,108,AMX FC 2069273           ,4355      ,0,1794,0.00,436.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-17,0,103,JOCKEY JUAN              ,4354      ,0,1475,0.00,1475.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-17,0,101,AGUARIBAY                ,4342      ,0,1781,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-17,0,102,AGUARIBAY                ,4361      ,0,1795,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-20,0,70,B PUJOL FC 566           ,4349      ,0,1788,0.00,96655.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-20,0,122,SANTAMARIA A CTA         ,3311      ,0,2488,0.00,31335.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-23,0,144,SAENZ                    ,          ,0,0,10276.78,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-23,0,109,HG JUNIO2013             ,4352      ,0,1791,0.00,11000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-23,0,110,ELI SDO MAYO2013         ,4353      ,0,1792,0.00,6638.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-23,0,111,JAIME MAYO2013           ,4351      ,0,1790,0.00,5250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-25,0,1,MAPFRE COMB FLIAR        ,4316      ,0,1759,0.00,802.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-27,0,146,MUC/MON                  ,          ,0,0,0.00,840.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-27,0,147,LIMP                     ,          ,0,0,0.00,250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-27,0,148,TEL DE AR                ,4369      ,0,1805,0.00,246.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-27,0,121,PINTOR MEDICI            ,3312      ,0,2497,0.00,8000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-27,0,128,OLEAG ND/FC 12567        ,4358      ,0,1798,0.00,34098.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,1,        ,0,2013-05-30,0,145,ANDRES CASAET  CARPINTERO,3313      ,0,2498,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201305,1020,1,1020    ,3,        ,0,2013-05-17,0,101,AGUARIBAY                ,          ,0,0,500.00,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
70,201305,1020,1,1020    ,5,        ,0,2013-05-02,0,8,GUIA                     ,9045      ,0,2483,0.00,677.62,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
70,201305,1020,1,1020    ,5,        ,0,2013-05-08,0,157,L VALLEJOS ABRIL2013     ,9043      ,0,0,0.00,3437.22,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
