CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
70,201306,1010,1,1010    ,2,        ,0,2013-06-30,0,306,AJUSTE MONEDA EXTRANJERA ,          ,0,0,71730.86,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
70,201306,1010,1,1010    ,3,        ,0,2013-06-12,0,304,AMX                      ,          ,0,0,0.00,600.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
70,201306,1020,1,1020    ,1,        ,0,2013-06-01,0,61,BG IMP DEB MAYO          ,          ,0,0,0.00,4117.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201306,1020,1,1020    ,1,        ,0,2013-06-01,0,62,BG IMP CREDITO MAYO      ,          ,0,0,0.00,1986.37,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201306,1020,1,1020    ,1,        ,0,2013-06-01,0,63,G IIBB AB                ,          ,0,0,0.00,16.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201306,1020,1,1020    ,1,        ,0,2013-06-01,0,65,BG COMISION              ,          ,0,0,0.00,647.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201306,1020,1,1020    ,1,        ,0,2013-06-01,0,68,BG GB                    ,          ,0,0,0.00,551.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201306,1020,1,1020    ,1,        ,0,2013-06-01,0,69,BG BG                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201306,1020,1,1020    ,1,        ,0,2013-06-01,0,70,OSDE                     ,          ,0,0,0.00,2838.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201306,1020,1,1020    ,1,        ,0,2013-06-01,0,71,BG SIRCREB               ,          ,0,0,0.00,165.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201306,1020,1,1020    ,1,        ,0,2013-06-01,0,76,ALQUILER JUNIO2013       ,4366      ,0,1802,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201306,1020,1,1020    ,1,        ,0,2013-06-01,0,89,JUAN                     ,4350      ,0,1789,0.00,2000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
70,201306,1020,1,1020    ,1,        ,0,2013-06-01,0,97,MEDICI                   ,3314      ,0,2489,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
