CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
72,201308,1010,1,1010    ,3,        ,0,2013-08-28,0,103,FF                       ,          ,0,0,109.44,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-01,0,5,OSDE                     ,4545      ,0,1946,0.00,1905.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-01,0,11,TEL DE ARG               ,4554      ,0,1954,0.00,599.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-01,0,28,COOP DE TRES AL FC 236851,4544      ,0,1944,0.00,288.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-01,0,31,LIMP /MENS               ,4540      ,0,1940,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-01,0,198,BG GB                    ,          ,0,0,0.00,564.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-01,0,204,BCO GAL IICABA           ,          ,0,0,0.00,13.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-01,0,206,BG GB                    ,          ,0,0,0.00,496.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-02,0,14,JUCARFE FC 1893          ,4503      ,0,1909,0.00,2576.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-02,0,7,F FONDOS                 ,4555      ,0,1955,0.00,600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-02,0,8,UATRE JULIO13            ,4548      ,0,1949,0.00,463.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-02,0,9,PAT                      ,4553      ,0,1953,0.00,233.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-02,0,10,VALLEJOS E OSECAC        ,4547      ,0,1948,0.00,957.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-02,0,32,BOTIJA SA ALQ AGOSTO13   ,4539      ,0,1939,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-02,0,33,DIRECTV AGOSTO           ,4542      ,0,1942,0.00,489.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-03,0,35,A RET                    ,4530      ,0,1931,0.00,1639.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-05,0,13,AMEGHINO SERV AGRO       ,57        ,0,1670,0.00,11028.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-05,0,12,CAMINOS CUOTA 4/2013     ,4559      ,0,1958,0.00,10323.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-05,0,6,C SOC JULIO2013          ,4533      ,0,1933,0.00,15777.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-05,0,3,CRESPO                   ,          ,0,0,149803.83,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-05,0,23,FABIO GRANDE FC 114      ,4563      ,0,1960,0.00,12015.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-05,0,25,AFIP                     ,4533      ,0,1932,0.00,840.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-05,0,26,MART EXP JULIO2013       ,4630      ,0,2074,0.00,10611.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-05,0,207,MAPFRE VIDA              ,          ,0,0,0.00,125.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-05,0,208,MAPFRE 3/4               ,          ,0,0,0.00,593.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-05,0,209,CREA                     ,          ,0,0,0.00,867.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-06,0,210,ZURICH 3/5               ,          ,0,0,0.00,525.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-06,0,200,BG GB                    ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-06,0,212,OSDE                     ,          ,0,0,1127.14,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-06,0,211,ZURICH 2/5               ,          ,0,0,0.00,1232.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-06,0,29,CREA JULIO 2013          ,          ,0,1904,0.00,4591.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-06,0,63,EL VERGEL FC 10603/602   ,3325      ,0,2430,0.00,2248.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-07,0,34,EXP OF                   ,4541      ,0,1941,0.00,258.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-07,0,56,AFIP RET JULIO2013       ,4529      ,0,1929,0.00,7401.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-10,0,16,M SABLEVICH FC 124       ,4552      ,0,1952,0.00,11873.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-10,0,17,G ACUÑA FC 67            ,4549      ,0,1950,0.00,4910.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-10,0,18,M ALBARENQUE FC 3620     ,4546      ,0,1947,0.00,7502.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-10,0,21,EL CUYANO FC 2175        ,4337      ,0,1937,0.00,7356.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-10,0,22,JULIAN BESADA FC 127     ,4536      ,0,1936,0.00,9653.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-10,0,214,PRIETO FC 282            ,4551      ,0,1951,0.00,7084.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-11,0,15,R MONDINO FC 1392        ,4535      ,0,1935,0.00,2598.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-12,0,27,CRESPO                   ,          ,0,0,149906.05,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-12,0,70,ANDRES WILLANS FC 418    ,4496      ,0,1902,0.00,14361.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-12,0,71,AFIP                     ,4564      ,0,1961,0.00,12093.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-12,0,89,CORRAL FC 1121           ,4579      ,0,1973,0.00,854.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-13,0,36,ARBA IMP INM 3/5         ,4534      ,0,1934,0.00,9138.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-13,0,215,BG VISA                  ,          ,0,0,0.00,194.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-14,0,55,OLEAG                    ,          ,0,0,0.00,42014.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-14,0,19,ZABALA FC 32259/85/322/8 ,4543      ,0,1943,0.00,2741.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-14,0,95,A EXP MARTINDALE         ,4574      ,0,1976,0.00,19755.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-14,0,96,VISA                     ,4581      ,0,1977,0.00,17389.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-14,0,73,OLEAG                    ,          ,0,0,11000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-14,0,74,OLEAG                    ,          ,0,0,270.91,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-15,0,101,ARBA CUOTA ANTICIPO      ,3327      ,0,2438,0.00,1726.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-15,0,20,AS FC JUNIO13            ,4338      ,0,1938,0.00,4948.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-15,0,1,MONTECOR SRL FC 1175/8058,51        ,0,1663,0.00,31911.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-15,0,216,HG                       ,          ,0,0,0.00,2947.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-16,0,217,CREA DEB                 ,          ,0,0,0.00,125.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-16,0,218,SAENZ                    ,          ,0,0,160957.50,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-16,0,118,ARBA HON JUICIO          ,          ,0,2079,0.00,5409.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-20,0,37,CRESPO                   ,          ,0,0,139176.46,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-20,0,44,CECT FC 710355/4/3       ,4565      ,0,1962,0.00,1542.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-21,0,54,AMX FC 22790             ,4573      ,0,1975,0.00,822.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-21,0,52,C BRIT  2 PARC FEB2014   ,4572      ,0,1968,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-21,0,46,OSDE                     ,4576      ,0,1970,0.00,1858.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-21,0,48,DIESEL LANGE FC 47297    ,4567      ,0,1963,0.00,5692.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-21,0,45,EXP EDNA JULIO2013       ,4570      ,0,1966,0.00,1896.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-21,0,50,SERVICOOP FC 1835        ,4577      ,0,1971,0.00,450.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-21,0,51,ACH 3 TRIM 2013          ,4568      ,0,1964,0.00,475.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-21,0,219,OSDE                     ,          ,0,0,0.00,3381.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-22,0,40,YPF GAS FC 8251          ,          ,0,0,0.00,4916.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-26,0,114,SEP2013                  ,4583      ,0,1979,0.00,11000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-26,0,173,JG                       ,4584      ,0,1980,0.00,2000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-26,0,174,JOCKEY JULIO/AGOSTO      ,4632      ,0,2075,0.00,2822.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-26,0,178,EXP OF                   ,4585      ,0,1981,0.00,258.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-26,0,186,ARBA CUOTA2/2013 COMPLE  ,4582      ,0,1978,0.00,6626.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-26,0,129,JUCARFE FC 1949          ,4595      ,0,1989,0.00,5911.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-27,0,119,SINEGUB FC 7133          ,4631      ,0,2076,0.00,526.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-27,0,112,MET FARE A CTA FC 797    ,4628      ,0,2072,0.00,2479.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-27,0,113,C SOC AGOSTO2013         ,4593      ,0,1987,0.00,14436.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-27,0,2,C ENVASE FC 5422 3/3     ,56        ,0,1669,0.00,2108.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-28,0,102,MENS                     ,4497      ,0,1903,0.00,162.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-28,0,103,FF                       ,4472      ,0,1887,0.00,109.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-28,0,104,EXP                      ,4507      ,0,1912,0.00,258.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-28,0,130,J CASADO FC 2592/91      ,4617      ,0,2061,0.00,4745.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-28,0,146,JAIME AGOSTO13           ,4599      ,0,1994,0.00,5250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-29,0,179,EDESUR  OF               ,4587      ,0,1982,0.00,110.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-29,0,175,SDO AGOSTO2013           ,4592      ,0,1986,0.00,6638.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-29,0,177,PASTEUR                  ,4602      ,0,1997,0.00,24000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-30,0,201,BG IMP DEB               ,          ,0,0,0.00,3043.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-30,0,202,BG IMO CRED              ,          ,0,0,0.00,3673.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-30,0,203,SIRCREB                  ,          ,0,0,0.00,1836.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,1,        ,0,2013-08-30,0,94,DEL RIO FC 15728/782/583/,4580      ,0,1974,0.00,2666.61,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201308,1020,1,1020    ,3,        ,0,2013-08-30,0,164,NIDERA                   ,          ,0,0,9194.62,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
72,201308,1020,1,1020    ,3,        ,0,2013-08-30,0,233,BPBACC IMP DEB           ,          ,0,0,0.00,0.87,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
72,201308,1020,1,1020    ,3,        ,0,2013-08-30,0,234,BPBA CC IMP CRED         ,          ,0,0,0.00,55.16,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
72,201308,1020,1,1020    ,3,        ,0,2013-08-30,0,235,BPBA CC GB               ,          ,0,0,0.00,146.50,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
72,201308,1020,1,1020    ,3,        ,0,2013-08-30,0,236,BPBACC SIRCREB           ,          ,0,0,0.00,27.50,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
72,201308,1020,1,1020    ,5,        ,0,2013-08-05,0,110,TELLECHEA FC 1377        ,9088      ,0,2440,0.00,1547.70,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
72,201308,1020,1,1020    ,5,        ,0,2013-08-08,0,65,HERNAN VARIOS            ,9081      ,0,2432,0.00,2027.50,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
