CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
72,201309,1010,1,1010    ,3,        ,0,2013-09-02,0,14,F FIJO                   ,          ,0,0,700.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
72,201309,1020,1,1020    ,1,        ,0,2013-09-01,0,32,AGUSTIN                  ,3329      ,0,2443,0.00,30000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201309,1020,1,1020    ,1,        ,0,2013-09-01,0,83,BCO GAL                  ,          ,0,0,0.00,112.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201309,1020,1,1020    ,1,        ,0,2013-09-02,0,69,BCO GAL  COMIS           ,          ,0,0,0.00,670.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201309,1020,1,1020    ,1,        ,0,2013-09-02,0,70,BCO GAL IBCABA           ,          ,0,0,0.00,11.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201309,1020,1,1020    ,1,        ,0,2013-09-02,0,14,F FIJO                   ,4608      ,0,2053,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201309,1020,1,1020    ,1,        ,0,2013-09-02,0,15,AFIP                     ,4609      ,0,2054,0.00,840.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201309,1020,1,1020    ,1,        ,0,2013-09-02,0,13,ALQ SEP2013              ,4611      ,0,2056,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201309,1020,1,1020    ,1,        ,0,2013-09-02,0,10,COOP DE TRES ALG FC160575,4588      ,0,1983,0.00,244.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201309,1020,1,1020    ,1,        ,0,2013-09-02,0,11,IBRUTOS AGOSTO           ,4590      ,0,1984,0.00,6389.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201309,1020,1,1020    ,1,        ,0,2013-09-02,0,12,LIMP                     ,4616      ,0,2060,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
