CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
72,201310,1010,1,1010    ,3,        ,0,2013-10-03,0,5,LQ FONDO FIJO            ,          ,0,0,0.00,1251.52,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
72,201310,1010,1,1010    ,3,        ,0,2013-10-03,0,13,F FONDOS                 ,          ,0,0,500.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-01,0,15,TEL DE ARG               ,4672      ,0,2115,0.00,801.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-01,0,22,POGGI FC 286             ,4658      ,0,2101,0.00,242.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-01,0,23,JULIO LOÈZ ALCONADA      ,4677      ,0,2120,0.00,680.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-01,0,8,B GAL GB                 ,          ,0,0,0.00,489.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-01,0,9,OSDE                     ,          ,0,0,346.77,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-01,0,11,CABLEV OCTUBRE           ,4686      ,0,2128,0.00,490.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-01,0,12,MUC /AUT /JUB            ,4673      ,0,2116,0.00,831.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-01,0,29,ESTEF CUOTA 2/24         ,4676      ,0,2119,0.00,1633.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-01,0,63,BG C IB                  ,          ,0,0,0.00,1.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-01,0,146,BCO GAL GB               ,          ,0,0,0.00,6.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-03,0,149,CRESPO                   ,          ,0,0,142842.24,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-03,0,36,GAL RURAL                ,4606      ,0,2051,0.00,65278.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-03,0,35,BOTIJA ALQ OCT2013       ,4506      ,0,1911,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-03,0,6,POGGI FC 6755            ,4678      ,0,2121,0.00,2746.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-03,0,24,CONSOR EXP               ,4669      ,0,2112,0.00,258.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-03,0,25,LIMPIEZA OF              ,4670      ,0,2113,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201310,1020,1,1020    ,1,        ,0,2013-10-03,0,26,JAIME SEPT2013           ,4674      ,0,2117,0.00,5250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
