CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
72,201311,1010,1,1010    ,3,        ,0,2013-11-07,0,42,CAJA                     ,          ,0,0,500.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-01,0,4,BG IB CABA               ,          ,0,0,0.00,10.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-04,0,5,JOCKEY 10/2013           ,3653      ,0,2193,0.00,1536.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-04,0,6,HG VARIOS PAGO VISA      ,3655      ,0,2195,0.00,6865.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-04,0,8,RA FAISAL RET GAN        ,3629      ,0,2182,0.00,187.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-04,0,3,BG GB                    ,          ,0,0,0.00,645.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-04,0,9,C SOC OCT 2014           ,3640      ,0,2183,0.00,19594.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-04,0,10,MART EXP 10/2013         ,          ,0,0,0.00,10576.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-04,0,16,M TATERSALL FC 33924     ,3618      ,0,2163,0.00,8220.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-05,0,44,MAPFRE 2/4               ,          ,0,0,0.00,661.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-05,0,45,MAPFRE 12/12             ,          ,0,0,0.00,125.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-05,0,46,AACREA                   ,          ,0,0,0.00,867.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-06,0,18,D POGGI FC 304           ,3719      ,0,2208,0.00,484.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-06,0,131,HG                       ,          ,0,0,0.00,2000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-07,0,132,MAR                      ,          ,0,0,0.00,854.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-07,0,15,D LANGE FC 49026         ,3708      ,0,2197,0.00,13325.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201311,1020,1,1020    ,1,        ,0,2013-11-07,0,47,ZURICH                   ,          ,0,0,0.00,1232.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
