CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
72,201312,1020,1,1020    ,1,        ,0,2013-12-01,0,19,A GIMENEZ LIMP           ,3740      ,0,2227,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201312,1020,1,1020    ,1,        ,0,2013-12-01,0,23,SERVCOOP FC 2777         ,3725      ,0,2212,0.00,450.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201312,1020,1,1020    ,1,        ,0,2013-12-02,0,24,JG NOV2013               ,3736      ,0,2223,0.00,2000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201312,1020,1,1020    ,1,        ,0,2013-12-02,0,21,COOP LTDA C TEJ FC 941/2/,3734      ,0,2221,0.00,2951.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201312,1020,1,1020    ,1,        ,0,2013-12-02,0,22,COOP ELEC TRES AL FC 955 ,3723      ,0,2211,0.00,158.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201312,1020,1,1020    ,1,        ,0,2013-12-02,0,20,MUNIC C TEJ 6/2013       ,          ,0,2246,0.00,10323.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201312,1020,1,1020    ,1,        ,0,2013-12-02,0,17,CABLEVISION              ,3756      ,0,2240,0.00,530.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201312,1020,1,1020    ,1,        ,0,2013-12-02,0,18,ASOC HEREF 4 TRIM 2013   ,3712      ,0,2198,0.00,475.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201312,1020,1,1020    ,1,        ,0,2013-12-02,0,11,ASOC POLO ANUAL2014      ,3767      ,0,2251,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201312,1020,1,1020    ,1,        ,0,2013-12-02,0,12,ARBA 4/24                ,3759      ,0,2242,0.00,1633.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
