CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
72,201402,1010,1,1010    ,3,        ,0,2014-02-17,0,88,F  FONDOS                ,          ,0,0,500.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-01,0,8,AFIP RET GAN FAISAL      ,3944      ,0,2013,0.00,279.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-02,0,1,DEL RIO FC 6480/6588     ,3938      ,0,2007,0.00,1579.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-02,0,2,J ALONSO FC 3944         ,3939      ,0,2008,0.00,493.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-02,0,3,GIANNECHINI FC 2193      ,3940      ,0,2009,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-02,0,6,SAN BERNARDO 20 LT GLIFO ,3946      ,0,2014,0.00,1124.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-03,0,19,BOTIJA ENERO2014         ,3777      ,0,2260,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-03,0,131,GAL IIBC                 ,          ,0,0,0.00,10.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-04,0,20,POGGI FC 6932            ,3904      ,0,2327,0.00,3327.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-04,0,17,C SOC ENERO2014          ,3932      ,0,2001,0.00,21792.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-04,0,18,MCT CAMINOS 1/2014       ,3780      ,0,2263,0.00,15859.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-04,0,21,ARBA 6/24                ,3867      ,0,2296,0.00,1633.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-04,0,22,TEL/INT /DIRECTV FEB     ,3805      ,0,2288,0.00,2750.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-05,0,38,J CASADO FC DIC 2013     ,3338      ,0,407,0.00,7756.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-05,0,41,F GRANDE FC 123          ,3339      ,2,408,0.00,2047.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-05,0,132,MAPFRE CUOTA 1           ,          ,0,0,0.00,671.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-05,0,133,MAPFRE VIDA              ,          ,0,0,0.00,244.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-05,0,134,CREA                     ,          ,0,0,0.00,867.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-06,0,136,ZURICH3/5                ,          ,0,0,0.00,537.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-06,0,137,ZURICH 2/5               ,          ,0,0,0.00,1331.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-06,0,138,GAL GB                   ,          ,0,0,0.00,2.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-06,0,7,DIEGO HNOS FC 18152/49   ,3947      ,0,2015,0.00,850.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-06,0,4,O PESTAÑA FC 176         ,3941      ,0,2010,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-06,0,82,OSDE REIN                ,          ,0,0,99.40,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-06,0,80,CALLES FC 480            ,3949      ,0,2018,0.00,540.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-06,0,81,OSDE REINT               ,          ,0,0,1559.45,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-07,0,68,OSDE REIN                ,          ,0,0,65.80,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-10,0,128,CP 409 VARIOS            ,3340      ,0,409,0.00,975.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-12,0,69,CRESPO LQ 8824           ,          ,0,0,147162.13,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-14,0,139,OSDE                     ,          ,0,0,0.00,4325.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-15,0,34,CORRAL FC DIC/ENERO      ,3342      ,0,411,0.00,3401.85,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-15,0,31,O PESTAÑA ADEL           ,3343      ,0,412,0.00,2900.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,71,CASA TINE FC 749         ,3702      ,0,363,0.00,330.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,79,CASA TINE FC 814/749     ,8690      ,0,353,0.00,618.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,77,A SCHOEDER FC ENERO      ,3686      ,0,2049,0.00,15296.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,78,L ZABALA FC 34040/165/189,3688      ,0,352,0.00,2859.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,74,L DEL RIO FC 16639/640   ,3701      ,0,362,0.00,3409.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,75,O RODRIG FC 14701        ,3954      ,0,2021,0.00,248.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,76,L ZABALA FC 3928/3791    ,3955      ,0,2022,0.00,9251.13,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,53,ARBA CUOTA1/5 2014       ,3661      ,0,2028,0.00,2636.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,54,ARBA MORAT C 5/24        ,3664      ,0,2031,0.00,1714.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,55,ARBA CUOT1/05 2014       ,3660      ,0,2027,0.00,9115.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,56,HG  AFIP BE ANT 5 2013   ,3658      ,0,2025,0.00,1794.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,57,HG AFIP ANT GAN 5 /2013  ,3657      ,0,2024,0.00,3769.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201402,1020,1,1020    ,1,        ,0,2014-02-17,0,58,ELAINE AFIP BP 05/2013   ,3659      ,0,2026,0.00,6528.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
