CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
72,201403,1010,1,1010    ,3,        ,0,2014-03-10,0,128,LQ F FIJO                ,          ,0,0,0.00,1880.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-01,0,181,GAL GB                   ,          ,0,0,0.00,683.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-01,0,183,BCO GAL GB               ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-01,0,185,BCO GAL                  ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-01,0,3,RYA FAISAL FC 182        ,3700      ,0,361,0.00,4596.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-01,0,6,S GANDARD FC 1110        ,3703      ,0,364,0.00,19898.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-03,0,257,E FORNIELES FC 5808      ,3996      ,0,2,0.00,876.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-05,0,277,BG GB                    ,          ,0,0,0.00,217.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-05,0,279,BG GB                    ,          ,0,0,0.00,604.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-05,0,280,AACREA                   ,          ,0,0,0.00,867.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-06,0,281,MAPFRE                   ,          ,0,0,0.00,671.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-06,0,21,C SOC FEB2014            ,3959      ,0,370,0.00,17515.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-06,0,23,GAL RURAL                ,3675      ,0,2038,0.00,9242.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-06,0,25,MARTIN EXP FEB2014       ,3958      ,0,369,0.00,12170.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201403,1020,1,1020    ,1,        ,0,2014-03-06,0,104,ESC FORN FC 3641/4852    ,3971      ,0,381,0.00,711.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
