CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
72,201405,1020,1,1020    ,1,        ,0,2014-05-04,0,57,MARTINDALE 04/2014       ,4094      ,0,89,0.00,12130.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-05,0,34,A CORRAL FC 1223         ,4067      ,0,66,0.00,1270.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-05,0,38,J CASADO FC 2874/75/76   ,4066      ,0,65,0.00,5678.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-05,0,2,ATSA VAC AFTOSA          ,3813      ,0,445,0.00,20367.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-05,0,4,MOL RIO VTA SOJA FC167048,          ,0,0,391511.19,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-05,0,9,PREST EL INDIO           ,          ,0,0,500000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-05,0,71,BG GB                    ,          ,0,0,0.00,566.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-06,0,72,MAPFRE SEG RE PE CUOTA2  ,          ,0,0,0.00,671.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-06,0,73,MAPFRE CUOTA1/4          ,          ,0,0,0.00,656.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-06,0,74,MAPFRE VIDA              ,          ,0,0,0.00,244.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-06,0,18,AS FC MARZO2014          ,4056      ,0,55,0.00,19720.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-06,0,20,P PRIETO FC 766          ,4071      ,0,69,0.00,15473.36,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-06,0,32,L DEL RIO FC 16955/17037 ,4072      ,0,70,0.00,1605.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-07,0,25,DISTRI CARNICA  VTA HAC  ,          ,0,0,235000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-07,0,75,CONSOLIDAR               ,          ,0,0,0.00,59.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,76,ZURICH PEUG              ,          ,0,0,0.00,44.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,77,ZURICH TOYOTAHG          ,          ,0,0,0.00,1331.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,78,ZURICH CUOTA2 AUM T HG   ,          ,0,0,0.00,345.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,60,J DE PAZ 5 AL 10/2014    ,4057      ,0,56,0.00,1232.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,61,DIRECTV                  ,4082      ,0,78,0.00,645.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,62,TEL DE ARG               ,4075      ,0,72,0.00,980.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,63,AFIP                     ,4070      ,0,68,0.00,981.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,64,OSDE                     ,4089      ,0,84,0.00,2304.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,65,MER OF/LIB               ,4100      ,0,93,0.00,514.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,22,S GANDARD FC 1124        ,4079      ,0,75,0.00,10376.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,24,DEV EL INDIO             ,          ,0,0,0.00,102218.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,59,PAT 2/2014               ,4077      ,0,74,0.00,252.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-08,0,55,EDESUR OF                ,4084      ,0,80,0.00,136.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,56,JOCKEY 4/2014            ,4080      ,0,76,0.00,2136.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,53,ASOC ARG HEREF 2/2014    ,4076      ,0,73,0.00,590.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,54,UATRE ABRIL2014          ,4104      ,0,97,0.00,791.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,45,M BRISSON EXP ABRIL 2014 ,4088      ,0,83,0.00,1962.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,46,RET GAN                  ,          ,0,0,0.00,4455.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,48,AFIP C SOC ABRIL2014     ,4092      ,0,87,0.00,27360.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,49,EXP ABRIL2014            ,4086      ,0,82,0.00,336.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,50,AFIP ANT 6/2014          ,4085      ,0,81,0.00,10928.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,51,BOTIJA MAYO2014          ,          ,0,62,0.00,1100.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,52,SERVICOOPFC 4555         ,4058      ,0,57,0.00,620.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,23,A SINEGUB FC 7453        ,4059      ,0,58,0.00,14171.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,28,DESAB FC 14802           ,4045      ,0,46,0.00,45540.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
72,201405,1020,1,1020    ,1,        ,0,2014-05-09,0,29,O RODRIGUEZ FC 14923     ,4073      ,0,71,0.00,1216.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
