CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
800,202107,1080,1,IVA     ,5,        ,0,2021-07-01,26,26,BG                       ,          ,0,0,285.60,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202107,2050,1,2050    ,1039,        ,0,2021-07-01,26,26,BG                       ,          ,0,2,0.00,1645.60,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
800,202107,9110,1,        ,0,        ,0,2021-07-01,26,26,BG                       ,          ,0,0,1360.00,0.00,0                             ,0                             ,GASTOS BANCARIOS              ,                              ,                              
800,202107,2050,1,2050    ,1039,        ,0,2021-07-01,27,27,BG GB                    ,          ,0,0,1645.60,0.00,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
800,202107,1020,1,1020    ,1,        ,0,2021-07-01,27,27,BG GB                    ,          ,0,0,0.00,1645.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202107,1080,1,IVA     ,5,        ,0,2021-07-01,51,53,BOTIJA FC 930            ,          ,0,0,1848.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202107,2050,1,2050    ,2655,        ,0,2021-07-01,51,53,BOTIJA FC 930            ,          ,2,930,0.00,10648.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
800,202107,9010,1,9010    ,15,        ,0,2021-07-01,51,53,BOTIJA FC 930            ,          ,0,0,8800.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
800,202107,2050,1,2050    ,3678,        ,0,2021-07-01,63,66,BOERO ULISES FC 9        ,          ,2,9,0.00,427735.00,0                             ,0                             ,PROVEEDORES                   ,BOERO MARTIN                  ,                              
800,202107,8520,1,8520    ,3,        ,0,2021-07-05,34,36,SRA                      ,          ,0,0,31670.95,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,SUSCRIPCIONES                 ,                              
800,202107,1020,1,1020    ,1,        ,0,2021-07-05,34,36,SRA                      ,          ,0,0,0.00,31670.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202107,1160,1,1160    ,42,        ,0,2021-07-05,35,37,MAIA                     ,          ,0,0,49290.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,JUAN CONV U$S                 ,                              
800,202107,1020,1,1020    ,1,        ,0,2021-07-05,35,37,MAIA                     ,          ,0,0,0.00,49290.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202107,1160,1,1160    ,20,        ,0,2021-07-05,36,38,MUNIC DE PILAR           ,          ,0,0,3464.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,RETIROS HORACIO GAVIÑA        ,                              
800,202107,1020,1,1020    ,1,        ,0,2021-07-05,36,38,MUNIC DE PILAR           ,          ,0,0,0.00,3464.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
