CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
800,202108,2050,1,2050    ,2442,        ,0,2021-08-02,6,6,F CORRAL FC 468          ,          ,0,0,12320.31,0.00,0                             ,0                             ,PROVEEDORES                   ,ARTURO CORRAL                 ,                              
800,202108,1020,1,1020    ,1,        ,0,2021-08-02,6,6,F CORRAL FC 468          ,          ,0,0,0.00,12320.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202108,2050,1,2050    ,2655,        ,0,2021-08-02,8,8,BOTIJA FC 941            ,          ,0,0,13406.00,0.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
800,202108,1020,1,1020    ,1,        ,0,2021-08-02,8,8,BOTIJA FC 941            ,          ,0,0,0.00,13406.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202108,8520,1,8520    ,3,        ,0,2021-08-02,9,9,SRA 7/2021               ,          ,0,0,5940.00,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,SUSCRIPCIONES                 ,                              
800,202108,1020,1,1020    ,1,        ,0,2021-08-02,9,9,SRA 7/2021               ,          ,0,0,0.00,5940.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202108,1080,1,IVA     ,5,        ,0,2021-08-02,11,12,QUARIN FC 137327         ,          ,0,0,6674.88,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202108,2050,1,2050    ,1089,        ,0,2021-08-02,11,12,QUARIN FC 137327         ,          ,1,137327,0.00,41006.36,0                             ,0                             ,PROVEEDORES                   ,QUARIN Y CIA SRL              ,                              
800,202108,7010,1,7010    ,1,        ,0,2021-08-02,11,12,QUARIN FC 137327 112 L   ,          ,0,0,7664.46,0.00,0                             ,0                             ,TRACTORES                     ,GAS OIL                       ,                              
800,202108,8090,1,8090    ,6,        ,0,2021-08-02,11,12,QUARIN FC 137327 NAF     ,          ,0,0,4286.80,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,OTROS                         ,                              
800,202108,7010,1,7010    ,2,        ,0,2021-08-02,11,12,QUARIN FC 137327         ,          ,0,0,22380.22,0.00,0                             ,0                             ,TRACTORES                     ,LUBRICANTES                   ,                              
800,202108,9010,1,9010    ,5,        ,0,2021-08-02,16,17,EXP OF JULIO21           ,          ,0,0,2583.23,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,EXPENSAS                      ,                              
800,202108,1020,1,1020    ,1,        ,0,2021-08-02,16,17,EXP OF JULIO21           ,          ,0,0,0.00,2583.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202108,1080,1,IVA     ,5,        ,0,2021-08-02,25,26,BOERO ULISES FC 13       ,          ,0,0,10815.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202108,2050,1,2050    ,3678,        ,0,2021-08-02,25,26,BOERO ULISES FC 13       ,          ,2,13,0.00,62315.00,0                             ,0                             ,PROVEEDORES                   ,BOERO MARTIN                  ,                              
800,202108,8050,1,8050    ,5,        ,0,2021-08-02,25,26,BOERO ULISES FC 13       ,          ,0,0,51500.00,0.00,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,ALAMBRADOS Y TRANQUERAS       ,                              
800,202108,1080,1,IVA     ,5,        ,0,2021-08-02,26,27,BOERO MARTIN FC 12       ,          ,0,0,37569.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202108,2050,1,2050    ,3678,        ,0,2021-08-02,26,27,BOERO MARTIN FC 12       ,          ,2,12,0.00,216469.00,0                             ,0                             ,PROVEEDORES                   ,BOERO MARTIN                  ,                              
800,202108,8050,1,8050    ,5,        ,0,2021-08-02,26,27,BOERO MARTIN FC 12       ,          ,0,0,178900.00,0.00,0                             ,0                             ,MANTENIMIENTO BIENES USO      ,ALAMBRADOS Y TRANQUERAS       ,                              
800,202108,2050,1,2050    ,3451,        ,0,2021-08-02,80,90,HB FC 21064              ,          ,0,0,0.00,55945.31,0                             ,0                             ,PROVEEDORES                   ,HOSPITAL BRITANICO            ,                              
800,202108,8520,1,8520    ,7,        ,0,2021-08-02,80,90,HB FC 21064              ,          ,0,0,55945.31,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,OTROS GASTOS                  ,                              
800,202108,1080,1,IVA     ,5,        ,0,2021-08-02,89,100,BG GB                    ,          ,0,0,663.39,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202108,2050,1,2050    ,1039,        ,0,2021-08-02,89,100,BG GB                    ,          ,0,1,0.00,3917.16,0                             ,0                             ,PROVEEDORES                   ,BANCO DE GALICIA Y BUENOS     ,                              
800,202108,1120,1,        ,0,        ,0,2021-08-02,89,100,BG GB                    ,          ,0,0,94.77,0.00,0                             ,0                             ,IVA PERCEPCION                ,                              ,                              
800,202108,8020,1,8020    ,2,        ,0,2021-08-23,147,161,AS FC 74                 ,          ,0,0,471.07,0.00,0                             ,0                             ,CAMIONETA                     ,LUBRICANTES                   ,                              
800,202108,8020,1,8020    ,4,        ,0,2021-08-23,147,161,AS FC 74 CENTRO CARDAN   ,          ,0,0,14175.20,0.00,0                             ,0                             ,CAMIONETA                     ,REPUESTOS Y REPARACIONES      ,                              
800,202108,8020,1,8020    ,3,        ,0,2021-08-23,147,161,AS FC 74                 ,          ,0,0,4688.35,0.00,0                             ,0                             ,CAMIONETA                     ,GAS OIL                       ,                              
800,202108,8090,1,8090    ,6,        ,0,2021-08-23,147,161,AS FC 74                 ,          ,0,0,4467.20,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,OTROS                         ,                              
