CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
800,202109,2050,1,2050    ,2584,        ,0,2021-09-10,0,1,P PRIETO FC JUNIO/JULIO  ,          ,0,0,107880.00,0.00,0                             ,0                             ,PROVEEDORES                   ,PABLO ANTONIO PRIETO          ,                              
800,202109,1020,1,1020    ,1,        ,0,2021-09-10,0,1,P PRIETO FC JUNIO/JULIO  ,571       ,0,0,0.00,107880.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202109,2050,1,2050    ,2584,        ,0,2021-09-24,0,2,P PRIETO FC JUNIO/JULIO  ,          ,0,0,107880.00,0.00,0                             ,0                             ,PROVEEDORES                   ,PABLO ANTONIO PRIETO          ,                              
800,202109,1020,1,1020    ,1,        ,0,2021-09-24,0,2,P PRIETO FC JUNIO/JULIO  ,572       ,0,0,0.00,107880.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202109,2050,1,2050    ,2592,        ,0,2021-09-10,0,3,MACHINAND1277/1355/21/49/,          ,0,0,46948.00,0.00,0                             ,0                             ,PROVEEDORES                   ,JOSE MACHINANDIARENA          ,                              
800,202109,1020,1,1020    ,1,        ,0,2021-09-10,0,3,MACHINAND1277/1355/21/49/,574       ,0,0,0.00,46948.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202109,2050,1,2050    ,2592,        ,0,2021-09-24,0,4,J MACHIN                 ,          ,0,0,46948.00,0.00,0                             ,0                             ,PROVEEDORES                   ,JOSE MACHINANDIARENA          ,                              
800,202109,1020,1,1020    ,1,        ,0,2021-09-24,0,4,J MACHIN                 ,575       ,0,0,0.00,46948.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202109,2050,1,2050    ,3029,        ,0,2021-09-02,0,5,CERVETTO M E FC 11       ,          ,0,0,0.00,239953.00,0                             ,0                             ,PROVEEDORES                   ,CERVETTO MARIA ESTELA         ,                              
800,202109,6301,1,6301    ,3,        ,0,2021-09-02,0,5,CERVETTO M E FC 11       ,          ,0,0,239953.00,0.00,0                             ,0                             ,ARRENDAMIENTOS                ,ARRENDAMIENTO LAS PRADERA     ,                              
800,202109,2050,1,2050    ,3033,        ,0,2021-09-01,0,6,CERVETTO RAUL FC 12      ,          ,0,0,0.00,239953.00,0                             ,0                             ,PROVEEDORES                   ,CERVETTO RAUL                 ,                              
800,202109,6301,1,6301    ,3,        ,0,2021-09-01,0,6,CERVETTO RAUL FC 12      ,          ,0,0,239953.00,0.00,0                             ,0                             ,ARRENDAMIENTOS                ,ARRENDAMIENTO LAS PRADERA     ,                              
800,202109,2050,1,2050    ,3031,        ,0,2021-09-02,0,7,SALLABERRY J C FC 59     ,          ,0,0,0.00,239953.00,0                             ,0                             ,PROVEEDORES                   ,SALABERRY JUAN CARLOS         ,                              
800,202109,6301,1,6301    ,3,        ,0,2021-09-02,0,7,SALLABERRY J C FC 59     ,          ,0,0,239953.00,0.00,0                             ,0                             ,ARRENDAMIENTOS                ,ARRENDAMIENTO LAS PRADERA     ,                              
800,202109,2050,1,2050    ,3032,        ,0,2021-09-02,0,8,SALLABERRY M R FC 121    ,          ,0,0,0.00,239953.00,0                             ,0                             ,PROVEEDORES                   ,SALLABERRY M R                ,                              
800,202109,6301,1,6301    ,3,        ,0,2021-09-02,0,8,SALLABERRY M R FC 121    ,          ,0,0,239953.00,0.00,0                             ,0                             ,ARRENDAMIENTOS                ,ARRENDAMIENTO LAS PRADERA     ,                              
800,202109,1160,1,1160    ,42,        ,0,2021-09-06,0,10,EXP MELO AGOSTO21        ,          ,0,0,14924.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,JUAN CONV U$S                 ,                              
