CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
800,202111,1020,1,1020    ,1,        ,0,2021-11-01,0,2,VISA GABY                ,          ,0,0,2919.04,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202111,2010,1,2010    ,9,        ,0,2021-11-01,0,2,VISA GABY                ,          ,0,0,0.00,2919.04,0                             ,0                             ,OBLIGACIONES A PAGAR          ,EL INDIO DE JUAREZ SA         ,                              
800,202111,9010,1,9010    ,5,        ,0,2021-11-01,0,3,EXP R S PENA OCT21       ,          ,0,0,2583.23,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,EXPENSAS                      ,                              
800,202111,1020,1,1020    ,1,        ,0,2021-11-01,0,3,EXP R S PENA OCT21       ,          ,0,0,0.00,2583.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202111,1160,1,1160    ,42,        ,0,2021-11-01,0,4,EXP MELO JUAN OCTUBRE21  ,          ,0,0,12600.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,JUAN CONV U$S                 ,                              
800,202111,1020,1,1020    ,1,        ,0,2021-11-01,0,4,EXP MELO JUAN OCTUBRE21  ,          ,0,0,0.00,12600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202111,1030,1,1030    ,2,        ,0,2021-11-01,0,5,F FIMA                   ,          ,0,0,1000000.00,0.00,0                             ,0                             ,COLOCACIONES                  ,FIMA                          ,                              
800,202111,1020,1,1020    ,1,        ,0,2021-11-01,0,5,F FIMA                   ,          ,0,0,0.00,1000000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202111,1160,1,1160    ,3,        ,0,2021-11-01,0,6,AFIP BETTY SEP/OCT       ,          ,0,0,1993.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,BETY MUCAMA                   ,                              
800,202111,1020,1,1020    ,1,        ,0,2021-11-01,0,6,AFIP BETTY SEP/OCT       ,          ,0,0,0.00,1993.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202111,7030,1,7030    ,7,        ,0,2021-11-01,0,7,ELVIO LABORES OCTUBRE/21 ,          ,0,0,43312.10,0.00,0                             ,0                             ,PERSONAL EMPRESA MAQUINARIA   ,OTROS GASTOS                  ,                              
800,202111,1020,1,1020    ,1,        ,0,2021-11-01,0,7,ELVIO LABORES OCTUBRE/21 ,          ,0,0,0.00,43312.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202111,1160,1,1160    ,8,        ,0,2021-11-01,0,8,TINO LIMP                ,          ,0,0,2500.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,RETIRO SOCIOS VARIOS          ,                              
800,202111,1020,1,1020    ,1,        ,0,2021-11-01,0,8,TINO LIMP                ,          ,0,0,0.00,2500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202111,2050,1,2050    ,2655,        ,0,2021-11-01,0,9,BOTIJA FC 977            ,          ,0,0,10648.00,0.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
800,202111,1020,1,1020    ,1,        ,0,2021-11-01,0,9,BOTIJA FC 977            ,          ,0,0,0.00,10648.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202111,1080,1,IVA     ,5,        ,0,2021-11-01,0,10,BOTIJA FC 977            ,          ,0,0,1848.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202111,2050,1,2050    ,2655,        ,0,2021-11-01,0,10,BOTIJA FC 977            ,          ,2,977,0.00,10648.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
800,202111,9010,1,9010    ,15,        ,0,2021-11-01,0,10,BOTIJA FC 977            ,          ,0,0,8800.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
800,202111,2050,1,2050    ,3678,        ,0,2021-11-12,0,1,BOERO M FC 22            ,          ,0,0,129166.40,0.00,0                             ,0                             ,PROVEEDORES                   ,BOERO MARTIN                  ,                              
800,202111,1020,1,1020    ,1,        ,0,2021-11-12,0,1,BOERO M FC 22            ,579       ,0,0,0.00,129166.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
