CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
800,202112,1080,1,IVA     ,2,        ,0,2021-12-01,0,3,HB FC 61-133964          ,          ,0,0,6884.47,0.00,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
800,202112,2050,1,2050    ,3451,        ,0,2021-12-01,0,3,HB FC 61-133964          ,          ,61,133964,0.00,72450.83,0                             ,0                             ,PROVEEDORES                   ,HOSPITAL BRITANICO            ,                              
800,202112,8520,1,8520    ,7,        ,0,2021-12-01,0,3,HB FC 61-133964          ,          ,0,0,65566.36,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,OTROS GASTOS                  ,                              
800,202112,2030,1,2030    ,3,        ,0,2021-12-01,0,4,CRESPO RET GAN 981       ,          ,0,0,66679.76,0.00,0                             ,0                             ,DEUDAS FISCALES               ,RETENCION GANANCIAS           ,                              
800,202112,1060,1,1060    ,1,        ,0,2021-12-01,0,4,CRESPO RET GAN 981       ,          ,0,0,0.00,66679.76,0                             ,0                             ,DEUDORES POR VENTAS HACIENDA  ,CRESPO Y RODRIGUEZ            ,                              
800,202112,1020,1,1020    ,1,        ,0,2021-12-01,0,5,CRESPO LQ2761            ,          ,0,0,3837740.09,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202112,1060,1,1060    ,1,        ,0,2021-12-01,0,5,CRESPO LQ2761            ,          ,0,0,0.00,3837740.09,0                             ,0                             ,DEUDORES POR VENTAS HACIENDA  ,CRESPO Y RODRIGUEZ            ,                              
800,202112,1160,1,1160    ,42,        ,0,2021-12-01,0,6,JUAN                     ,          ,0,0,30000.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,JUAN CONV U$S                 ,                              
800,202112,1020,1,1020    ,1,        ,0,2021-12-01,0,6,JUAN                     ,          ,0,0,0.00,30000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202112,9010,1,9010    ,5,        ,0,2021-12-01,0,7,C R SAENZ PEÑA NOV       ,          ,0,0,2583.23,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,EXPENSAS                      ,                              
800,202112,1020,1,1020    ,1,        ,0,2021-12-01,0,7,C R SAENZ PEÑA NOV       ,          ,0,0,0.00,2583.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202112,1080,1,IVA     ,5,        ,0,2021-12-01,0,8,BOTIJA FC 91             ,          ,0,0,1848.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202112,2050,1,2050    ,2655,        ,0,2021-12-01,0,8,BOTIJA FC 91             ,          ,2,91,0.00,11853.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
800,202112,9010,1,9010    ,15,        ,0,2021-12-01,0,8,BOTIJA FC 91             ,          ,0,0,8800.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
800,202112,9010,1,9010    ,15,        ,0,2021-12-01,0,8,BOTIJA FC 91 AYSA        ,          ,0,0,1205.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
800,202112,2050,1,2050    ,2655,        ,0,2021-12-01,0,9,BOTIJA FC 991            ,          ,0,0,11853.00,0.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
800,202112,1020,1,1020    ,1,        ,0,2021-12-01,0,9,BOTIJA FC 991            ,          ,0,0,0.00,11853.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202112,1160,1,1160    ,42,        ,0,2021-12-01,0,10,EXP MELO                 ,          ,0,0,12600.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,JUAN CONV U$S                 ,                              
800,202112,1020,1,1020    ,1,        ,0,2021-12-01,0,10,EXP MELO                 ,          ,0,0,0.00,12600.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202112,2050,1,2050    ,2295,        ,0,2021-12-01,0,11,D LANGE FC 44263         ,          ,0,0,34072.66,0.00,0                             ,0                             ,PROVEEDORES                   ,DIESEL LANGE SRL              ,                              
800,202112,1020,1,1020    ,1,        ,0,2021-12-01,0,11,D LANGE FC 44263         ,          ,0,0,0.00,34072.66,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202112,2050,1,2050    ,3700,        ,0,2021-12-05,0,2,BOERO LUIS FC 188        ,          ,0,0,75625.00,0.00,0                             ,0                             ,PROVEEDORES                   ,BOERO LUIS JOSE               ,                              
800,202112,1020,1,1020    ,1,        ,0,2021-12-05,0,2,BOERO LUIS FC 188        ,523       ,0,0,0.00,75625.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202112,6901,1,6901    ,2,        ,0,2021-12-15,0,1,AFSA VAC AFTOSA          ,          ,0,0,205988.00,0.00,0                             ,0                             ,SANIDAD GANADERIA             ,HONORARIOS VETERINARIOS       ,                              
800,202112,1020,1,1020    ,1,        ,0,2021-12-15,0,1,AFSA VAC AFTOSA          ,0514      ,0,0,0.00,205988.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
