CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
800,202202,1080,1,IVA     ,5,        ,0,2022-02-01,0,3,BOTIJA FC 1022           ,          ,0,0,2079.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202202,2050,1,2050    ,2655,        ,0,2022-02-01,0,3,BOTIJA FC 1022           ,          ,2,1022,0.00,13184.00,0                             ,0                             ,PROVEEDORES                   ,BOTIJA SA                     ,                              
800,202202,9010,1,9010    ,15,        ,0,2022-02-01,0,3,BOTIJA FC 1022           ,          ,0,0,9900.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
800,202202,9010,1,9010    ,15,        ,0,2022-02-01,0,3,BOTIJA FC 1022 AYSA      ,          ,0,0,1205.00,0.00,0                             ,0                             ,ESCRITORIO BUENOS AIRES       ,ALQUILER OFICINA710           ,                              
800,202202,1080,1,IVA     ,2,        ,0,2022-02-01,0,8,HB FC 139678             ,          ,0,0,7504.07,0.00,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
800,202202,2050,1,2050    ,3451,        ,0,2022-02-01,0,8,HB FC 139678             ,          ,61,139678,0.00,76971.39,0                             ,0                             ,PROVEEDORES                   ,HOSPITAL BRITANICO            ,                              
800,202202,8520,1,8520    ,7,        ,0,2022-02-01,0,8,HB FC 139678             ,          ,0,0,69467.32,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,OTROS GASTOS                  ,                              
800,202202,1090,1,IVA     ,2,        ,0,2022-02-02,0,1,CRESPO LQ 2878           ,          ,0,0,0.00,330833.79,0                             ,0                             ,IVA VENTAS                    ,"IVA_10,5                      ",                              
800,202202,1060,1,1060    ,1,        ,0,2022-02-02,0,1,CRESPO LQ 2878           ,          ,21,2878,3457582.84,0.00,0                             ,0                             ,DEUDORES POR VENTAS HACIENDA  ,CRESPO Y RODRIGUEZ            ,                              
800,202202,6001,1,        ,0,        ,0,2022-02-02,0,1,CRESPO LQ 2878           ,          ,0,0,0.00,3215100.00,0                             ,0                             ,VTA HACIENDA INVERNADA        ,                              ,                              
800,202202,6007,1,        ,0,        ,0,2022-02-02,0,1,CRESPO LQ 2878           ,          ,0,0,64302.00,0.00,0                             ,0                             ,OTROS GASTOS VTA. INVERNADA   ,                              ,                              
