CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
800,202204,1080,1,IVA     ,5,        ,0,2022-04-01,0,1,TRANS LA GAVIOTA FC 3438 ,          ,0,0,58574.73,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202204,2050,1,2050    ,3708,        ,0,2022-04-01,0,1,TRANS LA GAVIOTA FC 3438 ,          ,13,3438,0.00,337502.00,0                             ,0                             ,PROVEEDORES                   ,TRANSPORTE LA GAVIOTA         ,                              
800,202204,6910,1,6910    ,3,        ,0,2022-04-01,0,1,TRANS LA GAVIOTA FC 3438 ,          ,0,0,278927.27,0.00,0                             ,0                             ,OTROS GANADERIA               ,OTROS TRABAJOS                ,                              
800,202204,2050,1,2050    ,3708,        ,0,2022-04-01,0,2,TRANSP LA GAVIOTA FC 2110,          ,12,2110,0.00,17400.00,0                             ,0                             ,PROVEEDORES                   ,TRANSPORTE LA GAVIOTA         ,                              
800,202204,1080,1,IVA     ,5,        ,0,2022-04-01,0,2,TRANSP LA GAVIOTA FC 2110,          ,0,0,3019.83,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202204,6910,1,6910    ,3,        ,0,2022-04-01,0,2,TRANSP LA GAVIOTA FC 2110,          ,0,0,14380.17,0.00,0                             ,0                             ,OTROS GANADERIA               ,OTROS TRABAJOS                ,                              
800,202204,1090,1,IVA     ,2,        ,0,2022-04-01,0,7,CRESPO LQ 2939           ,          ,0,0,0.00,496867.06,0                             ,0                             ,IVA VENTAS                    ,"IVA_10,5                      ",                              
800,202204,1060,1,1060    ,1,        ,0,2022-04-01,0,7,CRESPO LQ 2939           ,          ,21,2939,5192816.04,0.00,0                             ,0                             ,DEUDORES POR VENTAS HACIENDA  ,CRESPO Y RODRIGUEZ            ,                              
800,202204,6001,1,        ,0,        ,0,2022-04-01,0,7,CRESPO LQ 2939           ,          ,0,0,0.00,4828640.00,0                             ,0                             ,VTA HACIENDA INVERNADA        ,                              ,                              
800,202204,6007,1,        ,0,        ,0,2022-04-01,0,7,CRESPO LQ 2939           ,          ,0,0,96572.80,0.00,0                             ,0                             ,OTROS GASTOS VTA. INVERNADA   ,                              ,                              
800,202204,6002,1,6002    ,2,        ,0,2022-04-01,0,7,CRESPO LQ 2939           ,          ,0,0,30806.72,0.00,0                             ,0                             ,INGRESOS BRUTOS INVERNADA     ,PROVINCIA                     ,                              
800,202204,6002,1,6002    ,1,        ,0,2022-04-01,0,7,CRESPO LQ 2939           ,          ,0,0,5311.50,0.00,0                             ,0                             ,INGRESOS BRUTOS INVERNADA     ,CAPITAL                       ,                              
800,202204,2050,1,2050    ,3708,        ,0,2022-04-02,0,3,TRANSP LA GAVIOTA        ,          ,0,0,354902.00,0.00,0                             ,0                             ,PROVEEDORES                   ,TRANSPORTE LA GAVIOTA         ,                              
800,202204,1020,1,1020    ,1,        ,0,2022-04-02,0,3,TRANSP LA GAVIOTA        ,          ,0,0,0.00,354902.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202204,8040,1,8040    ,3,        ,0,2022-04-04,0,4,MUN CT TASA VIAL C 2/22  ,          ,0,0,211013.20,0.00,0                             ,0                             ,IMPUESTOS                     ,TASA  DE CAMINOS              ,                              
800,202204,1020,1,1020    ,1,        ,0,2022-04-04,0,4,MUN CT TASA VIAL C 2/22  ,          ,0,0,0.00,211013.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202204,1160,1,1160    ,42,        ,0,2022-04-04,0,5,MAIA ABRIL22             ,          ,0,0,56190.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,JUAN CONV U$S                 ,                              
800,202204,1020,1,1020    ,1,        ,0,2022-04-04,0,5,MAIA ABRIL22             ,          ,0,0,0.00,56190.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202204,2020,1,        ,0,        ,0,2022-04-04,0,6,CONS MELO EXP MARZO22 ELA,          ,0,0,15400.00,0.00,0                             ,0                             ,SUELDOS Y JORNALES A PAGAR    ,                              ,                              
800,202204,1020,1,1020    ,1,        ,0,2022-04-04,0,6,CONS MELO EXP MARZO22    ,          ,0,0,0.00,15400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
