CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
800,202205,1080,1,IVA     ,2,        ,0,2022-05-01,0,13,HB FC 46120              ,          ,0,0,8431.57,0.00,0                             ,0                             ,IVA COMPRAS                   ,"IVA_10,5                      ",                              
800,202205,2050,1,2050    ,3451,        ,0,2022-05-01,0,13,HB FC 46120              ,          ,1,46120,0.00,88732.26,0                             ,0                             ,PROVEEDORES                   ,HOSPITAL BRITANICO            ,                              
800,202205,8520,1,8520    ,7,        ,0,2022-05-01,0,13,HB FC 46120              ,          ,0,0,80300.69,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,OTROS GASTOS                  ,                              
800,202205,2020,1,        ,0,        ,0,2022-05-02,0,1,ENRRIQUE SDO ABRIL22     ,          ,0,0,61440.00,0.00,0                             ,0                             ,SUELDOS Y JORNALES A PAGAR    ,                              ,                              
800,202205,1020,1,1020    ,1,        ,0,2022-05-02,0,1,ENRRIQUE SDO ABRIL22     ,          ,0,0,0.00,61440.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202205,1020,1,1020    ,1,        ,0,2022-05-02,0,2,RESCATE FIMA             ,          ,0,0,6087858.89,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202205,1030,1,1030    ,2,        ,0,2022-05-02,0,2,RESCATE FIMA             ,          ,0,0,0.00,6000000.00,0                             ,0                             ,COLOCACIONES                  ,FIMA                          ,                              
800,202205,9120,1,        ,0,        ,0,2022-05-02,0,2,RESCATE FIMA             ,          ,0,0,0.00,87858.89,0                             ,0                             ,INTERESES PAGADOS             ,                              ,                              
800,202205,2020,1,        ,0,        ,0,2022-05-02,0,3,H GAVINA SDO ABRIL22     ,          ,0,0,200000.00,0.00,0                             ,0                             ,SUELDOS Y JORNALES A PAGAR    ,                              ,                              
800,202205,1020,1,1020    ,1,        ,0,2022-05-02,0,3,H GAVINA SDO ABRIL22     ,          ,0,0,0.00,200000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202205,8520,1,8520    ,5,        ,0,2022-05-02,0,4,AGUSTIN ABRIL22          ,          ,0,0,99311.00,0.00,0                             ,0                             ,GASTOS OFICINA CAMPO          ,ASESORAMIENTO TECNICO         ,                              
800,202205,1020,1,1020    ,1,        ,0,2022-05-02,0,4,AGUSTIN ABRIL22          ,          ,0,0,0.00,99311.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
