CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
800,202206,1080,1,IVA     ,5,        ,0,2022-06-01,0,24,RUMINARE FC 1953         ,          ,0,0,26334.00,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202206,2050,1,2050    ,2574,        ,0,2022-06-01,0,24,RUMINARE FC 1953         ,          ,2,1953,0.00,151734.00,0                             ,0                             ,PROVEEDORES                   ,RUMINARE LAMOTHE MARIELA      ,                              
800,202206,6501,1,        ,0,        ,0,2022-06-01,0,24,RUMINARE FC 1953         ,          ,0,0,125400.00,0.00,0                             ,0                             ,RACIONES GANADERIA            ,                              ,                              
800,202206,2050,1,2050    ,1007,        ,0,2022-06-01,0,37,CECT FC 34893            ,          ,6,34893,0.00,3865.00,0                             ,0                             ,PROVEEDORES                   ,COOP ELECTRICA DE C. TEJE     ,                              
800,202206,1080,1,IVA     ,4,        ,0,2022-06-01,0,37,CECT FC 34893            ,          ,0,0,753.27,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
800,202206,8090,1,8090    ,3,        ,0,2022-06-01,0,37,CECT FC 34893            ,          ,0,0,3111.73,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,ENERGIA ELECTRICA             ,                              
800,202206,1080,1,IVA     ,4,        ,0,2022-06-01,0,38,CECT FC 34892            ,          ,0,0,1721.88,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
800,202206,2050,1,2050    ,1007,        ,0,2022-06-01,0,38,CECT FC 34892            ,          ,6,34892,0.00,8815.80,0                             ,0                             ,PROVEEDORES                   ,COOP ELECTRICA DE C. TEJE     ,                              
800,202206,8090,1,8090    ,3,        ,0,2022-06-01,0,38,CECT FC 34892            ,          ,0,0,7093.92,0.00,0                             ,0                             ,OTROS GASTOS ESTANCIA         ,ENERGIA ELECTRICA             ,                              
800,202206,2050,1,2050    ,1007,        ,0,2022-06-01,0,39,CECT FC 34894            ,          ,6,34894,0.00,30279.30,0                             ,0                             ,PROVEEDORES                   ,COOP ELECTRICA DE C. TEJE     ,                              
800,202206,1080,1,IVA     ,4,        ,0,2022-06-01,0,39,CECT FC 34894            ,          ,0,0,5691.54,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_27                        ,                              
800,202206,1160,1,1160    ,12,        ,0,2022-06-09,0,32,AFIP RET GAN             ,          ,0,0,3098057.30,0.00,0                             ,0                             ,OTROS CREDITOS                ,HAG                           ,                              
800,202206,1080,1,IVA     ,5,        ,0,2022-06-09,0,111,D LANGE FC 49227         ,          ,0,0,1418.94,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202206,2050,1,2050    ,2295,        ,0,2022-06-09,0,111,D LANGE FC 49227         ,          ,55,49227,0.00,8175.94,0                             ,0                             ,PROVEEDORES                   ,DIESEL LANGE SRL              ,                              
800,202206,7010,1,7010    ,3,        ,0,2022-06-09,0,111,D LANGE FC 49227         ,          ,0,0,6757.00,0.00,0                             ,0                             ,TRACTORES                     ,REPUESTOS REPARACIONES        ,                              
800,202206,1160,1,1160    ,8,        ,0,2022-06-09,0,115,LEÑEROS                  ,          ,0,0,66200.00,0.00,0                             ,0                             ,OTROS CREDITOS                ,RETIRO SOCIOS VARIOS          ,                              
800,202206,1020,1,1020    ,1,        ,0,2022-06-09,0,115,LEÑEROS                  ,          ,0,0,0.00,66200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
800,202206,2050,1,2050    ,3678,        ,0,2022-06-10,0,1,BOERO M FC 43            ,          ,0,0,298843.40,0.00,0                             ,0                             ,PROVEEDORES                   ,BOERO MARTIN                  ,                              
800,202206,1020,1,1020    ,5,        ,0,2022-06-10,0,1,BOERO M FC 43            ,945       ,0,0,0.00,298843.40,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
800,202206,1080,1,IVA     ,5,        ,0,2022-06-11,0,54,QUARIN SRL FC 2081       ,          ,0,0,53106.24,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202206,2050,1,2050    ,1089,        ,0,2022-06-11,0,54,QUARIN SRL FC 2081       ,          ,5,2081,0.00,336000.00,0                             ,0                             ,PROVEEDORES                   ,QUARIN Y CIA SRL              ,                              
800,202206,7010,1,7010    ,1,        ,0,2022-06-11,0,54,QUARIN SRL FC 2081 2100 L,          ,0,0,282893.76,0.00,0                             ,0                             ,TRACTORES                     ,GAS OIL                       ,                              
800,202206,1080,1,IVA     ,5,        ,0,2022-06-11,0,56,QUARIN SRL FC 2087       ,          ,0,0,2691.89,0.00,0                             ,0                             ,IVA COMPRAS                   ,IVA_21                        ,                              
800,202206,2050,1,2050    ,1089,        ,0,2022-06-11,0,56,QUARIN SRL FC 2087       ,          ,5,2087,0.00,17701.40,0                             ,0                             ,PROVEEDORES                   ,QUARIN Y CIA SRL              ,                              
