CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,200807,1010,1,1010    ,1,        ,0,2008-07-01,36,260,APERTURA                 ,          ,0,0,5394.51,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
90,200807,1010,1,1010    ,2,        ,0,2008-07-01,36,260,APERTURA                 ,          ,0,0,19932.00,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
90,200807,1010,1,1010    ,3,        ,0,2008-07-01,36,260,APERTURA                 ,          ,0,0,543.33,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200807,1010,1,1010    ,3,        ,0,2008-07-30,210,156,DIF VAC/FF               ,          ,0,0,24.16,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200807,1010,1,1010    ,3,        ,0,2008-07-31,218,155,MENS JULIO               ,          ,0,0,40.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200807,1020,1,1020    ,1,        ,0,2008-07-01,31,177,COMISION                 ,          ,0,0,0.00,416.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200807,1020,1,1020    ,1,        ,0,2008-07-01,1,1,ROVIRA SA 500LTS GASOIL  ,TRANSF    ,0,8631408,0.00,11745.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200807,1020,1,1020    ,1,        ,0,2008-07-01,2,2,BCO CUENCA               ,TRANSF    ,0,8631582,0.00,36500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200807,1020,1,1020    ,1,        ,0,2008-07-01,3,3,MUSITO SALDO             ,TRANSF    ,0,86311433,0.00,40397.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200807,1020,1,1020    ,1,        ,0,2008-07-01,4,4,H GAVIÑA FC SADO 138     ,TRANSF    ,0,863499,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
