CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,200809,1010,1,1010    ,3,        ,0,2008-09-17,138,77,FFONDOS/LIMP             ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200809,1010,1,1010    ,3,        ,0,2008-09-24,186,152,F FONDOS                 ,          ,0,0,250.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200809,1010,1,1010    ,3,        ,0,2008-09-30,248,244,LQ FFO                   ,          ,0,0,0.00,433.88,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200809,1020,1,1020    ,1,        ,0,2008-09-01,37,122,BCO GAL  COMISION        ,          ,0,0,0.00,148.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200809,1020,1,1020    ,1,        ,0,2008-09-01,42,195,COMISION                 ,          ,0,0,0.00,190.73,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200809,1020,1,1020    ,1,        ,0,2008-09-01,1,3,SAENZ FC 1839/1838/37    ,3987      ,0,546,0.00,104956.19,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200809,1020,1,1020    ,1,        ,0,2008-09-01,2,4,SAENZ FC 5168            ,TRANSF    ,0,8880471,0.00,1174.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200809,1020,1,1020    ,1,        ,0,2008-09-01,3,5,JUAN                     ,TRANSF    ,0,8880373,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200809,1020,1,1020    ,1,        ,0,2008-09-01,4,6,PINTURA OF               ,8811      ,0,1332,0.00,150.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200809,1020,1,1020    ,1,        ,0,2008-09-01,5,7,PIN                      ,6816      ,0,1336,0.00,250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
