CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,200812,1010,1,1010    ,3,        ,0,2008-12-17,124,77,CAJA                     ,          ,0,0,250.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-01,1,2,DIESEL LANGE FC 14935    ,TRANSF    ,0,9263896,0.00,153.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-01,2,3,EL GURRIA FC 2206/1121   ,TRANSF    ,0,9263792,0.00,651.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-01,3,4,JUAN                     ,TRANSF    ,0,9262958,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-01,4,5,OLEAG MOR 28080K         ,TRANSF    ,0,9262847,0.00,11605.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-01,8,35,JUAN                     ,TRANSF    ,0,9266805,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-01,19,223,GAL                      ,          ,0,0,0.00,149.92,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,44,225,GAL                      ,          ,0,0,0.00,13.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,45,252,SR                       ,4021      ,0,579,0.00,182.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,35,38,AMX                      ,4020      ,0,578,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,22,6,MARTINDALE NOV-08        ,TRANSF    ,0,9276679,0.00,4592.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,23,7,MOLINOS RIO (EL INDIO)   ,TRANSF    ,0,9278142,0.00,11539.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,24,8,BRESUR                   ,TRANS     ,0,9278180,0.00,112.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,25,13,HAG AUT/MUC              ,4005      ,0,563,0.00,818.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,26,14,MAPFRE INT COMER         ,4023      ,0,581,0.00,93.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,27,15,BOTIJA SA                ,3998      ,0,556,0.00,770.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,28,16,JOCKEY                   ,4015      ,0,573,0.00,939.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,29,17,EXP DIC08                ,4000      ,0,558,0.00,98.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,30,18,EXP NOV08                ,4001      ,0,559,0.00,98.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-03,31,19,NIDERA LQ 9580367        ,          ,0,0,131102.93,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-05,52,10,ESX SCALABRINI NOV08     ,TRANSF    ,0,9294513,0.00,366.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-05,53,11,CAMINO CUOTA4/2008       ,TRANSF    ,0,9292966,0.00,7348.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-05,54,12,CORRAL FC 287            ,TRANSF    ,0,9293187,0.00,415.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-05,51,9,DIESEL LANGE FC 14786    ,TRANSF    ,0,9294660,0.00,523.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-05,55,39,C SOC NOV 08             ,4016      ,0,574,0.00,8376.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-05,56,40,BCO GAL                  ,          ,0,0,3500.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-05,58,227,GAL                      ,          ,0,0,0.00,31.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-06,59,1,CUFFIA FC 27519/520      ,0108      ,0,1358,0.00,3273.38,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-09,60,30,PREST EBP                ,TRANS     ,0,9304262,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-09,61,42,TEL DE ARGENTINANOV 08   ,4029      ,0,586,0.00,228.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-09,62,43,TEL DE ARG FC NOV        ,4004      ,0,562,0.00,778.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-09,63,44,CROCE EXPNOV 08          ,7710      ,0,534,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-09,64,45,SOLA FC 17188            ,TRANSF    ,0,9305989,0.00,262.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-09,65,46,AS FC OCTUBRE            ,TRANSF    ,0,9304243,0.00,16248.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-09,67,229,GAL                      ,          ,0,0,0.00,53.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-10,72,231,COMIS                    ,          ,0,0,0.00,16.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-10,68,36,FLENI                    ,TRANSF    ,0,9308541,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-10,69,37,OLGUIN                   ,TRANSF    ,0,9308865,0.00,3974.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-11,73,24,PEÑALBA FC 465           ,TRANSF    ,0,9315277,0.00,7707.37,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-11,74,25,COOP DE C TEJ FC314/15/16,TRANSF    ,0,9314952,0.00,1324.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-11,80,233,COMISI                   ,          ,0,0,0.00,28.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-12,96,235,BCO GAL COMISI           ,          ,0,0,0.00,38.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-12,81,26,SIMONDI FC 10482         ,TRANS     ,0,9323009,0.00,113.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-12,82,27,ZABALA FC 16443          ,TRANS     ,0,9322941,0.00,1848.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-12,83,28,CREA NOV 08              ,TRANS     ,0,9322727,0.00,1904.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-12,84,29,PRESTAMO EBP             ,TRASN     ,0,9322556,0.00,9000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200812,1020,1,1020    ,1,        ,0,2008-12-12,85,51,OS                       ,4010      ,0,568,0.00,643.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
