CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,200902,1010,1,1010    ,3,        ,0,2009-02-12,100,121,CAJA                     ,          ,0,0,250.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-01,22,185,COMIS                    ,          ,0,0,0.00,65.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-01,3,43,COMISION                 ,          ,0,0,0.00,185.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-01,5,45,COMISION                 ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-01,7,47,CHEQUERA                 ,          ,0,0,0.00,77.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-02,24,1,DESAB FC 71646/7/8       ,3074      ,0,636,0.00,11471.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-02,25,2,MENS                     ,3050      ,0,615,0.00,200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-02,26,3,ALQ ENERO/2009           ,4002      ,0,560,0.00,770.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-02,31,112,BCO GAL COMISION         ,          ,0,0,0.00,162.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-04,50,116,CRESPO FC 4354           ,          ,0,0,38868.60,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-04,39,5,MARTINDALE               ,1327      ,0,1445,0.00,4608.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-04,40,6,AGUILAR                  ,          ,0,0,17000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-04,41,7,ARBA CUOTA 1 /2009       ,0966      ,0,1424,0.00,981.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-04,43,9,LEOTTA FC 7408           ,0967      ,0,1425,0.00,175.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-04,45,21,JUAN                     ,957       ,0,1414,0.00,800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-04,46,22,MEN                      ,959       ,0,1416,0.00,285.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-04,47,24,TELEF                    ,958       ,0,1415,0.00,488.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-04,48,25,SIGRA VTA TRIGO/SOJA     ,          ,0,0,41594.61,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-05,62,113,ZURICH SEG 207           ,          ,0,0,0.00,173.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-05,63,114,MAPFRE SEG TOY           ,          ,0,0,0.00,387.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-06,79,120,VISA ENERO09             ,0972      ,0,1430,0.00,2800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-06,74,20,ARBA PAT CUOTA1/09       ,965       ,0,1423,0.00,350.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-06,71,17,AFIP                     ,1328      ,0,1446,0.00,854.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-06,72,18,AS FC DIC08              ,1377      ,0,640,0.00,2434.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-06,73,19,SERVICOOP 3 MESES        ,961       ,0,1419,0.00,586.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-06,66,12,POGGI FC 4647            ,3042      ,0,607,0.00,1220.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-06,67,13,ASOC ARG POLO SEMESTRE1  ,1381      ,0,644,0.00,750.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-06,68,14,JOCKEY CLUB ENER/09      ,975       ,0,1433,0.00,1095.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-06,69,15,COOP DE TRANS CHAC FC 981,971       ,0,1429,0.00,12186.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-06,70,16,C SOC ENERO/09           ,0964      ,0,1422,0.00,11437.26,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-06,79,120,VISA ENERO09             ,0962      ,0,1420,0.00,6568.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-09,81,26,MEDIA LUNA ENER/09       ,1380      ,0,643,0.00,120.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-09,82,27,DIESEL LANGE FC 15946    ,1391      ,0,802,0.00,406.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-09,83,28,ZABALA FC 16742/16859    ,1386      ,0,648,0.00,439.07,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-09,84,30,TEL DE ARG               ,1382      ,0,645,0.00,764.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-09,85,31,EXP ENERO09              ,1388      ,0,650,0.00,431.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-09,86,32,ASOC HER TRIM 1          ,1385      ,0,647,0.00,150.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-09,87,34,NETIZEN                  ,1326      ,0,1444,0.00,32.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-09,89,39,FORNIELES FC 28619       ,0970      ,0,1428,0.00,149.99,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-09,88,36,MAPFRE CUOTA 1           ,          ,0,0,0.00,226.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-11,92,117,CRESPO FC 4381           ,          ,0,0,40901.49,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-12,98,91,I BRUTOS                 ,1331      ,0,656,0.00,116.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-12,99,99,RUCAMALEN FC 26426       ,1379      ,0,642,0.00,495.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-12,95,79,OSDE                     ,1325      ,0,1443,0.00,643.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-12,96,80,AFIP                     ,3031      ,0,596,0.00,3484.06,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-12,97,90,ALQ FEBR-09              ,960       ,0,1418,0.00,770.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-12,94,41,SEG SEP ENERO            ,1329      ,0,1447,0.00,257.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-12,93,4,MICELLI  CUOTA 2         ,0954      ,0,654,0.00,2445.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-12,100,121,CAJA                     ,1317      ,0,1435,0.00,250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-16,107,64,CALDIROLA EXP ENERO      ,963       ,0,1421,0.00,315.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-16,110,87,DIEGO HNOS FC 11790      ,1316      ,0,1434,0.00,165.05,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-16,108,85,DECESARE FC 22112/22105  ,1390      ,0,801,0.00,81.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-16,109,86,MORON FC 35768/588       ,1384      ,0,805,0.00,131.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-16,111,119,OSDE                     ,          ,0,0,0.00,634.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-18,115,88,AGROPASTEUR              ,1400      ,0,811,0.00,3455.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-18,113,54,CCG ELECT FC 21551       ,1334      ,0,659,0.00,333.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-20,122,89,DIEGO HNOS FC 11886      ,1413      ,0,824,0.00,294.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-20,121,81,CREA DIC/ENERO           ,974       ,0,1432,0.00,4590.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-20,129,100,COOP C TEJ FC 508343/4/5 ,1399      ,0,810,0.00,2551.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-20,130,101,DESAB FC 72221/20/215/096,958       ,0,1426,0.00,9158.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-20,123,93,AMX 1538672              ,1337      ,0,662,0.00,501.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200902,1020,1,1020    ,1,        ,0,2009-02-20,124,94,IVA                      ,4011      ,0,569,0.00,1225.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
