CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,200906,1010,0,1010    ,1,        ,0,2009-06-30,0,281,ASIENTO DE CIERRE 2009   ,          ,0,0,0.00,5844.51,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
90,200906,1010,0,1010    ,2,        ,0,2009-06-30,0,281,ASIENTO DE CIERRE 2009   ,          ,0,0,0.00,19932.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
90,200906,1010,1,1010    ,3,        ,0,2009-06-24,199,129,FF                       ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200906,1010,0,1010    ,3,        ,0,2009-06-30,0,281,ASIENTO DE CIERRE 2009   ,          ,0,0,0.00,47.67,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200906,1010,1,1010    ,3,        ,0,2009-06-30,255,247,FF                       ,          ,0,0,0.00,557.05,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-01,19,193,GAL                      ,          ,0,0,0.00,226.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-01,10,20,MUCAM                    ,8407      ,0,47,0.00,81.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-01,11,21,AFIP AUT                 ,5140      ,0,40,0.00,785.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-02,29,12,OLEAG MORENO             ,          ,0,0,17000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-02,30,13,CARGILL                  ,          ,0,0,41606.32,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-02,39,195,GAL                      ,          ,0,0,0.00,1.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-04,44,15,SRA                      ,5105      ,0,5,0.00,330.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-04,43,2,MARTINDALE               ,8414      ,0,54,0.00,4770.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-04,48,27,CAJA CP 1382             ,1425      ,0,1382,0.00,820.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-04,45,16,BOTIJA                   ,5139      ,0,39,0.00,770.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-04,46,17,EXPENSAS OF              ,5138      ,0,38,0.00,98.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-04,49,30,SEG SEP ABRIL/MAY        ,5125      ,0,25,0.00,448.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-04,50,31,JOCKEY                   ,8412      ,0,52,0.00,1070.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200906,1020,1,1020    ,1,        ,0,2009-06-05,57,28,C SOC MAYO               ,5122      ,0,22,0.00,9583.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
