CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,200908,1010,1,1010    ,3,        ,0,2009-08-19,129,69,F FONDOS                 ,          ,0,0,350.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200908,1010,1,1010    ,3,        ,0,2009-08-20,156,68,FF                       ,          ,0,0,0.00,413.20,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-01,44,220,FC 4871                  ,4542      ,0,112,0.00,1220.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-03,63,208,COMISION                 ,          ,0,0,0.00,54.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-03,65,210,COMISION                 ,          ,0,0,0.00,308.07,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-03,47,4,MARTINDALE JULIO09       ,4543      ,0,113,0.00,4634.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-03,48,5,CREA JULIO09             ,4529      ,0,100,0.00,2204.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-03,49,6,AGUIRRE VASQUEZ          ,4560      ,0,130,0.00,36544.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-03,50,7,MUNIC DE C TEJ           ,4563      ,0,133,0.00,6840.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-03,51,8,JOCKEY JULIO09           ,4559      ,0,129,0.00,1198.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-03,52,9,MARTINDALE TE            ,4557      ,0,127,0.00,244.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-03,60,42,TEL DE ARG               ,4561      ,0,131,0.00,947.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-04,67,94,SAENZ LQ 53171           ,          ,0,0,40185.77,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-05,68,19,BOTIJA AGOSTO09          ,2762      ,0,142,0.00,770.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-05,69,20,JUAN                     ,4552      ,0,122,0.00,800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-05,70,211,ZURICH                   ,          ,0,0,0.00,196.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-05,71,212,MAPFRE                   ,          ,0,0,0.00,387.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-07,84,218,MAPFRE                   ,          ,0,0,0.00,226.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-07,85,227,VISA                     ,2788      ,0,168,0.00,1472.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-07,85,227,VISA                     ,4570      ,0,140,0.00,8000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-07,74,2,TREZZA FC B566           ,2661      ,0,0,0.00,10000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-07,76,32,RET GANAN                ,4567      ,0,137,0.00,572.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-07,75,31,EXPENSAS                 ,2763      ,0,143,0.00,98.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-07,77,33,AFIP                     ,2761      ,0,141,0.00,949.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-07,78,34,C SOCIALES JULIO09       ,2687      ,0,822,0.00,9521.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-07,79,35,F SWPELIO                ,4568      ,0,138,0.00,223.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-09,88,229,RISTORINI FC 260         ,2691      ,0,826,0.00,15299.83,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-10,91,36,MAPFRE SEG OF            ,2682      ,0,817,0.00,121.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200908,1020,1,1020    ,1,        ,0,2009-08-10,89,3,CABALEIRO FC 2401        ,2663      ,0,798,0.00,1083.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
