CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,200909,1010,1,1010    ,1,        ,0,2009-09-23,200,143,BCO PCIA                 ,          ,0,0,250.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
90,200909,1010,1,1010    ,3,        ,0,2009-09-23,197,120,FFONDOS                  ,          ,0,0,0.00,194.90,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,200909,1020,1,1020    ,1,        ,0,2009-09-01,51,129,BCO GAL COMISION         ,          ,0,0,0.00,272.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200909,1020,1,1020    ,1,        ,0,2009-09-02,70,130,BCO GAL DEV AFIP         ,          ,0,0,5382.67,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200909,1020,1,1020    ,1,        ,0,2009-09-02,65,1,CUENCA                   ,2777      ,0,157,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200909,1020,1,1020    ,1,        ,0,2009-09-02,66,2,ALQ                      ,2805      ,0,185,0.00,850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200909,1020,1,1020    ,1,        ,0,2009-09-02,67,3,EXP                      ,2780      ,0,160,0.00,114.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200909,1020,1,1020    ,1,        ,0,2009-09-02,68,12,POGGI FC 4906            ,          ,0,0,0.00,1220.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200909,1020,1,1020    ,1,        ,0,2009-09-04,75,4,AFIP                     ,2782      ,0,162,0.00,949.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,200909,1020,1,1020    ,1,        ,0,2009-09-04,76,5,JOCKEY                   ,2694      ,0,830,0.00,1149.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
