CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201002,1010,1,1010    ,3,        ,0,2010-02-01,1,1,DIF MEN/ CAJA            ,          ,0,0,164.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201002,1010,1,1010    ,3,        ,0,2010-02-05,71,34,OSDE / VAR               ,          ,0,0,259.58,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201002,1010,1,1010    ,3,        ,0,2010-02-15,110,48,A CTA                    ,          ,0,0,0.00,300.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201002,1010,1,1010    ,3,        ,0,2010-02-17,124,52,FF / CTI                 ,          ,0,0,259.18,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201002,1010,1,1010    ,3,        ,0,2010-02-26,170,60,F FONDOS                 ,          ,0,0,0.00,393.08,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-01,4,64,BCO GAL COMISION         ,          ,0,0,0.00,215.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-01,1,1,DIF MEN/ CAJA            ,9765      ,0,1095,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-01,2,2,MENS/VACAC               ,9763      ,0,1093,0.00,750.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-03,45,11,JUAN                     ,4751      ,0,1196,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-03,46,12,JUAN                     ,9808      ,0,1338,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-03,48,14,AFIP MORAT               ,9811      ,0,1341,0.00,1059.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-03,47,13,AFIP MORAT               ,9812      ,0,1342,0.00,361.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-03,49,15,MAPFRE SE PER            ,9779      ,0,456,0.00,97.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-03,50,16,BOTIJA FEB2010           ,4051      ,0,1023,0.00,850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-03,51,17,EXPEN                    ,9801      ,0,1331,0.00,114.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-03,52,18,C SOC ENERO10            ,9771      ,0,1099,0.00,1367.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-03,53,19,C SOC ENERO2010          ,4788      ,0,1328,0.00,11724.35,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201002,1020,1,1020    ,1,        ,0,2010-02-03,54,20,JOCKEY ENERO2010         ,4790      ,0,1330,0.00,1327.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
