CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201003,1010,1,1010    ,3,        ,0,2010-03-01,7,20,CAJA                     ,          ,0,0,350.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201003,1010,1,1010    ,3,        ,0,2010-03-20,144,256,LQ F FONDOS              ,          ,0,0,0.00,355.20,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201003,1010,1,1010    ,3,        ,0,2010-03-31,249,153,F FONDOS                 ,          ,0,0,350.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-01,7,20,CAJA                     ,9720      ,0,467,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-01,1,1,DIF MENSAJE              ,9816      ,0,1346,0.00,200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-01,2,2,GAL RURAL                ,9781      ,0,483,0.00,24146.53,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-01,17,52,BCO GAL                  ,          ,0,0,0.00,217.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-02,27,8,SAENZ LQ 55176           ,          ,0,0,62320.98,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-02,28,14,JUAN                     ,9818      ,0,1348,0.00,500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-02,29,15,JUAN                     ,9712      ,0,459,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-03,35,21,TINO                     ,9815      ,0,1345,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-03,34,19,C SOC FEBRERO            ,9734      ,0,481,0.00,9259.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-03,36,22,EXPENSAS                 ,9817      ,0,1347,0.00,114.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-03,37,23,ALQUILER MARZO10         ,9711      ,0,458,0.00,850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-05,51,18,AFIP                     ,9826      ,0,305,0.00,1228.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-05,49,16,OSDE                     ,9821      ,0,1350,0.00,710.31,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-05,50,17,POGGI FC 5129            ,9735      ,0,482,0.00,1367.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-05,48,4,MARTINDALE FEBRERO 10    ,9713      ,0,460,0.00,5151.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-05,53,43,DIESEL LANGE FC 21053    ,9824      ,0,303,0.00,4322.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-05,54,53,ZURICH                   ,          ,0,0,0.00,210.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-05,55,54,MAPFRE                   ,          ,0,0,0.00,290.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-05,56,55,MAPFRE                   ,          ,0,0,0.00,449.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-08,66,50,VISA FEBRERO             ,9835      ,0,314,0.00,6391.12,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201003,1020,1,1020    ,1,        ,0,2010-03-08,63,28,BOTIJA ANUAL ABL         ,9828      ,0,307,0.00,134.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
