CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201004,1010,1,1010    ,3,        ,0,2010-04-09,56,12,HG                       ,          ,0,0,5.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201004,1010,1,1010    ,3,        ,0,2010-04-28,192,110,CAJA                     ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-01,8,80,JAIME ARREGLO AUTO       ,1084      ,0,1220,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,34,59,ZURICH                   ,          ,0,0,0.00,210.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,35,60,BCO GAL                  ,          ,0,0,0.00,232.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,23,9,CROCE                    ,3254      ,0,523,0.00,420.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,24,10,C SOC MARZO              ,3243      ,0,513,0.00,10442.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,21,5,ARBAS FC 17813/426       ,9840      ,0,319,0.00,197.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,22,6,MOLINOS CHAC FC 378757   ,3235      ,0,505,0.00,11100.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,25,17,AFIP                     ,3231      ,0,501,0.00,1228.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,26,18,EX MARZO                 ,3240      ,0,510,0.00,5356.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,27,19,BOTIJA SA                ,3257      ,0,526,0.00,850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,28,20,CUOTA CAMINOS1/2010      ,3256      ,0,525,0.00,8466.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,29,21,OFINET FC 990382         ,3255      ,0,524,0.00,87.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,30,22,TINO                     ,3252      ,0,521,0.00,260.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,31,23,MENS                     ,3251      ,0,520,0.00,225.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,32,24,JOCKEY                   ,3239      ,0,509,0.00,1504.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-05,36,213,SAENZ LQ 55438           ,          ,0,0,72916.34,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-06,37,2,CORRAL FC 533            ,9785      ,0,487,0.00,446.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-06,41,61,MAPFRE                   ,          ,0,0,0.00,290.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-06,42,62,MAPFRE                   ,          ,0,0,0.00,449.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-07,45,16,SCHOEDER A CTA GAS OIL   ,3260      ,0,528,0.00,16000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-09,59,15,BERTHE FC 3563           ,3348      ,0,517,0.00,499.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-09,55,11,A EXPRES                 ,3264      ,0,532,0.00,332.28,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-09,56,12,HG                       ,3263      ,0,531,0.00,95.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-09,57,13,POGGI FC 5168            ,3242      ,0,512,0.00,1367.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-09,58,14,EXPENSAS                 ,3261      ,0,529,0.00,114.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-09,60,29,AITUE FC 81              ,3244      ,0,514,0.00,1874.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-09,61,30,SIGRA FC 36451-FINAL     ,3253      ,0,522,0.00,2494.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-09,63,71,EL CIENTO DOS SA GGC325  ,3267      ,0,535,0.00,7780.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-09,70,257,VISA                     ,3262      ,0,530,0.00,10737.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-10,73,40,MAPFRE                   ,3238      ,0,508,0.00,97.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-10,71,1,JESUS CASADO FC 1243     ,1071      ,0,488,0.00,4290.75,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-10,72,4,VET PONTIGGIA FC 35485/50,9837      ,0,316,0.00,784.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-12,80,41,TEL DE ARG               ,3241      ,0,511,0.00,679.57,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-12,77,37,DEL RIO FC 9274          ,3249      ,0,518,0.00,190.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-12,78,38,ZABALA FC 20480          ,3246      ,0,515,0.00,74.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-12,79,39,ZABALA FC 20512          ,3250      ,0,519,0.00,895.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-14,89,44,SEG SEP MARZO            ,3237      ,0,507,0.00,235.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-14,90,45,AS FC FEB                ,3258      ,0,527,0.00,5724.77,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-14,91,46,IBRUTOS                  ,3232      ,0,0,0.00,822.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-14,92,47,CREA MARZO2010           ,3236      ,0,506,0.00,2339.51,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-15,98,49,MOLINOS CHACA FC 379089  ,3266      ,0,534,0.00,11152.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201004,1020,1,1020    ,1,        ,0,2010-04-15,97,3,AGROSERV PASTEUR         ,1073      ,0,490,0.00,10534.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
