CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201007,1010,0,1010    ,2,        ,0,2010-07-01,0,245,ASIENTO DE APERTURA 2010 ,          ,0,0,19932.00,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
90,201007,1010,0,1010    ,2,        ,0,2010-07-01,0,246,ASIENTO DE APERTURA 2010 ,          ,0,0,19932.00,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
90,201007,1010,0,1010    ,3,        ,0,2010-07-01,0,246,ASIENTO DE APERTURA 2010 ,          ,0,0,179.16,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201007,1010,0,1010    ,3,        ,0,2010-07-01,0,245,ASIENTO DE APERTURA 2010 ,          ,0,0,179.16,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201007,1010,1,1010    ,3,        ,0,2010-07-07,70,236,F FONDO                  ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201007,1010,1,1010    ,3,        ,0,2010-07-26,169,122,FONDO FIJO JULIO 2010    ,          ,0,0,350.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201007,1010,1,1010    ,3,        ,0,2010-07-28,195,121,TEL DE ARG               ,          ,0,0,0.00,182.45,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201007,1020,1,1020    ,1,        ,0,2010-07-01,1,3,TEXEIRA FC 4244          ,1074      ,0,207,0.00,454.96,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201007,1020,1,1020    ,1,        ,0,2010-07-01,2,4,DECESARE FC 25822        ,1075      ,0,208,0.00,174.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201007,1020,1,1020    ,1,        ,0,2010-07-01,3,5,ESCUDERO FC 14886/14913  ,1076      ,0,209,0.00,238.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201007,1020,1,1020    ,1,        ,0,2010-07-01,4,6,CASDO ABRIL/MAYO         ,1080      ,0,212,0.00,4291.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201007,1020,1,1020    ,1,        ,0,2010-07-01,5,7,SABLEVICH FC 12          ,1082      ,0,214,0.00,3028.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201007,1020,1,1020    ,1,        ,0,2010-07-01,6,9,AFIP RET GAN             ,3657      ,0,232,0.00,2502.29,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
