CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201011,1010,1,1010    ,3,        ,0,2010-11-03,39,16,F FONDOS                 ,          ,0,0,350.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201011,1010,1,1010    ,3,        ,0,2010-11-23,136,86,FF ONDOS                 ,          ,0,0,350.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201011,1010,1,1010    ,3,        ,0,2010-11-30,205,130,F FONDOS                 ,          ,0,0,0.00,196.38,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-01,15,83,AGROSERV  PASTEUR F52993 ,6709      ,0,94,0.00,14580.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-01,14,76,BCO GAL GB               ,          ,0,0,0.00,298.87,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-01,1,4,MONASTERIO FC 28225      ,41        ,0,542,0.00,4344.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-01,2,5,EL CIENTO DOS FC 333     ,3658      ,0,121,0.00,1104.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-01,3,6,MIRANDA FC 219           ,          ,0,0,0.00,1074.07,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-01,4,7,JAIME GAVIÑA OCTUBRE2010 ,3673      ,0,135,0.00,8640.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-01,5,8,DEL RIO FC AGOSTO2010    ,3656      ,0,119,0.00,3323.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-01,6,9,JUAN NOVIE 2010          ,3659      ,0,122,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-01,7,10,AS FC AGOSTO2010         ,3648      ,0,111,0.00,34833.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-01,8,12,SRA INSC /BIMESTRE 4/5   ,3688      ,0,148,0.00,1714.64,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-02,28,3,OLEAG SOJA               ,          ,0,0,59704.16,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-02,35,85,SERVICOOP SA             ,3694      ,0,155,0.00,193.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-03,37,14,JOCKEY SET 2010          ,3689      ,0,149,0.00,1479.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-03,38,15,TINO LIMP/BAUL           ,482       ,0,553,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-03,39,16,F FONDOS                 ,3693      ,0,152,0.00,350.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-03,40,17,POGGI FC 5431            ,3684      ,0,145,0.00,1367.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-03,41,18,CROCE EXP NOV2010        ,500       ,0,571,0.00,504.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-03,42,19,AACREA FC 94653          ,486       ,0,557,0.00,333.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-03,43,20,BOTIJA NOV 2010          ,487       ,0,558,0.00,850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-03,44,21,ROSALES FC 1153          ,3649      ,0,112,0.00,3303.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-03,45,22,EXP OCTU2010             ,488       ,0,559,0.00,147.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-03,52,166,OCTUBRE 2010             ,513       ,0,582,0.00,1018.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-03,56,185,ACREA FC 923421          ,3682      ,0,143,0.00,333.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-05,64,13,MARTINDALE OCTUBRE2010   ,498       ,0,569,0.00,5541.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-05,66,77,MAPFRE                   ,          ,0,0,0.00,290.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-05,67,78,MAPFRE                   ,          ,0,0,0.00,449.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-08,72,26,TEL DE ARG               ,3685      ,0,146,0.00,545.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-08,73,27,ASOC ARG CRIAD HEREF     ,3686      ,0,147,0.00,240.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-08,74,28,TELEFONICA               ,3683      ,0,144,0.00,221.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-08,75,30,C SOC OCTUBRE 2010       ,3677      ,0,139,0.00,10321.04,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-08,76,36,OLEAG MORENO             ,          ,0,0,5020.34,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-10,85,33,DIESEL LANGE FC 26178    ,489       ,0,560,0.00,156.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-10,86,40,RURAL TEC FC 11769       ,490       ,0,561,0.00,1755.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-10,82,29,SILVESTRE FC 2732/33     ,496       ,0,567,0.00,5990.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201011,1020,1,1020    ,1,        ,0,2010-11-10,83,31,RENTAS IMP INMOB 3/2010  ,3691      ,0,150,0.00,16781.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
