CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201012,1010,1,1010    ,3,        ,0,2010-12-22,167,119,FF                       ,          ,0,0,400.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-01,55,172,BCO GAL                  ,          ,0,0,0.00,492.47,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-03,62,2,BOTIJA SA                ,6516      ,0,600,0.00,850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-03,63,3,C SOC NOV 2010           ,43        ,0,544,0.00,10289.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-03,64,4,AFIP JAIME               ,6513      ,0,598,0.00,1195.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-03,65,5,DESAB RET GANANCIA       ,516       ,0,584,0.00,198.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-03,66,6,POGGI FC 5467            ,6517      ,0,601,0.00,1367.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-06,75,8,AMX /LIMP                ,6538      ,0,624,0.00,58.42,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-06,77,10,COOP DE TRES AL FC 125765,6536      ,0,622,0.00,306.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-06,78,11,MUNIC DE TEJ CAMINOS     ,6539      ,0,625,0.00,8466.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-06,79,13,JOCKEY OCTUBRE 2010      ,6534      ,0,620,0.00,1497.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-06,80,55,JESUS CASADO FC SEPTIEMBR,6524      ,0,610,0.00,2581.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-06,81,173,ZURICH                   ,          ,0,0,0.00,264.81,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-07,83,7,MARTINDALE NOV-2010      ,6544      ,0,630,0.00,6491.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-07,84,14,AFIP                     ,6535      ,0,621,0.00,1360.88,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-07,85,15,JUAN                     ,6523      ,0,609,0.00,1500.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-07,86,16,TEL DE ARG               ,6545      ,0,631,0.00,78.49,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-07,87,17,EXP NOV 2010             ,0530      ,0,607,0.00,147.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201012,1020,1,1020    ,1,        ,0,2010-12-07,88,18,OSDE NOVIEMBRE2010       ,6540      ,0,626,0.00,1018.90,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
