CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201101,1010,1,1010    ,3,        ,0,2011-01-11,107,33,F FONDOS                 ,          ,0,0,0.00,518.14,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201101,1020,1,1020    ,1,        ,0,2011-01-01,29,111,COOP DE TRES AL FC 824   ,6111      ,0,248,0.00,184.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201101,1020,1,1020    ,1,        ,0,2011-01-03,61,185,BCO GAL                  ,          ,0,0,0.00,343.16,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201101,1020,1,1020    ,1,        ,0,2011-01-03,62,190,GAL RURAL                ,          ,0,0,0.00,54.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201101,1020,1,1020    ,1,        ,0,2011-01-03,63,194,BCO GAL ING BRUT         ,          ,0,0,0.00,3.71,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201101,1020,1,1020    ,1,        ,0,2011-01-03,49,2,JOCKEY                   ,          ,0,0,0.00,653.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201101,1020,1,1020    ,1,        ,0,2011-01-03,50,3,C SOC DIC2010            ,6069      ,0,208,0.00,17354.65,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201101,1020,1,1020    ,1,        ,0,2011-01-03,51,4,MAPFRE                   ,6074      ,0,211,0.00,69.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201101,1020,1,1020    ,1,        ,0,2011-01-03,52,5,MAPFRE                   ,72        ,0,210,0.00,96.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201101,1020,1,1020    ,1,        ,0,2011-01-03,53,6,EXP                      ,2456      ,0,200,0.00,150.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
