CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201102,1010,1,1010    ,3,        ,0,2011-02-02,34,33,FF                       ,          ,0,0,350.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201102,1010,1,1010    ,3,        ,0,2011-02-16,99,54,TINO / VAR OF            ,          ,0,0,0.00,318.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201102,1010,1,1010    ,3,        ,0,2011-02-28,167,109,LQUID FF                 ,          ,0,0,0.00,294.57,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201102,1020,1,1020    ,1,        ,0,2011-02-01,17,44,BCO GAL GB               ,          ,0,0,0.00,209.09,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201102,1020,1,1020    ,1,        ,0,2011-02-01,1,1,MOLIN CHAC DEP LQ 1121834,          ,0,0,155056.63,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201102,1020,1,1020    ,1,        ,0,2011-02-01,4,5,MARTINDALE 01/2011       ,7152      ,0,664,0.00,7805.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201102,1020,1,1020    ,1,        ,0,2011-02-01,5,6,COOP TRES AL FC 127885   ,3701      ,0,653,0.00,297.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201102,1020,1,1020    ,1,        ,0,2011-02-01,6,7,SERVIC FC 61674          ,6110      ,0,247,0.00,193.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201102,1020,1,1020    ,1,        ,0,2011-02-01,7,8,JOCKEY ENER 2011         ,3700      ,0,652,0.00,822.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201102,1020,1,1020    ,1,        ,0,2011-02-01,8,9,TEL DE ARG               ,3704      ,0,656,0.00,664.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201102,1020,1,1020    ,1,        ,0,2011-02-01,9,10,TEL                      ,7150      ,0,662,0.00,139.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201102,1020,1,1020    ,1,        ,0,2011-02-01,10,11,JAIME PAGO HON DIC VEROCH,6096      ,0,233,0.00,250.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201102,1020,1,1020    ,1,        ,0,2011-02-02,24,12,MENS A CTA ENE/VAC       ,6103      ,0,240,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
