CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201104,1020,1,1020    ,1,        ,0,2011-04-01,1,3,ALONSO FC 3311           ,7187      ,0,710,0.00,106.55,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201104,1020,1,1020    ,1,        ,0,2011-04-01,2,4,CERDA MOTOS FC 14        ,7186      ,0,709,0.00,1029.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201104,1020,1,1020    ,1,        ,0,2011-04-01,3,6,C SOC MARZO2011          ,225       ,0,724,0.00,13362.89,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201104,1020,1,1020    ,1,        ,0,2011-04-01,4,7,CASADO FC 1588           ,7188      ,0,711,0.00,1808.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201104,1020,1,1020    ,1,        ,0,2011-04-01,5,14,CREA FC 93/85 FEB/MARZO11,7193      ,0,716,0.00,700.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201104,1020,1,1020    ,1,        ,0,2011-04-01,6,15,O RODRIGUEZ FC 11500     ,7192      ,0,715,0.00,54.45,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201104,1020,1,1020    ,1,        ,0,2011-04-01,7,16,MUNIC DE C TEJ  10 HA RET,7194      ,0,717,0.00,3000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201104,1020,1,1020    ,1,        ,0,2011-04-01,8,17,POGGI FC 5614            ,7195      ,0,718,0.00,1712.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201104,1020,1,1020    ,1,        ,0,2011-04-01,9,18,JOCKEY CLUB FEB 2011     ,227       ,0,726,0.00,774.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201104,1020,1,1020    ,1,        ,0,2011-04-01,10,19,SRA ELAINE MORATORIA     ,0226      ,0,725,0.00,1280.54,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
