CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201106,1010,0,1010    ,1,        ,0,2011-06-30,0,257,ASIENTO DE CIERRE 2011   ,          ,0,0,0.00,300.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
90,201106,1010,0,1010    ,2,        ,0,2011-06-30,0,257,ASIENTO DE CIERRE 2011   ,          ,0,0,0.00,39864.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
90,201106,1010,1,1010    ,3,        ,0,2011-06-24,166,103,LIQ FF                   ,          ,0,0,0.00,455.05,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201106,1010,0,1010    ,3,        ,0,2011-06-30,0,257,ASIENTO DE CIERRE 2011   ,          ,0,0,0.00,238.01,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201106,1020,1,1020    ,1,        ,0,2011-06-01,22,248,BG AJ                    ,          ,0,0,0.00,638.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201106,1020,1,1020    ,1,        ,0,2011-06-01,23,249,BCO GAL GB               ,          ,0,0,0.00,402.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201106,1020,1,1020    ,1,        ,0,2011-06-01,1,3,EXPENSAS OF              ,6281      ,0,271,0.00,147.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201106,1020,1,1020    ,1,        ,0,2011-06-01,2,4,BOPTIJA SA               ,6280      ,0,270,0.00,850.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201106,1020,1,1020    ,1,        ,0,2011-06-01,3,5,TINO LIM P/BAUL          ,6285      ,0,275,0.00,300.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201106,1020,1,1020    ,1,        ,0,2011-06-01,4,6,JOCKEY MAYO2011          ,6277      ,0,267,0.00,896.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201106,1020,1,1020    ,1,        ,0,2011-06-01,6,9,BCO GAL GB               ,          ,0,0,0.00,395.91,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201106,1020,1,1020    ,1,        ,0,2011-06-01,10,17,MUNIC CT                 ,4792      ,0,769,0.00,8466.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201106,1020,1,1020    ,1,        ,0,2011-06-02,25,16,REGGI SA   A CTA         ,6269      ,0,260,0.00,9337.62,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201106,1020,1,1020    ,1,        ,0,2011-06-02,26,18,SIMONDI FC 12401         ,6274      ,0,264,0.00,195.97,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201106,1020,1,1020    ,1,        ,0,2011-06-02,27,19,CALLES FC 320            ,6264      ,0,256,0.00,160.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
