CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
90,201107,1010,0,1010    ,1,        ,0,2011-07-01,0,265,ASIENTO DE APERTURA 2011 ,          ,0,0,300.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
90,201107,1010,0,1010    ,2,        ,0,2011-07-01,0,265,ASIENTO DE APERTURA 2011 ,          ,0,0,39864.00,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
90,201107,1010,0,1010    ,3,        ,0,2011-07-01,0,265,ASIENTO DE APERTURA 2011 ,          ,0,0,238.01,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201107,1010,1,1010    ,3,        ,0,2011-07-01,0,83,FF                       ,          ,0,0,400.00,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201107,1010,1,1010    ,3,        ,0,2011-07-30,0,192,LQ FF                    ,          ,0,0,0.00,332.73,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,83,FF                       ,8499      ,0,9,0.00,400.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,14,PUEBLO CHICO DIF FC 30868,8512      ,0,20,0.00,4143.21,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,15,AGROSERV A CTA           ,8524      ,0,31,0.00,5871.01,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,20,DEL RIO FC 11383/11430/76,6276      ,0,266,0.00,3621.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,22,POGGI FC 37              ,8531      ,0,37,0.00,1712.15,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,23,CREA  ABRIL/MAYO         ,4810      ,0,787,0.00,767.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,24,AFIP RET GAN             ,2196      ,0,793,0.00,154.59,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,25,COOP CHAC FC 72470       ,6279      ,0,269,0.00,31543.86,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,26,JUAN JULIO2011           ,8495      ,0,5,0.00,1800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,28,LIMPIEZA OF/BAULERA      ,8500      ,0,10,0.00,320.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,29,JOCKEY 06/2011           ,8503      ,0,12,0.00,848.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,30,JAIME JUNIO2011          ,8494      ,0,4,0.00,5000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,33,C SOC JUNIO2011          ,8493      ,0,3,0.00,20966.32,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,35,REGGI FC 12925           ,8526      ,0,33,0.00,31611.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,0,1020    ,1,        ,0,2011-07-01,0,265,ASIENTO DE APERTURA 2011 ,          ,0,0,415019.60,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-01,0,225,BCO GAL IIBB             ,          ,0,0,0.00,5.76,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-02,0,16,AS FC ABRIL2011          ,8511      ,0,19,0.00,6073.33,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-04,0,34,AFIP RET GAN HG /ELAINE  ,6294      ,0,42,0.00,37200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-04,0,36,PASTEUR                  ,2210      ,0,807,0.00,25000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-04,0,57,TEL DE ARG               ,2204      ,0,801,0.00,191.18,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-05,0,31,MARTINDALE JUNIO2011     ,6293      ,0,41,0.00,8138.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-05,0,27,ALQUILER JULIO 2011      ,8207      ,0,804,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-05,0,227,ZURICH                   ,          ,0,0,0.00,281.43,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-05,0,228,MAPFRE                   ,          ,0,0,0.00,362.78,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-05,0,229,MAPFRE                   ,          ,0,0,0.00,529.39,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-06,0,19,SIMONDI FC 12454         ,8514      ,0,22,0.00,212.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-08,0,55,ZABAL 2018/031           ,8521      ,0,28,0.00,402.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-08,0,56,COOP DE TRES AL          ,2212      ,0,808,0.00,247.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-08,0,52,DINOSAURIO SA /AUARI/CORR,6297      ,0,294,0.00,1640.44,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-08,0,54,REGGI FC 15202           ,8517      ,0,25,0.00,31829.70,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-08,0,37,EXPENSAS  JUNI2011       ,2208      ,0,805,0.00,188.60,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-09,0,51,DEANE FC 548             ,6298      ,0,295,0.00,2590.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-10,0,1,OSPAC ANA                ,236       ,0,735,0.00,1027.74,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-11,0,38,ARBA                     ,8501      ,0,11,0.00,20305.20,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-11,0,42,SEG SEPELIO              ,2209      ,0,806,0.00,464.22,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
90,201107,1020,1,1020    ,1,        ,0,2011-07-11,0,43,GAN ANT 8                ,2213      ,0,809,0.00,8236.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
